,#,team,gp,w,l,min,offrtg,defrtg,netrtg,ast%,ast/to,"ast
ratio",oreb%,dreb%,reb%,tov%,efg%,ts%,pace,pie,poss,season
4,5,Detroit Pistons,82,54,28,3991.0,103.9,99.6,4.3,62.7,1.58,17.2,34.0,69.3,51.8,15.4,47.2,51.9,88.59,54.2,"7,364",'04-05
5,6,Seattle SuperSonics,82,52,30,3951.0,110.3,108.0,2.3,51.6,1.34,14.7,35.7,68.1,51.7,15.1,49.5,54.6,89.24,50.4,"7,353",'04-05
6,7,Houston Rockets,82,51,31,3971.0,104.4,100.1,4.3,60.9,1.53,16.9,30.1,71.3,51.2,15.2,48.6,53.4,90.18,52.7,"7,467",'04-05
7,8,Sacramento Kings,82,50,32,3971.0,108.8,106.5,2.3,62.6,1.87,18.2,31.5,66.7,49.1,13.7,49.6,54.1,94.52,52.2,"7,819",'04-05
8,9,Denver Nuggets,82,49,33,3951.0,104.7,102.6,2.2,64.5,1.60,18.0,31.3,67.8,49.7,15.7,48.3,53.5,94.68,53.1,"7,792",'04-05
9,10,Chicago Bulls,82,47,35,3966.0,100.5,99.1,1.4,61.2,1.27,16.4,31.7,69.1,50.6,17.8,47.1,51.7,93.41,49.8,"7,707",'04-05
10,11,Boston Celtics,82,45,37,3976.0,105.9,105.1,0.8,59.4,1.40,16.9,30.5,67.1,49.4,16.5,50.1,55.1,94.61,50.5,"7,839",'04-05
11,11,Memphis Grizzlies,82,45,37,3941.0,104.2,101.5,2.7,61.2,1.43,16.9,30.8,66.3,48.7,16.3,48.9,53.5,89.65,51.5,"7,355",'04-05
12,11,Washington Wizards,82,45,37,3956.0,105.4,105.9,-0.4,52.7,1.33,14.6,33.8,66.7,49.7,15.0,47.4,52.3,94.80,48.5,"7,816",'04-05
13,14,Indiana Pacers,82,44,38,3981.0,103.7,102.7,1.0,55.8,1.27,15.1,29.6,68.7,49.4,16.0,47.6,53.4,88.71,50.4,"7,351",'04-05
14,14,Minnesota Timberwolves,82,44,38,3951.0,106.6,105.0,1.6,63.0,1.78,18.3,32.1,68.2,50.8,14.5,48.9,53.4,90.39,51.8,"7,440",'04-05
15,16,Philadelphia 76ers,82,43,39,3971.0,101.8,102.5,-0.7,58.0,1.34,15.9,28.1,70.3,49.1,16.0,47.5,52.8,96.56,49.3,"7,985",'04-05
16,17,Cleveland Cavaliers,82,42,40,3971.0,105.3,104.7,0.6,61.9,1.62,17.3,35.4,67.4,51.0,15.2,47.0,51.8,90.72,51.0,"7,516",'04-05
17,17,New Jersey Nets,82,42,40,3981.0,99.9,101.6,-1.7,64.4,1.52,17.1,29.8,70.1,49.5,15.5,46.3,51.2,90.41,49.0,"7,501",'04-05
18,19,Los Angeles Clippers,82,37,45,4006.0,103.8,104.5,-0.8,65.0,1.47,17.9,33.8,68.7,51.8,17.1,47.7,53.3,90.66,51.8,"7,564",'04-05
19,20,Orlando Magic,82,36,46,3941.0,103.4,105.7,-2.3,52.2,1.20,14.8,32.8,68.2,50.7,16.8,47.8,52.9,96.15,48.9,"7,891",'04-05
20,21,Golden State Warriors,82,34,48,3981.0,103.4,105.5,-2.2,59.8,1.63,16.6,30.3,66.6,47.7,14.2,47.5,51.2,94.45,47.3,"7,830",'04-05
21,21,Los Angeles Lakers,82,34,48,3956.0,106.4,109.6,-3.2,57.8,1.42,15.9,32.4,68.0,50.3,15.5,48.5,53.5,92.34,46.8,"7,610",'04-05
22,23,New York Knicks,82,33,49,3976.0,104.5,107.2,-2.7,55.9,1.38,15.9,31.6,68.6,49.8,15.8,48.5,53.1,92.12,47.5,"7,634",'04-05
23,23,Toronto Raptors,82,33,49,3961.0,105.4,107.2,-1.8,56.6,1.54,16.0,26.9,68.2,47.3,14.0,49.2,53.9,94.01,47.9,"7,762",'04-05
24,25,Milwaukee Bucks,82,30,52,3956.0,105.1,108.1,-3.0,58.0,1.52,16.4,32.2,68.7,50.3,14.9,47.5,52.7,92.14,47.8,"7,584",'04-05
25,26,Portland Trail Blazers,82,27,55,3946.0,101.9,106.1,-4.3,59.5,1.32,16.6,33.1,65.0,49.6,17.5,48.4,52.4,91.05,47.5,"7,481",'04-05
26,27,Utah Jazz,82,26,56,3956.0,102.9,107.3,-4.4,64.6,1.41,17.4,35.1,69.5,51.8,17.4,46.9,52.2,90.02,47.5,"7,409",'04-05
27,28,Charlotte Bobcats,82,18,64,3976.0,99.8,106.0,-6.2,60.6,1.51,16.5,32.7,67.6,49.2,15.4,45.5,49.7,93.54,46.0,"7,743",'04-05
28,28,New Orleans Hornets,82,18,64,3986.0,98.2,105.9,-7.7,63.4,1.42,16.6,32.9,67.5,49.4,16.5,44.6,49.3,88.97,43.7,"7,382",'04-05
29,30,Atlanta Hawks,82,13,69,3971.0,98.8,109.0,-10.2,54.9,1.22,15.3,32.6,69.6,50.2,17.1,46.4,50.4,93.09,42.2,"7,695",'04-05
0,1,Detroit Pistons,82,64,18,3966.0,109.3,101.7,7.6,66.1,2.12,18.9,31.7,68.0,49.7,12.8,49.7,53.5,87.98,55.7,"7,268",'05-06
1,2,San Antonio Spurs,82,63,19,3961.0,106.2,98.7,7.5,57.4,1.52,17.0,28.9,70.8,50.5,15.3,51.3,54.6,89.41,55.4,"7,382",'05-06
2,3,Dallas Mavericks,82,60,22,3976.0,109.9,103.2,6.7,50.0,1.32,14.6,34.7,69.0,52.2,15.0,49.5,55.0,89.30,55.1,"7,397",'05-06
3,4,Phoenix Suns,82,54,28,3991.0,110.2,104.7,5.4,63.5,2.00,19.5,25.6,69.0,48.0,13.5,53.7,56.8,96.92,54.7,"8,067",'05-06
4,5,Miami Heat,82,52,30,3951.0,107.5,103.4,4.1,55.7,1.43,16.4,29.7,72.6,51.9,15.6,51.7,55.6,92.56,53.8,"7,622",'05-06
5,6,Cleveland Cavaliers,82,50,32,3966.0,106.6,104.4,2.1,53.6,1.37,15.3,31.3,71.7,51.4,15.1,49.2,53.8,90.77,51.0,"7,510",'05-06
6,7,Memphis Grizzlies,82,49,33,3971.0,104.5,100.4,4.1,57.8,1.40,16.1,29.8,69.0,49.6,15.7,49.6,53.7,87.39,51.6,"7,232",'05-06
7,7,New Jersey Nets,82,49,33,3956.0,102.4,100.9,1.5,67.8,1.68,18.2,27.4,73.0,50.1,14.9,47.8,52.8,91.17,51.3,"7,513",'05-06
8,9,Los Angeles Clippers,82,47,35,3961.0,103.8,102.2,1.6,57.1,1.44,16.5,28.6,71.9,51.3,15.4,48.7,54.0,92.99,52.3,"7,675",'05-06
9,10,Los Angeles Lakers,82,45,37,3971.0,106.8,104.2,2.6,58.0,1.52,16.5,31.6,70.1,50.7,15.0,49.5,53.9,92.22,51.8,"7,632",'05-06
10,11,Denver Nuggets,82,44,38,3986.0,104.4,104.1,0.3,62.4,1.58,17.6,30.0,68.2,49.4,15.4,48.8,53.5,94.90,51.2,"7,877",'05-06
11,11,Sacramento Kings,82,44,38,3966.0,105.3,103.5,1.8,61.8,1.52,17.3,28.9,69.4,49.5,15.6,49.2,54.4,93.26,51.5,"7,701",'05-06
12,13,Washington Wizards,82,42,40,3966.0,107.7,105.8,1.9,51.2,1.33,14.5,32.9,67.9,49.9,14.8,48.4,53.8,93.68,50.3,"7,742",'05-06
13,14,Chicago Bulls,82,41,41,3981.0,103.3,102.7,0.7,60.1,1.47,16.9,30.3,70.3,50.3,15.8,48.7,52.7,93.59,50.1,"7,762",'05-06
14,14,Indiana Pacers,82,41,41,3946.0,103.1,101.0,2.0,58.5,1.30,16.0,30.4,69.9,50.6,16.8,48.7,53.3,90.85,51.4,"7,470",'05-06
15,14,Utah Jazz,82,41,41,3976.0,102.4,105.1,-2.7,64.6,1.37,16.9,35.6,70.2,52.6,17.4,46.7,51.9,89.40,49.7,"7,398",'05-06
16,17,Milwaukee Bucks,82,40,42,3971.0,104.9,105.9,-1.0,59.4,1.48,16.8,30.9,71.3,50.7,15.7,49.2,53.5,92.45,48.6,"7,646",'05-06
17,18,New Orleans/Oklahoma City Hornets,82,38,44,3961.0,102.3,105.1,-2.8,53.7,1.39,15.1,29.7,70.9,49.7,14.7,46.4,51.5,90.32,48.4,"7,442",'05-06
18,18,Philadelphia 76ers,82,38,44,3981.0,104.7,106.5,-1.8,55.1,1.43,15.8,28.5,67.6,48.1,14.9,48.7,53.8,93.91,49.2,"7,780",'05-06
19,20,Orlando Magic,82,36,46,3981.0,105.3,106.6,-1.3,51.4,1.21,15.0,33.0,69.1,51.6,16.8,49.6,54.3,89.12,49.5,"7,395",'05-06
20,21,Seattle SuperSonics,82,35,47,3966.0,109.4,112.7,-3.3,55.1,1.40,16.0,34.0,65.9,49.5,15.7,50.4,55.1,93.04,46.7,"7,689",'05-06
21,22,Golden State Warriors,82,34,48,3966.0,103.5,104.9,-1.4,57.6,1.47,15.9,29.6,68.6,48.5,14.8,47.9,52.1,94.43,47.5,"7,800",'05-06
22,22,Houston Rockets,82,34,48,3966.0,100.4,102.1,-1.7,58.3,1.32,15.8,29.1,70.5,50.1,16.2,47.1,51.9,89.07,49.0,"7,358",'05-06
23,24,Boston Celtics,82,33,49,3976.0,104.0,105.6,-1.5,58.1,1.26,16.4,28.9,69.4,49.7,17.6,50.4,55.1,93.27,48.5,"7,722",'05-06
24,24,Minnesota Timberwolves,82,33,49,3971.0,101.5,103.5,-2.0,59.4,1.44,16.9,29.6,67.3,49.0,16.0,48.0,52.4,89.58,50.3,"7,409",'05-06
25,26,Toronto Raptors,82,27,55,3991.0,107.9,111.2,-3.2,52.9,1.49,15.5,28.6,69.7,48.4,13.9,50.0,54.8,92.33,45.9,"7,678",'05-06
26,27,Atlanta Hawks,82,26,56,3976.0,104.8,110.1,-5.3,55.2,1.27,15.5,33.4,66.7,49.6,16.9,48.6,53.4,91.75,46.2,"7,607",'05-06
27,27,Charlotte Bobcats,82,26,56,3981.0,101.2,105.6,-4.4,58.0,1.47,15.9,30.5,67.8,47.9,14.9,46.4,50.9,94.57,46.3,"7,851",'05-06
28,29,New York Knicks,82,23,59,3986.0,102.7,109.3,-6.6,52.0,1.01,14.2,34.2,69.7,51.8,19.0,48.1,53.4,92.03,44.4,"7,633",'05-06
29,30,Portland Trail Blazers,82,21,61,3946.0,99.7,110.3,-10.7,53.4,1.24,15.1,30.8,65.7,48.0,16.5,47.4,51.1,88.88,42.4,"7,308",'05-06
0,1,Dallas Mavericks,82,67,15,3951.0,109.7,102.1,7.6,54.2,1.43,16.0,32.0,71.9,52.2,15.2,50.9,55.9,90.68,55.2,"7,476",'06-07
1,2,Phoenix Suns,82,61,21,3981.0,112.9,105.5,7.4,62.6,1.78,19.3,26.2,68.3,48.4,14.9,55.1,59.0,96.45,56.1,"8,002",'06-07
2,3,San Antonio Spurs,82,58,24,3956.0,108.6,99.4,9.2,60.5,1.60,17.8,27.9,71.5,50.5,15.3,52.1,56.1,90.22,56.9,"7,440",'06-07
3,4,Detroit Pistons,82,53,29,3976.0,107.4,102.6,4.8,60.1,1.77,17.3,30.7,67.8,49.3,13.7,48.8,53.5,88.56,53.3,"7,332",'06-07
4,5,Houston Rockets,82,52,30,3971.0,104.7,99.7,4.9,58.6,1.47,16.5,28.7,72.5,50.8,15.3,49.9,54.0,91.70,52.9,"7,598",'06-07
5,6,Utah Jazz,82,51,31,3961.0,108.6,105.6,3.0,65.9,1.58,18.5,35.2,72.1,53.4,16.7,50.2,55.1,92.81,53.1,"7,661",'06-07
6,7,Cleveland Cavaliers,82,50,32,3976.0,104.4,100.6,3.8,57.4,1.45,16.2,32.7,72.1,51.8,15.5,48.4,52.2,91.59,52.0,"7,598",'06-07
7,8,Chicago Bulls,82,49,33,3956.0,104.0,98.8,5.2,60.1,1.40,17.0,31.9,70.7,51.4,16.8,49.3,53.4,94.47,53.9,"7,790",'06-07
8,9,Toronto Raptors,82,47,35,3951.0,105.7,104.4,1.2,60.1,1.65,17.5,25.0,71.1,48.1,14.3,50.4,55.0,93.86,51.4,"7,719",'06-07
9,10,Denver Nuggets,82,45,37,3956.0,106.7,105.1,1.7,60.7,1.42,17.1,32.2,67.8,50.2,16.7,50.1,54.8,98.20,51.4,"8,093",'06-07
10,11,Miami Heat,82,44,38,3971.0,103.4,104.6,-1.2,57.6,1.40,16.6,27.9,69.3,49.3,16.0,50.6,54.1,90.61,50.8,"7,503",'06-07
11,12,Golden State Warriors,82,42,40,3951.0,106.2,106.5,-0.3,59.8,1.49,17.3,28.5,66.2,47.2,15.9,51.2,54.8,99.97,48.9,"8,228",'06-07
12,12,Los Angeles Lakers,82,42,40,4006.0,107.3,107.5,-0.2,59.6,1.45,17.1,30.0,69.0,49.6,16.1,51.1,55.4,94.58,49.9,"7,898",'06-07
13,14,New Jersey Nets,82,41,41,3976.0,104.2,105.1,-0.9,67.4,1.62,18.5,27.5,71.4,49.6,15.8,50.4,54.6,92.69,49.9,"7,682",'06-07
14,14,Washington Wizards,82,41,41,3966.0,108.7,109.1,-0.4,54.1,1.47,15.5,31.2,67.8,48.9,14.4,49.1,54.2,95.33,48.5,"7,870",'06-07
15,16,Los Angeles Clippers,82,40,42,3946.0,103.8,104.2,-0.4,61.2,1.42,17.0,30.7,71.2,51.3,16.4,48.1,53.7,91.92,50.9,"7,554",'06-07
16,16,Orlando Magic,82,40,42,3956.0,104.1,103.3,0.8,53.0,1.10,15.1,33.3,69.7,51.9,18.6,50.0,54.4,90.54,50.2,"7,465",'06-07
17,18,New Orleans/Oklahoma City Hornets,82,39,43,3976.0,103.7,105.4,-1.6,51.7,1.29,14.9,31.8,71.9,51.4,15.7,47.9,52.0,91.19,48.5,"7,551",'06-07
18,19,Indiana Pacers,82,35,47,3956.0,101.9,104.4,-2.5,58.5,1.26,15.9,32.1,69.4,50.3,17.3,47.4,52.3,93.43,48.5,"7,697",'06-07
19,19,Philadelphia 76ers,82,35,47,3976.0,102.4,105.6,-3.2,56.9,1.33,16.1,30.6,67.8,49.3,16.5,48.0,53.0,91.84,48.9,"7,606",'06-07
20,21,Charlotte Bobcats,82,33,49,4001.0,102.4,106.3,-3.9,62.0,1.50,17.1,29.9,68.2,48.5,15.8,48.0,52.4,93.11,47.1,"7,758",'06-07
21,21,New York Knicks,82,33,49,4001.0,104.3,107.4,-3.1,52.8,1.09,14.7,33.7,71.4,52.7,18.3,49.4,53.9,91.89,47.1,"7,661",'06-07
22,21,Sacramento Kings,82,33,49,3961.0,105.1,106.7,-1.6,56.6,1.39,15.8,26.7,69.2,47.7,15.1,49.1,54.5,95.83,48.5,"7,898",'06-07
23,24,Minnesota Timberwolves,82,32,50,4001.0,102.4,106.5,-4.0,61.7,1.45,17.5,29.2,69.8,50.0,16.6,49.0,53.7,92.19,48.7,"7,689",'06-07
24,24,Portland Trail Blazers,82,32,50,3991.0,103.8,108.6,-4.8,52.6,1.22,15.0,32.6,69.7,50.7,16.6,48.3,53.0,89.36,45.9,"7,431",'06-07
25,26,Seattle SuperSonics,82,31,51,3966.0,105.9,108.9,-3.0,55.6,1.34,16.2,31.2,67.6,49.2,16.5,49.9,54.4,92.92,47.4,"7,674",'06-07
26,27,Atlanta Hawks,82,30,52,3976.0,102.0,107.0,-5.1,55.6,1.20,15.3,32.8,67.6,49.9,17.3,47.1,52.3,90.98,46.6,"7,533",'06-07
27,28,Milwaukee Bucks,82,28,54,3971.0,106.0,110.3,-4.3,56.7,1.43,16.7,30.6,65.7,47.9,16.1,50.4,54.1,93.33,45.6,"7,709",'06-07
28,29,Boston Celtics,82,24,58,3971.0,102.3,105.8,-3.5,57.0,1.21,15.6,30.9,70.5,50.2,17.6,47.9,53.0,92.91,45.9,"7,680",'06-07
29,30,Memphis Grizzlies,82,22,60,3996.0,105.7,110.9,-5.2,56.0,1.25,15.9,29.1,68.2,48.6,17.0,50.4,55.5,94.77,46.2,"7,883",'06-07
0,1,Boston Celtics,82,66,16,3951.0,108.8,98.1,10.8,61.4,1.47,17.6,30.6,70.7,51.8,16.4,52.2,56.9,91.88,58.1,"7,575",'07-08
1,2,Detroit Pistons,82,59,23,3946.0,109.8,101.5,8.3,61.1,1.92,17.8,32.7,70.0,51.3,13.1,49.5,53.9,88.54,55.2,"7,279",'07-08
2,3,Los Angeles Lakers,82,57,25,3956.0,111.7,104.3,7.3,61.7,1.73,18.1,29.7,70.2,50.7,14.5,52.5,57.0,96.70,55.1,"7,974",'07-08
3,4,New Orleans Hornets,82,56,26,3961.0,110.0,104.4,5.6,56.4,1.83,17.2,30.0,71.7,50.6,13.0,51.2,54.8,91.04,52.6,"7,517",'07-08
4,4,San Antonio Spurs,82,56,26,3946.0,106.0,100.7,5.3,58.5,1.66,17.1,26.8,73.3,50.3,14.0,50.4,54.3,89.72,53.3,"7,377",'07-08
5,6,Houston Rockets,82,55,27,3946.0,105.4,100.5,4.8,58.5,1.56,16.8,32.3,71.1,51.9,15.0,49.2,52.8,91.42,53.5,"7,525",'07-08
6,6,Phoenix Suns,82,55,27,3956.0,112.0,107.0,5.0,64.5,1.85,19.7,25.3,67.4,48.1,14.7,55.1,59.0,97.72,55.6,"8,058",'07-08
7,8,Utah Jazz,82,54,28,3941.0,112.1,104.9,7.2,66.0,1.80,19.6,32.7,71.0,52.1,15.4,52.8,57.3,94.64,55.6,"7,773",'07-08
8,9,Orlando Magic,82,52,30,3956.0,110.4,104.9,5.6,55.8,1.45,16.4,27.4,70.9,50.1,15.1,53.7,57.5,94.02,52.9,"7,757",'07-08
9,10,Dallas Mavericks,82,51,31,3946.0,109.5,104.7,4.8,56.9,1.66,16.7,30.0,71.6,51.4,13.8,50.2,55.4,91.38,53.6,"7,518",'07-08
10,11,Denver Nuggets,82,50,32,3971.0,108.9,105.5,3.4,61.2,1.68,17.7,29.2,68.6,49.4,14.4,51.0,55.7,100.58,52.9,"8,330",'07-08
11,12,Golden State Warriors,82,48,34,3956.0,110.4,108.5,1.9,53.9,1.69,16.3,30.1,67.2,48.1,13.1,51.1,54.8,99.96,49.6,"8,249",'07-08
12,13,Cleveland Cavaliers,82,45,37,3971.0,104.8,105.4,-0.6,55.8,1.43,15.7,33.4,71.5,51.8,15.2,48.0,52.0,91.06,49.0,"7,540",'07-08
13,14,Washington Wizards,82,43,39,3981.0,107.6,107.9,-0.3,53.8,1.49,15.6,32.0,69.5,50.3,14.4,48.9,53.5,90.85,48.8,"7,533",'07-08
14,15,Portland Trail Blazers,82,41,41,3981.0,105.9,106.8,-0.8,59.0,1.64,17.0,30.3,68.4,49.5,14.3,48.9,53.2,89.10,49.5,"7,381",'07-08
15,15,Toronto Raptors,82,41,41,3966.0,108.9,105.6,3.3,62.0,2.04,18.7,26.9,70.9,48.9,12.7,51.1,55.1,91.35,51.9,"7,543",'07-08
16,17,Philadelphia 76ers,82,40,42,3951.0,105.1,104.7,0.5,54.7,1.43,15.9,35.1,68.8,51.5,15.6,48.2,52.2,91.56,50.0,"7,536",'07-08
17,18,Sacramento Kings,82,38,44,3966.0,106.2,108.6,-2.4,51.5,1.19,14.9,29.0,68.9,49.3,16.6,50.3,55.6,95.81,48.3,"7,920",'07-08
18,19,Atlanta Hawks,82,37,45,3971.0,105.5,107.3,-1.8,60.6,1.48,17.0,32.9,68.2,50.6,16.0,48.3,53.5,92.35,49.8,"7,634",'07-08
19,20,Indiana Pacers,82,36,46,3951.0,105.1,106.3,-1.2,60.1,1.51,16.9,27.8,70.1,48.7,15.2,49.8,54.0,98.64,48.5,"8,111",'07-08
20,21,New Jersey Nets,82,34,48,3966.0,102.3,107.7,-5.4,67.4,1.57,18.0,30.0,70.6,50.2,16.0,48.1,52.8,92.96,47.5,"7,679",'07-08
21,22,Chicago Bulls,82,33,49,3961.0,102.9,106.0,-3.1,60.6,1.51,16.7,32.5,68.7,50.0,15.4,47.0,51.5,94.04,48.0,"7,754",'07-08
22,23,Charlotte Bobcats,82,32,50,3976.0,103.7,108.2,-4.5,59.1,1.45,16.6,29.4,67.4,48.3,15.7,49.2,53.2,92.75,46.9,"7,678",'07-08
23,24,Milwaukee Bucks,82,26,56,3971.0,103.9,111.1,-7.2,58.2,1.45,16.5,33.2,69.4,50.6,15.8,48.2,52.2,92.61,45.2,"7,654",'07-08
24,25,Los Angeles Clippers,82,23,59,3961.0,99.9,107.4,-7.5,61.4,1.47,16.7,26.7,70.3,48.4,15.3,46.5,51.9,93.38,46.1,"7,698",'07-08
25,25,New York Knicks,82,23,59,3976.0,103.5,110.4,-6.8,51.6,1.29,14.7,32.1,69.7,50.2,15.5,47.5,51.8,92.76,44.0,"7,676",'07-08
26,27,Memphis Grizzlies,82,22,60,3961.0,103.9,110.2,-6.3,51.4,1.26,14.9,27.7,70.6,48.9,15.7,50.0,53.9,96.33,45.1,"7,945",'07-08
27,27,Minnesota Timberwolves,82,22,60,3946.0,102.7,110.0,-7.3,53.0,1.37,15.6,31.4,70.3,50.1,15.6,48.4,51.8,92.84,43.5,"7,632",'07-08
28,29,Seattle SuperSonics,82,20,62,3966.0,99.6,108.3,-8.6,55.9,1.33,15.9,30.5,70.0,50.2,16.3,46.7,50.9,97.32,45.0,"8,030",'07-08
29,30,Miami Heat,82,15,67,3966.0,99.4,108.8,-9.4,58.5,1.37,16.3,26.4,68.1,47.0,15.9,48.2,52.2,91.24,44.5,"7,538",'07-08
0,1,Cleveland Cavaliers,82,66,16,3956.0,111.2,101.6,9.6,55.0,1.59,16.4,30.6,70.7,51.2,14.1,51.9,56.0,89.61,55.9,"7,395",'08-09
1,2,Los Angeles Lakers,82,65,17,3956.0,111.4,103.5,7.9,57.7,1.73,17.3,32.6,69.8,51.4,14.0,51.3,55.5,95.49,54.7,"7,874",'08-09
2,3,Boston Celtics,82,62,20,3976.0,109.5,101.6,7.9,60.6,1.45,17.8,31.4,71.5,52.4,16.9,52.8,57.1,91.15,56.2,"7,560",'08-09
3,4,Orlando Magic,82,59,23,3946.0,108.3,101.3,7.1,54.4,1.39,15.6,27.3,71.7,50.2,14.9,52.0,55.9,92.99,54.5,"7,649",'08-09
4,5,Denver Nuggets,82,54,28,3946.0,109.0,105.6,3.4,59.5,1.45,16.9,31.1,68.3,50.3,16.0,51.2,56.3,95.39,52.9,"7,848",'08-09
5,5,Portland Trail Blazers,82,54,28,3966.0,112.1,106.1,6.0,55.2,1.58,16.4,35.5,70.8,52.8,14.5,51.1,55.3,88.02,53.1,"7,273",'08-09
6,5,San Antonio Spurs,82,54,28,3981.0,107.6,103.4,4.2,57.1,1.80,17.3,25.8,74.0,50.2,13.0,51.3,54.8,89.19,52.3,"7,395",'08-09
7,8,Houston Rockets,82,53,29,3961.0,107.1,102.9,4.2,56.2,1.44,16.2,30.8,71.4,51.7,15.4,50.1,54.8,91.23,53.0,"7,532",'08-09
8,9,Dallas Mavericks,82,50,32,3961.0,109.0,107.0,2.0,56.9,1.71,17.0,29.7,70.7,50.4,13.6,50.4,55.0,92.68,52.2,"7,651",'08-09
9,10,New Orleans Hornets,82,49,33,3951.0,107.6,105.8,1.8,55.3,1.56,16.3,28.2,70.7,49.6,14.1,50.1,54.8,88.74,51.5,"7,303",'08-09
10,11,Utah Jazz,82,48,34,3976.0,108.5,105.8,2.7,64.4,1.67,18.4,31.6,69.3,50.5,15.5,50.4,55.4,94.47,53.5,"7,827",'08-09
11,12,Atlanta Hawks,82,47,35,3941.0,108.3,106.7,1.7,56.1,1.58,16.4,29.5,68.2,49.0,14.1,50.4,54.6,90.44,50.7,"7,428",'08-09
12,13,Phoenix Suns,82,46,36,3951.0,112.4,110.4,2.0,56.5,1.48,17.4,30.8,68.2,50.3,16.1,54.5,58.4,96.99,52.5,"7,984",'08-09
13,14,Miami Heat,82,43,39,3991.0,106.8,106.5,0.3,55.1,1.63,16.3,28.2,69.3,48.4,13.6,50.0,54.0,90.80,50.5,"7,547",'08-09
14,15,Chicago Bulls,82,41,41,3986.0,107.2,107.5,-0.3,55.4,1.45,16.1,32.1,67.5,49.8,15.3,49.3,54.1,94.10,49.9,"7,816",'08-09
15,15,Philadelphia 76ers,82,41,41,3951.0,106.3,106.1,0.2,55.0,1.42,15.8,34.2,68.0,50.8,15.4,48.5,53.2,91.30,50.3,"7,512",'08-09
16,17,Detroit Pistons,82,39,43,3981.0,105.8,106.4,-0.6,56.7,1.74,16.7,31.1,71.1,50.8,13.3,48.3,52.4,88.02,49.6,"7,302",'08-09
17,18,Indiana Pacers,82,36,46,3966.0,107.2,108.2,-1.0,55.1,1.49,16.3,29.1,70.7,49.8,14.8,50.1,54.5,97.34,48.9,"8,037",'08-09
18,19,Charlotte Bobcats,82,35,47,3986.0,103.7,105.0,-1.3,60.7,1.36,17.0,32.1,68.6,50.4,17.3,49.4,53.6,89.18,49.5,"7,401",'08-09
19,20,Milwaukee Bucks,82,34,48,3956.0,105.2,106.3,-1.1,59.9,1.56,16.8,31.0,69.9,49.6,14.9,48.3,53.1,93.89,48.5,"7,736",'08-09
20,20,New Jersey Nets,82,34,48,3966.0,106.8,109.5,-2.7,55.9,1.52,16.0,28.8,70.3,49.3,14.3,49.7,54.3,91.12,47.4,"7,530",'08-09
21,22,Toronto Raptors,82,33,49,3961.0,105.5,108.6,-3.0,60.1,1.67,17.5,27.6,70.6,49.3,14.3,49.4,54.2,93.26,49.2,"7,697",'08-09
22,23,New York Knicks,82,32,50,3961.0,107.0,109.4,-2.5,55.1,1.48,16.0,27.7,69.6,48.0,14.6,50.3,54.4,97.82,46.7,"8,066",'08-09
23,24,Golden State Warriors,82,29,53,3976.0,108.0,111.7,-3.7,53.0,1.42,15.4,29.3,65.2,47.3,14.6,49.7,54.9,99.57,47.8,"8,247",'08-09
24,25,Memphis Grizzlies,82,24,58,3961.0,102.3,108.2,-6.0,49.7,1.14,14.2,29.7,69.7,49.5,16.6,48.6,53.3,91.22,45.7,"7,528",'08-09
25,25,Minnesota Timberwolves,82,24,58,3961.0,104.9,109.9,-5.0,56.1,1.44,15.9,32.1,71.7,51.1,15.2,48.1,52.6,92.76,45.3,"7,645",'08-09
26,27,Oklahoma City Thunder,82,23,59,3961.0,101.4,107.6,-6.2,55.5,1.25,15.6,30.9,71.6,50.8,17.0,47.1,52.1,95.10,46.4,"7,841",'08-09
27,28,Los Angeles Clippers,82,19,63,3976.0,101.0,110.1,-9.2,58.3,1.41,16.4,28.7,67.9,47.9,15.8,48.1,52.0,93.30,44.1,"7,723",'08-09
28,28,Washington Wizards,82,19,63,3941.0,104.0,112.1,-8.1,54.8,1.43,15.8,31.3,68.9,49.5,15.1,48.0,52.4,92.26,44.8,"7,576",'08-09
29,30,Sacramento Kings,82,17,65,3981.0,104.4,113.4,-9.0,54.1,1.28,15.3,28.9,66.9,47.7,16.0,49.1,54.2,95.29,44.0,"7,901",'08-09
0,1,Cleveland Cavaliers,82,61,21,3956.0,110.6,103.8,6.8,59.2,1.61,17.7,29.3,72.5,51.9,15.0,53.2,57.0,91.77,55.2,"7,573",'09-10
1,2,Orlando Magic,82,59,23,3946.0,110.7,102.8,7.9,53.7,1.40,15.8,28.0,72.6,51.2,15.2,53.6,57.3,92.54,55.1,"7,614",'09-10
2,3,Los Angeles Lakers,82,57,25,3966.0,107.6,102.7,4.9,55.0,1.58,16.2,31.4,70.8,51.2,14.1,49.6,53.8,93.73,52.9,"7,749",'09-10
3,4,Dallas Mavericks,82,55,27,3976.0,107.8,105.0,2.8,61.1,1.81,18.0,27.9,69.7,49.3,13.7,50.6,55.2,93.60,53.4,"7,757",'09-10
4,5,Phoenix Suns,82,54,28,3946.0,113.9,109.1,4.8,57.3,1.58,17.5,31.1,67.3,50.3,15.2,54.6,58.5,96.43,53.6,"7,937",'09-10
5,6,Atlanta Hawks,82,53,29,3971.0,111.0,106.0,4.9,56.2,1.83,17.1,32.0,68.5,50.2,13.0,50.6,54.5,90.77,52.3,"7,515",'09-10
