,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,1,Carmelo Anthony,NYK,67,37.0,28.7,10.0,22.2,44.9,2.3,6.2,37.9,6.3,7.6,83.0,2.0,4.9,6.9,2.6,0.8,0.5,2.6,23.2
1,2,Kevin Durant,OKC,81,38.5,28.1,9.0,17.7,51.0,1.7,4.1,41.6,8.4,9.3,90.5,0.6,7.3,7.9,4.6,1.4,1.3,3.5,30.4
2,3,Kobe Bryant,LAL,78,38.6,27.3,9.5,20.4,46.3,1.7,5.2,32.4,6.7,8.0,83.9,0.8,4.7,5.6,6.0,1.4,0.3,3.7,24.6
3,4,LeBron James,MIA,76,37.9,26.8,10.1,17.8,56.5,1.4,3.3,40.6,5.3,7.0,75.3,1.3,6.8,8.0,7.3,1.7,0.9,3.0,32.2
4,5,James Harden,HOU,78,38.3,25.9,7.5,17.1,43.8,2.3,6.2,36.8,8.6,10.2,85.1,0.8,4.1,4.9,5.8,1.8,0.5,3.8,24.0
5,6,Russell Westbrook,OKC,82,34.9,23.2,8.2,18.7,43.8,1.2,3.7,32.3,5.6,7.0,80.0,1.4,3.9,5.2,7.4,1.8,0.3,3.3,22.6
6,7,Stephen Curry,GSW,78,38.2,22.9,8.0,17.8,45.1,3.5,7.7,45.3,3.4,3.7,90.0,0.8,3.3,4.0,6.9,1.6,0.2,3.1,22.4
7,8,Dwyane Wade,MIA,69,34.7,21.2,8.2,15.8,52.1,0.2,1.0,25.8,4.5,6.2,72.5,1.2,3.7,5.0,5.1,1.9,0.8,2.8,21.9
8,9,LaMarcus Aldridge,POR,74,37.7,21.1,8.6,17.8,48.4,0.0,0.2,14.3,3.8,4.7,81.0,2.4,6.7,9.1,2.6,0.8,1.2,1.9,22.8
9,10,Brook Lopez,BKN,74,30.4,19.4,7.7,14.8,52.1,0.0,0.0,0.0,4.0,5.3,75.8,2.8,4.1,6.9,0.9,0.4,2.1,1.8,19.7
10,11,Monta Ellis,MIL,82,37.5,19.2,7.3,17.5,41.6,1.1,4.0,28.7,3.5,4.6,77.3,0.5,3.3,3.9,6.0,2.1,0.4,3.1,17.3
11,12,Damian Lillard,POR,82,38.6,19.0,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,0.5,2.6,3.1,6.5,0.9,0.2,3.0,17.3
12,13,Deron Williams,BKN,78,36.4,18.9,6.3,14.4,44.0,2.2,5.7,37.8,4.1,4.7,85.9,0.4,2.6,3.0,7.7,1.0,0.4,2.8,19.5
13,14,Paul Pierce,BOS,77,33.4,18.6,6.2,14.2,43.6,1.9,5.0,38.0,4.3,5.5,78.7,0.6,5.7,6.3,4.8,1.1,0.4,2.8,19.2
14,15,David Lee,GSW,79,36.8,18.5,7.6,14.7,51.9,0.0,0.1,0.0,3.2,4.1,79.7,2.8,8.5,11.2,3.5,0.8,0.3,2.6,23.8
15,16,Rudy Gay,TOR,75,35.8,18.2,6.9,16.7,41.6,1.1,3.5,32.3,3.2,3.9,81.4,1.3,4.8,6.1,2.7,1.5,0.7,2.6,16.1
16,17,DeMar DeRozan,TOR,82,36.7,18.1,6.7,15.0,44.5,0.4,1.5,28.3,4.3,5.2,83.1,0.6,3.3,3.9,2.5,0.9,0.3,1.8,14.7
17,18,JR Smith,NYK,80,33.5,18.1,6.6,15.6,42.2,1.9,5.5,35.6,3.0,3.9,76.2,0.8,4.5,5.3,2.7,1.3,0.3,1.7,16.0
18,19,Blake Griffin,LAC,80,32.5,18.0,7.2,13.4,53.8,0.1,0.4,17.9,3.5,5.3,66.0,2.3,6.0,8.3,3.7,1.2,0.6,2.3,21.5
19,20,Al Jefferson,UTA,78,33.1,17.8,7.8,15.8,49.4,0.0,0.2,11.8,2.1,2.8,77.0,2.0,7.2,9.2,2.1,1.0,1.1,1.3,21.3
20,21,Kemba Walker,CHA,82,34.9,17.7,6.4,15.2,42.3,1.3,4.0,32.2,3.6,4.5,79.8,0.7,2.7,3.5,5.7,2.0,0.4,2.4,17.2
21,22,Jrue Holiday,PHI,78,37.5,17.7,7.1,16.5,43.1,1.2,3.2,36.8,2.3,3.1,75.2,1.1,3.1,4.2,8.0,1.6,0.4,3.7,18.0
22,23,Brandon Jennings,MIL,80,36.2,17.5,6.2,15.6,39.9,2.2,5.8,37.5,2.9,3.5,81.9,0.7,2.3,3.1,6.5,1.6,0.1,2.5,16.2
23,24,Josh Smith,ATL,76,35.3,17.5,7.2,15.6,46.5,0.8,2.6,30.3,2.2,4.2,51.7,1.8,6.7,8.4,4.2,1.2,1.8,3.0,19.8
24,25,Paul George,IND,79,37.6,17.4,6.2,14.9,41.9,2.2,5.9,36.2,2.8,3.5,80.7,1.1,6.5,7.6,4.1,1.8,0.6,2.9,19.4
25,26,Al Horford,ATL,74,37.2,17.4,7.8,14.3,54.3,0.0,0.1,50.0,1.8,2.8,64.4,2.6,7.6,10.2,3.2,1.1,1.1,2.0,23.5
26,27,David West,IND,73,33.4,17.1,6.9,13.8,49.8,0.1,0.3,21.1,3.3,4.3,76.8,2.0,5.7,7.7,2.9,1.0,0.9,2.2,19.6
27,28,DeMarcus Cousins,SAC,75,30.5,17.1,6.4,13.8,46.5,0.1,0.3,18.2,4.2,5.6,73.8,3.0,7.0,9.9,2.7,1.4,0.7,3.0,20.0
28,29,Dwight Howard,LAL,76,35.8,17.1,6.2,10.7,57.8,0.0,0.1,16.7,4.7,9.5,49.2,3.3,9.1,12.4,1.4,1.1,2.4,3.0,22.2
29,30,Chris Paul,LAC,70,33.4,16.9,5.9,12.2,48.1,1.1,3.3,32.8,4.1,4.6,88.5,0.8,3.0,3.7,9.7,2.4,0.1,2.3,23.8
30,31,Ty Lawson,DEN,73,34.4,16.7,6.1,13.3,46.1,1.2,3.2,36.6,3.2,4.3,75.6,0.5,2.2,2.7,6.9,1.5,0.1,2.5,17.1
31,32,Chris Bosh,MIA,74,33.2,16.6,6.6,12.3,53.5,0.3,1.0,28.4,3.3,4.1,79.8,1.8,5.0,6.8,1.7,0.9,1.4,1.7,19.1
32,33,Klay Thompson,GSW,82,35.8,16.6,6.2,14.7,42.2,2.6,6.4,40.1,1.6,1.9,84.1,0.4,3.3,3.7,2.2,1.0,0.5,1.9,13.4
33,34,Jamal Crawford,LAC,76,29.3,16.5,5.9,13.4,43.8,2.0,5.2,37.6,2.8,3.3,87.1,0.3,1.4,1.7,2.5,1.0,0.2,1.9,12.1
34,35,Luol Deng,CHI,75,38.7,16.5,6.2,14.6,42.6,1.0,3.1,32.2,3.1,3.8,81.6,2.2,4.2,6.3,3.0,1.1,0.4,1.9,16.3
35,36,Joe Johnson,BKN,72,36.7,16.3,6.2,14.6,42.3,2.1,5.5,37.5,1.8,2.2,82.0,0.7,2.3,3.0,3.5,0.7,0.2,1.7,13.1
36,37,Carlos Boozer,CHI,79,32.2,16.2,6.9,14.4,47.7,0.0,0.0,0.0,2.4,3.3,73.1,2.2,7.5,9.8,2.3,0.8,0.4,2.2,18.8
37,38,Danilo Gallinari,DEN,71,32.5,16.2,5.1,12.3,41.8,1.9,5.1,37.3,4.0,4.9,82.2,0.9,4.3,5.2,2.5,0.9,0.5,1.6,15.7
38,39,Ryan Anderson,NOH,81,30.9,16.2,5.8,13.8,42.3,2.6,6.9,38.2,1.9,2.2,84.4,2.4,4.0,6.4,1.2,0.5,0.4,1.2,15.2
39,40,Greg Monroe,DET,81,33.2,16.0,6.3,13.1,48.6,0.0,0.0,0.0,3.3,4.8,68.9,2.9,6.7,9.6,3.5,1.3,0.7,2.9,20.0
40,41,Chandler Parsons,HOU,76,36.3,15.5,6.0,12.4,48.6,2.0,5.2,38.5,1.5,2.0,72.9,1.0,4.3,5.3,3.5,1.0,0.4,1.9,16.9
41,42,Zach Randolph,MEM,76,34.3,15.4,6.2,13.5,46.0,0.0,0.3,8.7,3.0,3.9,75.0,4.1,7.2,11.2,1.4,0.8,0.4,2.0,19.0
42,43,O.J. Mayo,DAL,82,35.5,15.3,5.6,12.5,44.9,1.7,4.3,40.7,2.3,2.8,82.0,0.4,3.1,3.5,4.4,1.1,0.3,2.6,14.7
43,44,Thaddeus Young,PHI,76,34.6,14.8,6.7,12.6,53.1,0.0,0.1,12.5,1.4,2.5,57.4,2.4,5.1,7.5,1.6,1.8,0.7,1.2,18.3
44,45,Goran Dragic,PHX,77,33.5,14.7,5.2,11.8,44.3,1.1,3.6,31.9,3.2,4.2,74.8,0.8,2.3,3.1,7.4,1.6,0.3,2.8,16.8
45,46,Mike Conley,MEM,80,34.5,14.6,5.2,11.8,44.0,1.3,3.7,36.2,2.9,3.5,83.0,0.5,2.3,2.8,6.1,2.2,0.3,2.4,16.4
46,47,Jeff Teague,ATL,80,32.9,14.6,5.5,12.2,45.1,1.1,3.1,35.9,2.5,2.8,88.1,0.3,1.9,2.3,7.2,1.5,0.4,2.9,16.0
47,48,Paul Millsap,UTA,78,30.4,14.6,5.5,11.2,49.0,0.2,0.5,33.3,3.4,4.6,74.2,2.3,4.8,7.1,2.6,1.3,1.0,1.8,17.9
48,49,Nicolas Batum,POR,73,38.5,14.3,4.8,11.4,42.3,2.3,6.1,37.2,2.4,2.9,84.8,1.3,4.3,5.6,4.9,1.2,1.1,2.6,17.7
49,50,George Hill,IND,76,34.5,14.2,5.1,11.5,44.3,1.7,4.6,36.8,2.3,2.8,81.7,0.6,3.1,3.7,4.7,1.1,0.3,1.5,15.6
50,51,Gordon Hayward,UTA,72,29.2,14.1,4.7,10.7,43.5,1.4,3.4,41.5,3.4,4.1,82.7,0.7,2.4,3.1,3.0,0.8,0.5,1.7,13.1
51,52,JJ Redick,MIL,78,30.5,14.1,4.9,11.3,43.4,2.1,5.8,36.6,2.2,2.4,90.0,0.2,2.0,2.2,3.8,0.5,0.1,1.8,12.3
52,53,Marc Gasol,MEM,80,35.0,14.1,5.4,10.9,49.4,0.0,0.2,7.1,3.4,4.0,84.8,2.3,5.5,7.8,4.0,1.0,1.7,2.0,20.5
53,54,Kevin Martin,OKC,77,27.7,14.0,4.5,10.1,45.0,2.1,4.8,42.6,2.8,3.2,89.0,0.4,1.9,2.3,1.4,0.9,0.1,1.3,11.5
54,55,Isaiah Thomas,SAC,79,26.9,13.9,4.6,10.5,44.0,1.5,4.1,35.8,3.2,3.6,88.2,0.4,1.7,2.0,4.0,0.8,0.0,1.8,12.7
55,56,Greivis Vasquez,NOH,78,34.4,13.9,5.6,13.0,43.3,1.1,3.1,34.2,1.6,2.0,80.5,0.6,3.8,4.3,9.0,0.8,0.1,3.2,17.2
56,57,Vince Carter,DAL,81,25.8,13.4,4.6,10.6,43.5,2.0,4.9,40.6,2.2,2.8,81.6,0.7,3.4,4.1,2.4,0.9,0.5,1.3,13.6
57,58,Jeremy Lin,HOU,82,32.2,13.4,4.8,10.9,44.1,1.1,3.1,33.9,2.6,3.4,78.5,0.4,2.6,3.0,6.1,1.6,0.4,2.9,14.7
58,59,Evan Turner,PHI,82,35.3,13.3,5.4,12.8,41.9,0.7,1.9,36.5,1.9,2.5,74.0,0.7,5.6,6.3,4.3,0.9,0.2,2.3,14.6
59,60,Brandon Knight,DET,75,31.5,13.3,4.8,11.7,40.7,1.6,4.4,36.7,2.2,3.0,73.3,0.7,2.6,3.3,4.0,0.8,0.1,2.7,11.1
60,61,Serge Ibaka,OKC,80,31.1,13.2,5.6,9.7,57.3,0.3,0.7,35.1,1.8,2.4,74.9,2.8,4.9,7.7,0.5,0.4,3.0,1.6,18.5
61,62,Ersan Ilyasova,MIL,73,27.6,13.2,5.1,11.0,46.2,1.3,2.9,44.4,1.7,2.2,79.6,2.1,5.0,7.1,1.6,0.9,0.5,1.0,15.9
62,63,Nate Robinson,CHI,82,25.4,13.1,4.9,11.2,43.3,1.7,4.2,40.5,1.6,2.1,79.9,0.4,1.9,2.2,4.4,1.0,0.1,1.8,12.3
63,64,Nikola Vucevic,ORL,77,33.2,13.1,6.0,11.5,51.9,0.0,0.0,0.0,1.1,1.6,68.3,3.5,8.4,11.9,1.9,0.8,1.0,1.8,20.8
64,65,Andre Iguodala,DEN,80,34.7,13.0,5.0,11.0,45.1,1.1,3.6,31.7,1.9,3.4,57.4,1.0,4.3,5.3,5.4,1.7,0.7,2.6,16.0
65,66,Jarrett Jack,GSW,79,29.7,12.9,4.9,10.8,45.2,1.0,2.6,40.4,2.1,2.5,84.3,0.3,2.8,3.1,5.6,0.8,0.1,2.0,14.2
66,67,Jeff Green,BOS,81,27.8,12.8,4.6,10.0,46.7,0.9,2.2,38.5,2.6,3.3,80.8,0.7,3.2,3.9,1.6,0.7,0.8,1.6,12.3
67,68,Luis Scola,PHX,82,26.6,12.8,5.3,11.2,47.2,0.0,0.2,18.8,2.2,2.8,78.7,1.9,4.7,6.6,2.2,0.8,0.4,1.5,14.8
68,69,JJ Hickson,POR,80,29.0,12.7,5.2,9.3,56.2,0.0,0.0,0.0,2.3,3.4,67.9,3.3,7.0,10.4,1.1,0.6,0.6,1.8,18.5
69,70,Marcus Thornton,SAC,72,24.0,12.7,4.6,10.8,42.9,2.0,5.3,37.2,1.5,1.8,88.1,0.7,1.8,2.5,1.3,0.8,0.1,0.9,10.1
70,71,Metta World Peace,LAL,75,33.7,12.4,4.4,11.0,40.3,1.9,5.5,34.2,1.7,2.3,73.4,1.3,3.6,5.0,1.5,1.6,0.6,1.3,12.6
71,72,Corey Brewer,DEN,82,24.4,12.1,4.6,10.8,42.5,1.1,3.7,29.6,1.8,2.6,69.0,0.7,2.2,2.9,1.5,1.4,0.3,1.2,9.9
72,73,Darren Collison,DAL,81,29.3,12.0,4.2,8.9,47.1,0.6,1.7,35.3,3.0,3.4,88.0,0.4,2.3,2.7,5.1,1.2,0.1,2.1,13.9
73,74,Derrick Williams,MIN,78,24.6,12.0,4.3,10.1,43.0,0.8,2.5,33.2,2.5,3.5,70.6,1.2,4.3,5.5,0.6,0.6,0.5,1.3,11.0
74,75,Roy Hibbert,IND,79,28.7,11.9,4.9,10.9,44.8,0.0,0.1,25.0,2.1,2.8,74.1,3.7,4.6,8.3,1.4,0.5,2.6,2.1,15.9
75,76,Tristan Thompson,CLE,82,31.3,11.7,4.8,9.7,48.8,0.0,0.0,0.0,2.2,3.5,60.8,3.7,5.7,9.4,1.3,0.7,0.9,1.5,16.1
76,77,Jordan Crawford,BOS,70,24.4,11.6,4.3,10.4,41.5,1.2,3.5,33.7,1.8,2.3,81.1,0.6,2.4,3.0,3.2,0.6,0.1,2.0,10.0
77,78,Kenneth Faried,DEN,80,28.1,11.5,4.8,8.6,55.2,0.0,0.0,0.0,2.0,3.3,61.3,3.3,5.9,9.2,1.0,1.0,1.0,1.4,17.2
78,79,Rodney Stuckey,DET,76,28.6,11.5,4.0,9.8,40.6,0.7,2.4,30.2,2.8,3.6,78.3,0.6,2.2,2.8,3.6,0.7,0.2,1.8,10.4
79,80,Luke Ridnour,MIN,82,30.2,11.5,4.5,9.9,45.3,0.8,2.6,31.1,1.7,2.0,84.8,0.5,2.0,2.5,3.8,1.0,0.2,1.6,11.6
80,81,Martell Webster,WAS,76,28.9,11.4,3.7,8.4,44.2,1.8,4.3,42.2,2.2,2.6,84.8,0.7,3.2,3.9,1.9,0.6,0.2,1.2,11.8
81,82,Robin Lopez,NOH,82,26.0,11.3,4.7,8.8,53.4,0.0,0.0,0.0,2.0,2.5,77.8,2.8,2.9,5.6,0.8,0.4,1.6,1.3,13.7
82,83,Jose Calderon,DET,73,29.6,11.3,4.3,8.7,49.1,1.8,3.9,46.1,1.0,1.1,90.0,0.3,2.1,2.4,7.1,0.8,0.1,1.7,15.5
83,84,J.J. Barea,MIN,74,23.1,11.3,4.3,10.2,41.7,1.3,3.8,34.6,1.4,1.8,78.4,0.5,2.3,2.8,4.0,0.4,0.0,2.0,10.1
84,85,Ben Gordon,CHA,75,20.8,11.2,4.1,10.1,40.8,1.5,3.9,38.7,1.4,1.7,84.3,0.2,1.5,1.7,1.9,0.5,0.2,1.8,7.4
85,86,Spencer Hawes,PHI,82,27.2,11.0,4.6,9.9,46.4,0.4,1.1,35.6,1.5,1.9,77.7,2.1,5.1,7.2,2.2,0.3,1.4,1.6,14.8
86,87,Kyle Korver,ATL,74,30.5,10.9,3.7,8.1,46.1,2.6,5.6,45.7,0.9,1.1,85.9,0.3,3.6,4.0,2.0,0.9,0.5,0.9,12.9
87,88,Ray Allen,MIA,79,25.8,10.9,3.7,8.2,44.9,1.8,4.2,41.9,1.8,2.0,88.6,0.5,2.2,2.7,1.7,0.8,0.2,1.3,10.3
88,89,Jared Dudley,PHX,79,27.5,10.9,4.0,8.5,46.8,1.3,3.4,39.1,1.6,2.1,79.6,1.0,2.1,3.1,2.6,0.9,0.1,1.3,11.4
