,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,1,Kobe Bryant,LAL,77,40.8,31.6,10.6,22.8,46.3,1.8,5.2,34.4,8.7,10.0,86.8,1.0,4.7,5.7,5.4,1.4,0.5,3.3,27.6
1,2,Carmelo Anthony,DEN,65,38.2,28.9,10.6,22.4,47.6,0.6,2.3,26.8,7.1,8.7,80.8,2.2,3.8,6.0,3.8,1.2,0.4,3.6,23.3
2,3,Gilbert Arenas,WAS,74,39.8,28.4,8.7,20.9,41.8,2.8,7.9,35.1,8.2,9.7,84.4,0.8,3.7,4.6,6.0,1.9,0.2,3.2,24.2
3,4,LeBron James,CLE,78,40.9,27.3,9.9,20.8,47.6,1.3,4.0,31.9,6.3,9.0,69.8,1.1,5.7,6.7,6.0,1.6,0.7,3.2,25.6
4,5,Michael Redd,MIL,53,38.4,26.7,9.0,19.3,46.5,2.2,5.8,38.2,6.5,7.8,82.9,0.8,2.9,3.7,2.3,1.2,0.2,2.3,20.1
5,6,Ray Allen,SEA,55,40.3,26.4,9.2,21.0,43.8,3.0,8.1,37.2,5.1,5.6,90.3,1.0,3.5,4.5,4.1,1.5,0.2,2.8,21.6
6,7,Allen Iverson,DEN,65,42.5,26.3,8.9,20.2,44.2,1.0,3.0,31.5,7.5,9.4,79.5,0.4,2.6,3.0,7.2,1.9,0.2,4.1,21.2
7,8,Vince Carter,NJN,82,38.1,25.2,8.9,19.5,45.4,1.9,5.3,35.7,5.6,7.0,80.2,1.4,4.6,6.0,4.8,1.0,0.4,2.6,22.7
8,9,Joe Johnson,ATL,57,41.4,25.0,9.4,20.0,47.1,2.1,5.5,38.1,4.1,5.5,74.8,0.9,3.3,4.2,4.4,1.1,0.2,3.1,19.8
9,10,Tracy McGrady,HOU,71,35.8,24.6,9.0,20.8,43.1,1.8,5.4,33.1,4.9,6.9,70.7,0.8,4.5,5.3,6.5,1.3,0.5,3.0,21.3
10,11,Dirk Nowitzki,DAL,78,36.2,24.6,8.6,17.2,50.2,0.9,2.2,41.6,6.4,7.1,90.4,1.6,7.3,8.9,3.4,0.7,0.8,2.1,26.9
11,12,Zach Randolph,POR,68,35.7,23.6,8.8,18.9,46.7,0.2,0.7,29.2,5.8,7.1,81.9,2.9,7.2,10.1,2.2,0.8,0.2,3.2,22.4
12,13,Chris Bosh,TOR,69,38.5,22.6,7.9,15.9,49.6,0.2,0.5,34.3,6.7,8.6,78.5,2.7,8.0,10.7,2.5,0.6,1.3,2.6,25.3
13,14,Kevin Garnett,MIN,76,39.4,22.4,8.4,17.6,47.6,0.2,0.7,21.4,5.5,6.6,83.5,2.4,10.4,12.8,4.1,1.2,1.7,2.7,29.2
14,15,Ben Gordon,CHI,82,33.0,21.4,7.4,16.3,45.5,1.9,4.6,41.3,4.6,5.4,86.4,0.4,2.7,3.1,3.6,0.8,0.2,3.0,16.5
15,16,Carlos Boozer,UTA,74,34.6,20.9,8.7,15.6,56.1,0.0,0.0,0.0,3.4,5.0,68.5,3.2,8.5,11.7,3.0,0.9,0.3,2.6,25.8
16,17,Elton Brand,LAC,80,38.5,20.5,8.1,15.1,53.3,0.0,0.0,100,4.4,5.8,76.1,3.4,6.0,9.3,2.9,1.0,2.2,2.5,25.0
