,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
152,153,DeAndre Jordan,LAC,80,25.6,7.1,2.9,4.3,68.6,0.0,0.0,0.0,1.2,2.7,45.2,2.6,4.6,7.2,0.5,0.5,1.8,1.3,13.0
153,154,Derrick Favors,UTA,78,19.7,6.8,2.8,5.3,51.7,0.0,0.0,0.0,1.3,2.2,59.5,2.2,3.1,5.3,0.5,0.4,0.9,1.0,9.4
154,155,Derek Fisher,LAL,82,28.0,6.8,2.5,6.5,38.9,0.8,1.9,39.6,1.0,1.3,80.6,0.2,1.7,1.9,2.7,1.2,0.1,0.9,7.7
155,156,Eric Bledsoe,LAC,81,22.7,6.7,2.5,6.0,42.4,0.4,1.4,27.6,1.2,1.6,74.4,0.8,1.9,2.8,3.6,1.1,0.3,2.4,8.2
156,157,Luc Mbah a Moute,MIL,79,26.5,6.7,2.5,5.4,46.3,0.0,0.1,0.0,1.7,2.4,70.7,2.1,3.2,5.3,0.9,0.9,0.4,1.0,9.6
157,158,Shaun Livingston,CHA,73,17.3,6.6,2.5,5.4,46.6,0.0,0.1,25.0,1.5,1.7,86.4,0.4,1.6,2.0,2.2,0.6,0.4,1.2,7.5
158,159,Mario Chalmers,MIA,70,22.6,6.4,2.2,5.5,39.9,1.2,3.3,35.9,0.8,0.9,87.1,0.2,1.9,2.1,2.5,1.1,0.1,1.3,7.4
159,160,Maurice Evans,WAS,73,21.2,6.3,2.4,5.8,41.7,0.8,2.3,32.9,0.7,0.8,89.7,0.7,1.4,2.1,0.6,0.5,0.2,0.5,5.8
160,161,Ronnie Brewer,CHI,81,22.0,6.2,2.5,5.3,48.0,0.1,0.3,22.2,1.1,1.6,65.4,0.7,2.6,3.2,1.7,1.3,0.3,0.7,8.8
161,162,Dante Cunningham,CHA,78,21.0,6.2,2.8,6.1,46.2,0.0,0.2,7.7,0.6,0.8,72.6,1.2,2.3,3.6,0.6,0.7,0.6,0.7,7.4
162,163,James Jones,MIA,81,19.1,5.9,1.8,4.3,42.2,1.5,3.5,42.9,0.7,0.9,83.3,0.3,1.7,2.0,0.5,0.4,0.2,0.3,6.1
163,164,Al-Farouq Aminu,LAC,81,17.9,5.6,2.0,5.0,39.4,0.6,1.8,31.5,1.1,1.5,77.3,0.9,2.4,3.3,0.7,0.7,0.3,1.3,6.1
164,165,Jordan Hill,HOU,72,15.6,5.6,2.4,4.9,49.1,0.0,0.0,0.0,0.8,1.2,70.6,1.8,2.5,4.3,0.4,0.2,0.7,0.9,7.5
165,166,Gordon Hayward,UTA,72,16.9,5.4,2.0,4.1,48.5,0.5,1.0,47.3,1.0,1.3,71.1,0.6,1.4,1.9,1.1,0.4,0.3,1.0,5.7
