,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,1,Kevin Durant,OKC,66,38.6,28.0,9.7,19.7,49.6,2.0,5.2,38.7,6.5,7.6,86.0,0.6,7.4,8.0,3.5,1.3,1.2,3.8,27.3
1,2,Kobe Bryant,LAL,58,38.5,27.9,9.9,23.0,43.0,1.5,4.9,30.3,6.6,7.8,84.5,1.1,4.3,5.4,4.6,1.2,0.3,3.5,21.4
2,3,LeBron James,MIA,62,37.5,27.1,10.0,18.9,53.1,0.9,2.4,36.2,6.2,8.1,77.1,1.5,6.4,7.9,6.2,1.9,0.8,3.4,29.9
3,4,Kevin Love,MIN,55,39.0,26.0,8.6,19.3,44.8,1.9,5.1,37.2,6.9,8.4,82.4,4.1,9.2,13.3,2.0,0.9,0.5,2.3,28.3
4,5,Russell Westbrook,OKC,66,35.3,23.6,8.8,19.2,45.7,0.9,3.0,31.6,5.2,6.3,82.3,1.5,3.1,4.6,5.5,1.7,0.3,3.6,20.5
5,6,Carmelo Anthony,NYK,55,34.1,22.6,8.0,18.6,43.0,1.2,3.7,33.5,5.4,6.7,80.4,1.6,4.7,6.3,3.6,1.1,0.4,2.6,19.5
6,7,LaMarcus Aldridge,POR,55,36.3,21.7,8.8,17.1,51.2,0.0,0.2,18.2,4.1,5.0,81.4,2.7,5.3,8.0,2.4,0.9,0.8,2.0,22.6
7,8,Dirk Nowitzki,DAL,62,33.5,21.6,7.6,16.7,45.7,1.3,3.4,36.8,5.1,5.7,89.6,0.7,6.0,6.7,2.2,0.7,0.5,1.9,20.2
8,9,Deron Williams,NJN,55,36.3,21.0,7.1,17.5,40.7,2.1,6.2,33.6,4.7,5.5,84.3,0.4,2.9,3.3,8.7,1.2,0.4,4.0,19.4
9,10,Blake Griffin,LAC,66,36.2,20.7,8.5,15.5,54.9,0.0,0.2,12.5,3.7,7.1,52.1,3.3,7.6,10.9,3.2,0.8,0.7,2.3,23.7
10,11,Monta Ellis,MIL,58,36.6,20.4,7.8,17.9,43.3,1.1,3.5,30.8,3.8,4.7,79.6,0.3,3.1,3.4,6.0,1.5,0.3,3.1,17.4
11,12,David Lee,GSW,57,37.2,20.1,8.1,16.2,50.3,0.0,0.1,0.0,3.8,4.9,78.2,3.0,6.6,9.6,2.8,0.9,0.4,2.6,22.1
12,13,Chris Paul,LAC,60,36.4,19.8,7.1,14.8,47.8,1.3,3.6,37.1,4.3,5.0,86.1,0.7,2.9,3.6,9.1,2.5,0.1,2.1,24.5
13,14,Paul Pierce,BOS,61,34.0,19.4,6.5,14.6,44.3,1.6,4.5,36.6,4.8,5.6,85.2,0.6,4.6,5.2,4.5,1.1,0.4,2.8,18.8
14,15,Al Jefferson,UTA,61,34.0,19.2,8.5,17.2,49.2,0.0,0.1,25.0,2.2,2.9,77.4,2.2,7.4,9.6,2.2,0.8,1.7,1.0,23.0
