,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,1,Luka Doncic,DAL,35,37.0,34.3,11.5,22.8,50.7,2.9,8.2,35.9,8.3,11.2,74.0,1.0,7.8,8.8,8.9,1.7,0.6,3.6,36.5
1,2,Joel Embiid,PHI,28,35.5,33.5,11.3,21.1,53.2,1.1,3.1,34.1,9.9,11.6,85.3,1.8,8.0,9.8,4.6,1.2,1.7,3.9,35.3
2,3,Giannis Antetokounmpo,MIL,32,34.0,32.7,11.6,21.8,53.2,0.8,3.0,24.7,8.8,13.3,66.0,2.3,9.8,12.1,5.4,0.9,0.9,4.1,33.1
3,4,Shai Gilgeous-Alexander,OKC,34,35.7,30.9,10.2,20.6,49.7,1.0,2.9,35.1,9.4,10.3,91.5,0.9,3.9,4.8,5.7,1.6,1.0,3.3,29.6
4,5,Jayson Tatum,BOS,36,36.7,30.8,10.1,21.3,47.4,3.2,9.2,34.8,7.4,8.6,85.8,1.1,7.0,8.1,4.0,1.1,0.8,2.8,29.6
5,6,Kevin Durant,BKN,37,36.1,29.9,10.7,18.8,56.8,1.8,4.8,36.9,6.8,7.2,93.3,0.3,6.4,6.7,5.5,0.8,1.5,3.5,32.3
6,7,Donovan Mitchell,CLE,35,36.7,29.0,10.0,20.5,48.7,3.8,9.4,40.7,5.2,6.0,87.1,1.0,3.0,4.0,4.9,1.5,0.3,3.0,25.3
7,8,LeBron James,LAL,29,36.0,29.0,11.3,22.2,51.0,2.0,6.8,30.1,4.3,5.7,75.2,1.2,7.0,8.2,6.6,1.0,0.6,3.2,30.0
8,9,Trae Young,ATL,34,35.7,27.3,8.6,20.8,41.6,2.2,7.1,31.1,7.8,8.7,88.9,0.7,2.1,2.9,9.9,0.8,0.1,3.8,24.0
9,10,Jaylen Brown,BOS,36,35.4,27.2,10.2,20.5,49.8,2.5,7.6,33.5,4.3,5.4,79.3,1.2,5.9,7.1,3.3,1.1,0.4,3.0,24.8
10,11,Devin Booker,PHX,29,34.6,27.1,9.8,20.4,47.7,2.3,6.2,37.0,5.3,6.2,85.0,0.8,3.8,4.6,5.6,0.9,0.4,2.4,24.5
11,12,Ja Morant,MEM,32,32.3,27.1,9.6,20.8,45.9,1.7,5.3,31.4,6.3,8.4,75.1,1.1,4.9,6.0,8.0,1.1,0.3,3.6,25.5
12,13,DeMar DeRozan,CHI,38,36.3,26.6,9.4,18.7,50.5,0.4,1.5,28.1,7.3,8.2,88.8,0.5,4.6,5.2,4.9,1.0,0.5,1.9,26.0
13,14,Kyrie Irving,BKN,28,36.4,26.2,9.8,19.7,49.5,3.0,8.3,36.6,3.6,4.0,91.1,0.9,4.2,5.0,4.6,0.8,0.9,2.3,24.9
14,15,Zion Williamson,NOP,29,33.0,26.0,9.8,16.2,60.8,0.2,0.7,36.8,6.1,8.6,71.4,2.0,5.0,7.0,4.6,1.1,0.6,3.4,27.0
15,16,Pascal Siakam,TOR,28,37.2,25.9,9.1,19.0,47.7,1.4,4.0,33.6,6.4,8.3,77.9,1.9,6.4,8.3,6.6,0.9,0.5,2.4,28.0
