,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
33,34,Chauncey Billups,DET,80,35.8,16.5,5.1,11.4,44.2,2.1,4.8,42.6,4.3,4.8,89.8,0.6,2.8,3.4,5.8,1.0,0.1,2.3,17.7
34,35,Bobby Simmons,LAC,75,37.3,16.4,6.3,13.6,46.6,0.7,1.5,43.5,3.1,3.6,84.6,1.7,4.2,5.9,2.7,1.4,0.2,1.8,17.1
35,36,Manu Ginobili,SAS,74,29.6,16.0,5.0,10.5,47.1,1.3,3.5,37.6,4.8,6.0,80.3,1.0,3.4,4.4,3.9,1.6,0.4,2.3,17.3
36,37,Ricky Davis,BOS,82,32.9,16.0,5.9,12.7,46.2,0.7,2.2,33.9,3.5,4.3,81.5,0.8,2.2,3.0,3.0,1.1,0.3,2.5,13.3
37,38,Damon Stoudamire,POR,81,34.1,15.8,5.6,14.4,39.2,2.2,6.0,36.9,2.2,2.5,91.5,0.7,3.1,3.8,5.7,1.1,0.0,2.0,15.4
38,39,Kirk Hinrich,CHI,77,36.4,15.7,5.8,14.6,39.7,1.9,5.3,35.5,2.2,2.8,79.2,0.4,3.5,3.9,6.4,1.6,0.3,2.3,16.2
39,40,Steve Nash,PHX,75,34.3,15.5,5.7,11.4,50.2,1.3,2.9,43.1,2.8,3.2,88.7,0.8,2.6,3.3,11.5,1.0,0.1,3.3,22.1
40,41,Kenyon Martin,DEN,70,32.5,15.5,6.3,13.0,49.0,0.0,0.2,0.0,2.8,4.4,64.6,2.1,5.2,7.3,2.4,1.4,1.1,2.1,17.5
41,42,Caron Butler,LAL,77,35.7,15.5,5.7,12.9,44.5,0.5,1.6,30.4,3.6,4.1,86.2,1.9,3.9,5.8,1.9,1.4,0.3,1.6,15.6
42,43,Wally Szczerbiak,MIN,81,31.6,15.5,5.7,11.3,50.6,0.8,2.1,37.3,3.2,3.8,85.5,1.0,2.7,3.7,2.4,0.5,0.2,1.6,14.5
43,44,Troy Murphy,GSW,70,33.9,15.4,5.6,13.5,41.4,0.8,2.1,39.9,3.3,4.6,73.0,3.6,7.2,10.8,1.4,0.8,0.5,1.5,18.1
44,45,Emeka Okafor,CHA,73,35.6,15.1,6.1,13.7,44.7,0.0,0.0,0.0,2.9,4.7,60.9,3.8,7.1,10.9,0.9,0.8,1.7,1.7,18.3
45,46,Ben Gordon,CHI,82,24.4,15.1,5.3,12.9,41.1,1.6,4.0,40.5,2.8,3.3,86.3,0.7,2.0,2.6,2.0,0.6,0.1,2.3,10.1
46,47,Quentin Richardson,PHX,79,35.9,14.9,5.2,13.2,38.9,2.9,8.0,35.8,1.7,2.3,73.9,1.2,4.9,6.1,2.0,1.2,0.3,1.3,14.5
47,48,Tayshaun Prince,DET,82,37.0,14.7,5.7,11.7,48.7,0.6,1.7,34.1,2.7,3.3,80.7,1.6,3.7,5.3,3.0,0.7,0.9,1.6,16.3
48,49,Rasheed Wallace,DET,79,34.0,14.5,5.9,13.4,44.0,0.9,3.0,31.8,1.7,2.5,69.7,2.2,5.9,8.2,1.8,0.8,1.5,1.6,16.8
49,50,Drew Gooden,CLE,82,30.8,14.4,5.7,11.5,49.2,0.1,0.3,17.9,3.1,3.8,81.0,2.5,6.7,9.2,1.6,0.9,0.9,1.6,18.9
50,51,Rafer Alston,TOR,80,34.0,14.2,5.0,12.2,41.4,1.7,4.9,35.7,2.4,3.2,74.0,0.5,3.0,3.5,6.4,1.5,0.1,2.1,15.6
51,52,Matt Harpring,UTA,78,33.2,14.0,5.4,11.0,48.9,0.1,0.6,20.9,3.1,4.0,77.8,2.5,3.6,6.2,1.8,0.9,0.2,1.7,14.8
52,53,Chucky Atkins,LAL,82,35.4,13.6,4.7,11.1,42.6,2.1,5.5,38.7,2.0,2.5,80.3,0.4,2.0,2.4,4.4,0.9,0.0,1.8,12.6
53,54,Andre Miller,DEN,82,34.8,13.6,5.2,10.9,47.7,0.1,0.5,15.4,3.1,3.7,83.8,1.2,2.9,4.1,6.9,1.5,0.1,2.7,17.2
54,55,Mike Miller,MEM,76,30.0,13.4,5.1,10.1,50.5,1.8,4.3,43.3,1.4,2.0,72.0,0.5,3.5,3.9,2.9,0.7,0.3,1.7,14.1
55,56,Mike Dunleavy,GSW,79,32.5,13.4,5.2,11.5,45.1,1.4,3.5,38.8,1.7,2.2,77.9,1.2,4.3,5.5,2.6,1.0,0.3,1.7,14.3
56,57,Primoz Brezec,CHA,72,31.6,13.0,5.4,10.5,51.2,0.0,0.0,0.0,2.3,3.1,74.5,3.1,4.2,7.4,1.2,0.5,0.8,1.5,15.4
57,58,Mehmet Okur,UTA,82,28.1,12.9,4.3,9.2,46.8,0.2,0.8,27.0,4.0,4.7,85.0,2.4,5.1,7.5,2.0,0.4,0.8,1.7,16.3
58,59,Jeff McInnis,CLE,76,34.9,12.8,5.0,12.0,41.2,1.2,3.5,34.5,1.7,2.1,81.3,0.4,1.6,2.1,5.1,0.7,0.0,1.5,11.8
59,60,Latrell Sprewell,MIN,80,30.6,12.8,5.0,12.0,41.4,0.9,2.6,32.7,2.0,2.4,83.0,0.8,2.4,3.2,2.2,0.7,0.3,1.6,10.1
60,61,Eddie Jones,MIA,80,35.5,12.7,4.4,10.3,42.8,1.8,4.8,37.2,2.2,2.7,80.6,0.5,4.6,5.1,2.7,1.1,0.5,1.2,14.4
61,62,Josh Howard,DAL,76,32.2,12.6,5.0,10.4,47.5,0.4,1.5,29.6,2.2,3.1,73.3,2.2,4.1,6.4,1.4,1.5,0.6,1.6,14.7
62,63,Morris Peterson,TOR,82,30.6,12.5,4.3,10.3,42.0,1.6,4.1,38.5,2.3,2.8,83.2,0.9,3.3,4.1,2.1,1.1,0.2,1.1,12.5
63,64,Dan Dickau,NOH,71,29.4,12.5,4.3,10.6,40.5,1.2,3.5,34.7,2.7,3.2,83.3,0.5,2.1,2.5,4.9,1.1,0.1,2.0,12.1
64,65,Kenny Thomas,SAC,73,29.7,12.4,5.0,10.7,47.0,0.0,0.1,20.0,2.4,3.1,76.2,2.5,4.8,7.3,2.1,0.9,0.2,1.8,14.8
65,66,Jason Terry,DAL,80,30.0,12.4,4.7,9.3,50.1,1.3,3.1,42.0,1.8,2.2,84.4,0.5,1.9,2.4,5.4,1.4,0.2,1.8,14.9
66,67,Earl Boykins,DEN,82,26.4,12.4,4.1,10.0,41.3,0.7,2.0,33.7,3.4,3.7,92.1,0.5,1.3,1.7,4.5,1.0,0.1,1.5,12.1
67,68,Tim Thomas,NYK,71,27.3,12.0,4.4,10.1,43.9,1.2,2.9,40.9,1.9,2.4,78.6,0.6,2.7,3.3,1.5,0.6,0.2,1.6,9.9
68,69,Dwight Howard,ORL,82,32.6,12.0,4.3,8.3,52.0,0.0,0.0,0.0,3.4,5.0,67.1,3.5,6.5,10.0,0.9,0.9,1.7,2.0,17.9
69,70,Marc Jackson,PHI,81,24.4,12.0,4.2,9.0,46.5,0.0,0.0,0.0,3.6,4.3,82.8,2.3,2.7,5.0,1.0,0.4,0.2,1.6,11.4
70,71,Derek Fisher,GSW,74,30.0,11.9,4.0,10.2,39.3,1.5,3.9,37.1,2.4,2.7,86.2,0.5,2.4,2.9,4.1,1.0,0.1,1.7,11.6
71,72,David Wesley,HOU,80,34.7,11.9,4.2,10.5,39.8,1.5,3.9,37.5,2.0,2.4,85.7,0.5,2.4,2.9,3.3,1.2,0.1,1.4,11.3
72,73,Mike James,HOU,74,25.1,11.8,4.5,10.1,44.1,1.4,3.5,38.6,1.5,2.0,75.2,0.5,2.3,2.8,3.6,0.9,0.1,1.4,11.5
73,74,Damon Jones,MIA,82,31.4,11.6,4.0,8.9,45.6,2.7,6.4,43.2,0.8,1.0,79.1,0.2,2.6,2.8,4.3,0.5,0.1,1.2,13.1
74,75,Ruben Patterson,POR,70,28.0,11.6,4.6,8.6,53.1,0.0,0.4,8.0,2.4,4.0,59.9,1.8,2.1,3.9,2.0,1.5,0.3,2.0,11.6
75,76,Kyle Korver,PHI,82,32.5,11.5,3.9,9.3,41.8,2.8,6.8,40.5,1.0,1.2,85.4,0.5,4.1,4.6,2.2,1.3,0.4,1.3,13.1
76,77,Kurt Thomas,NYK,80,35.7,11.5,5.3,11.3,47.1,0.0,0.1,50.0,0.8,1.1,78.6,2.1,8.3,10.4,2.0,0.9,1.0,1.2,18.3
77,78,Gary Payton,BOS,77,33.0,11.3,4.4,9.4,46.8,0.5,1.7,32.6,2.0,2.6,76.1,0.6,2.4,3.1,6.1,1.1,0.2,1.9,14.2
78,79,Tyronn Lue,ATL,70,28.7,11.2,4.2,9.3,45.1,0.8,2.2,35.5,2.0,2.4,86.1,0.2,1.9,2.1,4.6,0.5,0.0,1.5,11.5
79,80,Antonio Daniels,SEA,75,27.0,11.2,3.6,8.3,43.8,0.7,2.2,29.7,3.3,4.1,81.6,0.3,2.0,2.3,4.1,0.7,0.0,1.0,11.9
80,81,Gerald Wallace,CHA,70,30.7,11.1,4.1,9.1,44.9,0.2,0.9,27.4,2.7,4.1,66.1,1.7,3.8,5.5,2.0,1.7,1.3,2.3,12.9
81,82,Raef LaFrentz,BOS,80,27.5,11.1,4.3,8.6,49.6,1.0,2.8,36.4,1.5,1.9,81.1,1.9,5.0,6.9,1.2,0.5,1.2,0.9,15.4
82,83,Joe Smith,MIL,74,30.6,11.0,4.3,8.4,51.4,0.0,0.0,0.0,2.4,3.1,76.8,2.4,4.9,7.3,0.9,0.6,0.5,1.1,14.4
83,84,Udonis Haslem,MIA,80,33.4,10.9,4.3,8.0,54.0,0.0,0.1,0.0,2.2,2.8,79.1,3.0,6.1,9.1,1.4,0.8,0.5,1.4,16.9
84,85,P.J. Brown,NOH,82,34.4,10.8,4.1,9.2,44.6,0.0,0.0,0.0,2.6,3.0,86.4,3.2,5.7,9.0,2.2,0.9,0.6,1.2,16.7
85,86,Fred Jones,IND,77,29.5,10.6,3.6,8.4,42.5,1.1,3.0,38.0,2.3,2.7,85.0,0.4,2.7,3.1,2.5,0.8,0.4,1.5,10.7
86,87,Corliss Williamson,SAC,72,21.2,10.3,3.8,8.1,46.7,0.0,0.0,0.0,2.7,3.4,79.9,1.4,2.2,3.6,1.1,0.5,0.2,1.2,9.5
87,88,JR Smith,NOH,76,24.4,10.3,3.9,9.8,39.4,1.1,3.7,28.8,1.5,2.1,68.9,0.5,1.5,2.0,1.9,0.7,0.1,1.4,7.0
88,89,Mo Williams,MIL,80,28.2,10.2,4.0,9.2,43.8,0.4,1.2,32.3,1.7,2.0,85.0,0.6,2.4,3.1,6.1,0.9,0.1,2.5,12.4
89,90,Jason Williams,MEM,71,27.5,10.1,3.7,9.1,41.3,1.5,4.6,32.4,1.1,1.4,79.2,0.3,1.5,1.7,5.6,1.1,0.1,1.8,11.1
90,91,Josh Childress,ATL,80,29.7,10.1,3.8,8.0,47.0,0.2,0.7,23.2,2.4,2.9,82.3,2.4,3.6,6.0,1.9,0.9,0.4,1.3,13.3
91,92,Luke Ridnour,SEA,82,31.4,10.0,3.6,9.0,40.5,0.8,2.2,37.6,1.9,2.2,88.3,0.7,1.8,2.5,5.9,1.1,0.3,1.8,12.4
92,93,Nenad Krstic,NJN,75,26.2,10.0,3.7,7.6,49.3,0.0,0.0,0.0,2.5,3.4,72.5,2.1,3.2,5.3,1.0,0.4,0.8,1.5,11.3
93,94,Shane Battier,MEM,80,31.5,9.9,3.4,7.7,44.2,0.9,2.2,39.5,2.3,2.9,78.9,2.0,3.2,5.2,1.6,1.1,1.0,0.9,12.9
94,95,Chris Mihm,LAL,75,24.9,9.8,3.7,7.4,50.7,0.0,0.0,0.0,2.3,3.4,67.8,2.6,4.1,6.7,0.7,0.2,1.4,1.5,12.6
95,96,Ben Wallace,DET,74,36.1,9.7,4.0,8.8,45.3,0.0,0.1,11.1,1.8,4.1,42.8,3.9,8.2,12.2,1.7,1.4,2.4,1.1,19.1
96,97,Josh Smith,ATL,74,27.7,9.7,3.7,8.1,45.5,0.1,0.3,17.4,2.2,3.2,68.8,2.0,4.2,6.2,1.7,0.8,1.9,1.8,13.0
97,98,Keith Bogans,CHA,74,24.2,9.6,3.5,9.3,38.1,0.8,2.3,32.9,1.8,2.5,72.7,1.0,2.0,3.1,1.8,0.9,0.1,1.6,7.5
98,99,Lorenzen Wright,MEM,80,28.6,9.6,4.0,8.5,46.9,0.0,0.0,0.0,1.6,2.5,66.2,2.2,5.5,7.7,1.1,0.7,0.9,1.3,13.4
99,100,Antonio McDyess,DET,77,23.3,9.6,4.0,7.8,51.3,0.0,0.0,0.0,1.6,2.5,65.6,2.3,4.0,6.3,0.9,0.6,0.7,1.2,12.2
100,101,Jason Hart,CHA,74,25.5,9.5,3.5,7.7,44.9,0.5,1.3,36.8,2.1,2.7,78.5,0.2,2.5,2.7,5.0,1.3,0.2,1.4,12.5
101,102,Nazr Mohammed,SAS,77,25.1,9.5,3.8,7.8,48.0,0.0,0.0,0.0,2.0,2.9,67.4,3.2,4.4,7.6,0.4,0.8,1.1,1.4,13.0
102,103,Mark Blount,BOS,82,26.0,9.4,4.0,7.5,52.9,0.0,0.0,0.0,1.4,2.0,71.3,1.7,3.1,4.8,1.6,0.4,0.8,1.9,11.0
103,104,Andre Iguodala,PHI,82,32.8,9.0,3.3,6.7,49.3,0.6,1.7,33.1,1.9,2.6,74.3,1.1,4.6,5.7,3.0,1.7,0.6,1.7,14.2
104,105,Austin Croshere,IND,73,25.1,8.9,2.6,6.8,37.8,0.6,2.4,25.9,3.1,3.5,88.3,1.4,3.7,5.1,1.3,0.7,0.2,1.4,10.2
105,106,Gordan Giricek,UTA,81,20.5,8.8,3.5,7.8,44.8,0.5,1.3,36.2,1.4,1.7,81.0,0.3,1.9,2.2,1.7,0.6,0.1,1.1,7.7
106,107,Troy Hudson,MIN,79,21.9,8.7,3.4,8.4,40.1,1.1,3.3,34.5,0.9,1.1,77.8,0.2,1.1,1.3,3.6,0.3,0.1,1.4,7.4
107,108,Jameer Nelson,ORL,79,20.4,8.7,3.6,7.9,45.5,0.6,1.8,31.2,0.9,1.4,68.2,0.7,1.8,2.4,3.0,1.0,0.0,1.5,8.9
108,109,Jason Kapono,CHA,81,18.4,8.5,3.3,8.3,40.1,1.0,2.4,41.2,0.9,1.0,82.4,0.4,1.6,2.0,0.8,0.5,0.1,0.6,6.1
109,110,Michael Sweetney,NYK,77,19.6,8.4,3.1,5.8,53.1,0.0,0.0,0.0,2.3,3.1,74.9,2.2,3.2,5.4,0.6,0.4,0.4,1.4,10.3
110,111,Predrag Drobnjak,ATL,71,20.2,8.4,3.4,7.6,43.8,0.4,1.0,35.2,1.4,1.7,80.0,1.0,2.3,3.4,0.7,0.6,0.3,1.1,7.6
111,112,Andres Nocioni,CHI,81,23.4,8.4,3.0,7.4,40.1,0.3,1.2,25.8,2.1,2.7,76.6,0.9,3.9,4.8,1.5,0.5,0.4,1.7,8.8
112,113,Bruce Bowen,SAS,82,32.0,8.2,3.1,7.3,42.0,1.2,3.1,40.3,0.9,1.4,63.4,0.6,2.9,3.5,1.5,0.7,0.5,0.7,9.0
113,114,Samuel Dalembert,PHI,72,24.8,8.2,3.5,6.6,52.4,0.0,0.0,0.0,1.2,2.1,60.1,2.6,4.9,7.5,0.5,0.6,1.7,1.6,13.0
114,115,Othella Harrington,CHI,70,18.2,8.0,3.1,6.1,51.2,0.0,0.0,0.0,1.8,2.5,71.8,1.5,2.7,4.2,0.8,0.3,0.3,1.2,8.7
115,116,Tyson Chandler,CHI,80,27.4,8.0,2.6,5.2,49.4,0.0,0.0,0.0,2.8,4.2,67.3,3.3,6.4,9.7,0.8,0.9,1.8,1.5,15.6
116,117,Earl Watson,MEM,80,22.6,7.7,3.0,6.9,42.6,0.7,2.0,31.9,1.1,1.7,65.9,0.4,1.6,2.1,4.5,1.0,0.2,2.1,8.9
117,118,Jumaine Jones,LAL,76,24.1,7.6,2.8,6.4,43.2,1.3,3.4,39.1,0.7,1.0,73.3,1.4,3.8,5.2,0.9,0.6,0.3,0.6,10.0
118,119,Eddie Griffin,MIN,70,21.3,7.5,2.9,7.5,38.7,1.0,2.9,32.8,0.8,1.1,71.8,1.8,4.6,6.5,0.8,0.3,1.7,0.8,11.1
119,120,Clifford Robinson,NJN,71,23.8,7.5,2.8,7.4,38.6,0.9,2.7,34.7,0.9,1.4,63.9,0.8,2.2,2.9,1.5,0.9,0.7,0.9,7.6
120,121,Darius Songaila,SAC,81,20.6,7.5,3.2,6.0,52.7,0.0,0.0,0.0,1.2,1.4,84.7,1.5,2.7,4.2,1.4,0.6,0.2,0.9,10.1
121,122,Brent Barry,SAS,81,21.5,7.4,2.4,5.7,42.3,1.2,3.5,35.7,1.4,1.7,83.7,0.4,2.0,2.3,2.2,0.5,0.2,0.8,8.4
122,123,Dan Gadzuric,MIL,81,22.0,7.3,3.0,5.6,53.9,0.0,0.0,0.0,1.3,2.5,53.8,3.2,5.1,8.3,0.4,0.6,1.3,1.0,13.2
123,124,Melvin Ely,CHA,79,20.9,7.3,2.9,6.7,43.2,0.0,0.0,0.0,1.5,2.7,57.5,1.8,2.3,4.1,1.0,0.4,0.9,1.5,7.3
124,125,Matt Bonner,TOR,82,19.0,7.2,3.0,5.6,53.3,0.5,1.1,42.4,0.7,0.9,78.9,1.3,2.2,3.5,0.6,0.5,0.2,0.5,8.6
125,126,DerMarr Johnson,DEN,71,17.4,7.1,2.6,5.2,49.9,0.7,2.1,35.8,1.1,1.4,79.2,0.6,1.5,2.1,1.1,0.6,0.3,0.9,7.3
126,127,Malik Rose,NYK,76,19.4,7.0,2.6,5.8,44.9,0.0,0.1,10.0,1.8,2.4,73.7,1.7,2.8,4.5,0.8,0.6,0.2,1.3,7.9
127,128,Antonio Davis,CHI,72,25.6,7.0,2.7,5.8,46.1,0.0,0.0,0.0,1.6,2.1,75.7,2.1,3.8,5.9,1.1,0.4,0.6,1.3,10.0
128,129,Bostjan Nachbar,NOH,71,18.9,7.0,2.3,5.8,39.2,1.1,2.8,38.3,1.4,1.6,82.9,0.3,2.2,2.6,1.0,0.4,0.2,1.0,6.4
129,130,Jared Jeffries,WAS,77,26.1,6.8,2.6,5.6,46.8,0.2,0.7,31.4,1.3,2.2,58.4,2.0,2.9,4.9,2.0,0.9,0.5,1.5,9.5
130,131,Travis Best,NJN,76,19.2,6.8,2.5,5.9,42.0,0.3,1.1,30.6,1.4,1.6,88.5,0.3,1.2,1.4,1.9,0.9,0.1,0.9,6.5
131,132,Al Jefferson,BOS,71,14.8,6.7,2.7,5.2,52.8,0.0,0.0,0.0,1.2,1.9,63.0,1.7,2.7,4.4,0.3,0.3,0.8,0.9,8.4
132,133,Trenton Hassell,MIN,82,25.2,6.6,2.7,5.8,47.4,0.0,0.1,9.1,1.1,1.4,78.9,1.0,1.7,2.7,1.6,0.4,0.4,0.8,7.4
133,134,Carlos Arroyo,DET,70,10.1,6.6,2.4,6.1,38.9,0.1,0.4,26.7,1.7,2.1,79.9,0.4,1.1,1.5,4.0,0.6,0.1,1.5,7.1
134,135,Casey Jacobsen,NOH,84,21.5,6.5,2.0,4.9,40.4,0.8,2.1,37.3,1.8,2.3,78.6,0.4,1.6,2.0,1.3,0.4,0.1,0.8,6.1
135,136,Jiri Welsch,CLE,71,18.6,6.5,2.1,5.2,40.2,0.5,1.5,30.9,1.8,2.4,76.3,0.4,2.0,2.4,1.5,0.6,0.1,1.0,6.3
136,137,Joel Przybilla,POR,76,24.4,6.4,2.6,4.4,59.8,0.0,0.0,0.0,1.2,2.3,51.7,2.3,5.4,7.7,1.0,0.3,2.1,1.3,13.4
137,138,Tony Allen,BOS,77,16.4,6.4,2.4,5.0,47.5,0.2,0.4,38.7,1.5,2.0,73.7,1.1,1.8,2.9,0.8,1.0,0.3,1.0,7.2
138,139,Jason Collins,NJN,80,31.8,6.4,2.3,5.6,41.2,0.0,0.1,33.3,1.7,2.6,65.6,1.9,4.2,6.1,1.3,0.9,0.9,1.1,10.2
139,140,Brian Cook,LAL,72,15.1,6.4,2.4,5.9,41.7,1.1,2.8,39.2,0.4,0.5,75.7,0.9,2.1,3.0,0.5,0.3,0.4,0.4,6.6
140,141,Zaza Pachulia,MIL,74,18.9,6.2,2.2,4.8,45.2,0.0,0.0,0.0,1.9,2.5,74.6,1.8,3.3,5.1,0.8,0.6,0.5,0.9,9.0
141,142,Greg Buckner,DEN,70,21.7,6.2,2.3,4.3,52.8,0.7,1.7,40.5,0.9,1.2,77.8,0.9,2.0,3.0,1.9,1.1,0.1,0.7,9.2
142,143,Robert Horry,SAS,75,18.6,6.0,2.1,5.0,41.9,0.7,1.8,37.0,1.1,1.5,78.9,1.2,2.4,3.6,1.1,0.9,0.8,0.9,8.2
143,144,Chris Duhon,CHI,82,26.6,5.9,2.1,6.0,35.2,1.1,3.2,35.5,0.6,0.8,73.1,0.3,2.3,2.6,4.9,1.0,0.0,1.5,8.9
144,145,Ira Newble,CLE,74,24.8,5.9,2.5,5.7,42.9,0.3,0.7,35.8,0.7,0.9,79.7,1.1,1.9,3.0,1.2,0.7,0.2,0.8,6.8
145,146,Beno Udrih,SAS,80,14.4,5.9,2.2,4.9,44.4,0.7,1.8,40.8,0.8,1.1,75.3,0.2,0.8,1.0,1.9,0.5,0.1,1.0,5.5
