,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,1,Tracy McGrady,ORL,75,39.4,32.1,11.1,24.2,45.7,2.3,6.0,38.6,7.7,9.7,79.3,1.6,4.9,6.5,5.5,1.7,0.8,2.6,28.8
1,2,Kobe Bryant,LAL,82,41.5,30.0,10.6,23.5,45.1,1.5,4.0,38.3,7.3,8.7,84.3,1.3,5.6,6.9,5.9,2.2,0.8,3.5,28.0
2,3,Allen Iverson,PHI,82,42.5,27.6,9.8,23.7,41.4,1.0,3.7,27.7,7.0,9.0,77.4,0.8,3.4,4.2,5.5,2.7,0.2,3.5,20.9
3,4,Shaquille O'Neal,LAL,67,37.8,27.5,10.4,18.1,57.4,0.0,0.0,0.0,6.7,10.8,62.2,3.9,7.2,11.1,3.1,0.6,2.4,2.9,29.9
4,5,Paul Pierce,BOS,79,39.2,25.9,8.4,20.2,41.6,1.5,4.9,30.2,7.6,9.5,80.2,1.3,6.0,7.3,4.4,1.8,0.8,3.6,22.9
5,6,Dirk Nowitzki,DAL,80,39.0,25.1,8.6,18.6,46.3,1.9,4.9,37.9,6.0,6.9,88.1,1.0,8.9,9.9,3.0,1.4,1.0,1.9,27.7
6,7,Tim Duncan,SAS,81,39.3,23.3,8.8,17.2,51.3,0.1,0.3,27.3,5.6,7.8,71.0,3.2,9.7,12.9,3.9,0.7,2.9,3.1,29.9
7,8,Chris Webber,SAC,67,39.1,23.0,9.9,21.4,46.1,0.1,0.3,23.8,3.2,5.3,60.7,2.4,8.1,10.5,5.4,1.6,1.3,3.2,25.0
8,9,Kevin Garnett,MIN,82,40.5,23.0,9.1,18.1,50.2,0.2,0.9,28.2,4.6,6.1,75.1,3.0,10.5,13.4,6.0,1.4,1.6,2.8,32.1
9,10,Ray Allen,SEA,76,37.9,22.5,7.9,17.9,43.9,2.6,7.0,37.7,4.2,4.5,91.6,1.2,3.8,5.0,4.4,1.4,0.2,2.6,20.4
