,player,team,age,height,weight,college,country,draft year,draft round,draft number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%,season
0,A.C. Green,LAL,36,205.74,225.0,Oregon State,USA,1985,1,23,82.0,5.0,5.9,1.0,8.3,8.0,16.0,11.0,48.2,5.8,'99-00
1,A.J. Bramlett,CLE,23,208.28,227.0,Arizona,USA,1999,2,39,8.0,1.0,2.8,0.0,-30.7,14.1,18.9,14.1,19.0,0.0,'99-00
2,Aaron McKie,PHI,27,195.58,209.0,Temple,USA,1994,1,17,82.0,8.0,3.0,2.9,1.5,2.3,10.1,16.8,49.7,20.2,'99-00
3,Aaron Williams,WAS,28,205.74,225.0,Xavier,USA,Undrafted,Undrafted,Undrafted,81.0,7.6,5.0,0.7,1.7,10.6,16.2,17.5,57.2,6.2,'99-00
4,Adam Keefe,UTA,30,205.74,230.0,Stanford,USA,1992,1,10,62.0,2.2,2.2,0.5,-3.4,8.4,16.5,14.4,46.3,9.3,'99-00
5,Adonal Foyle,GSW,25,208.28,250.0,Colgate,St. Vincent & Grenadines,1997,1,8,76.0,5.5,5.6,0.6,-9.4,9.4,14.6,12.5,50.0,4.0,'99-00
6,Adrian Griffin,BOS,25,195.58,215.0,Seton Hall,USA,Undrafted,Undrafted,Undrafted,72.0,6.7,5.2,2.5,-0.2,6.3,14.0,12.7,50.3,13.5,'99-00
7,Al Harrington,IND,20,205.74,254.0,None,USA,1998,1,25,50.0,6.6,3.2,0.8,6.4,5.8,13.3,19.7,52.4,7.3,'99-00
8,Alan Henderson,ATL,27,205.74,235.0,Indiana,USA,1995,1,16,82.0,13.2,7.0,0.9,-6.8,9.4,10.9,19.2,50.3,4.5,'99-00
9,Aleksandar Radojevic,TOR,23,220.98,245.0,None,Bosnia and Herzegovina,1999,1,12,3.0,2.3,2.7,0.3,-17.0,5.3,23.1,22.7,36.3,7.7,'99-00
10,Allan Houston,NYK,29,198.12,200.0,Tennessee,USA,1993,1,11,82.0,19.7,3.3,2.7,2.3,1.3,7.4,23.3,56.9,13.0,'99-00
11,Allen Iverson,PHI,25,182.88,165.0,Georgetown,USA,1996,1,1,70.0,28.4,3.8,4.7,2.0,2.4,7.0,33.4,49.6,22.0,'99-00
12,Alonzo Mourning,MIA,30,208.28,261.0,Georgetown,USA,1992,1,2,79.0,21.7,9.5,1.6,5.1,8.4,18.9,27.9,59.6,8.6,'99-00
13,Alvin Williams,TOR,25,195.58,185.0,Villanova,USA,1997,2,47,55.0,5.3,1.5,2.3,-4.7,3.1,7.3,19.3,46.3,25.8,'99-00
14,Andrae Patterson,MIN,24,205.74,238.0,Indiana,USA,1998,2,46,5.0,1.2,0.4,0.2,0.0,4.5,5.9,9.4,75.0,6.3,'99-00
15,Andre Miller,CLE,24,187.96,203.0,Utah,USA,1999,1,8,82.0,11.1,3.4,5.8,-1.9,4.1,9.2,21.8,51.7,38.6,'99-00
16,Andrew DeClercq,CLE,27,208.28,230.0,Florida,USA,1995,2,34,82.0,6.6,5.4,0.7,-3.1,8.5,15.2,14.6,53.0,5.0,'99-00
17,Andrew Lang,NYK,34,210.82,275.0,Arkansas,USA,1988,2,28,19.0,3.1,3.2,0.2,0.6,6.9,17.6,13.6,44.0,2.1,'99-00
18,Anfernee Hardaway,PHX,28,200.66,215.0,Memphis,USA,1993,1,3,60.0,16.9,5.8,5.3,8.5,4.2,10.7,20.9,54.9,23.0,'99-00
19,Antawn Jamison,GSW,24,205.74,223.0,North Carolina,USA,1998,1,4,43.0,19.6,8.3,2.1,-7.9,9.6,11.8,25.2,49.6,10.2,'99-00
20,Anthony Avent,LAC,30,205.74,240.0,Seton Hall,USA,1991,1,15,49.0,1.7,1.5,0.2,-8.6,5.6,13.9,15.2,36.8,4.6,'99-00
21,Anthony Carter,MIA,25,185.42,190.0,Hawaii,USA,Undrafted,Undrafted,Undrafted,79.0,6.3,2.5,4.8,0.4,2.8,8.0,18.0,44.2,32.1,'99-00
22,Anthony Johnson,ORL,25,190.5,190.0,College of Charleston,USA,1997,2,39,56.0,2.8,0.9,1.3,-1.4,3.2,4.6,13.9,42.5,16.7,'99-00
23,Anthony Mason,CHH,33,203.2,270.0,Tennessee State,USA,1988,3,53,82.0,11.6,8.5,4.5,3.0,4.8,17.7,14.4,56.0,18.4,'99-00
24,Anthony Miller,HOU,28,205.74,255.0,Michigan State,USA,1994,2,39,35.0,3.7,4.7,0.5,8.0,9.9,21.9,12.3,54.4,5.0,'99-00
25,Anthony Parker,ORL,25,198.12,215.0,Bradley,USA,1997,1,21,16.0,3.6,1.7,0.6,-5.5,2.6,10.4,16.0,46.1,8.3,'99-00
26,Anthony Peeler,MIN,30,193.04,208.0,Missouri,USA,1992,1,15,82.0,9.8,2.8,2.4,-1.9,2.8,8.5,18.3,52.0,15.2,'99-00
27,Antoine Carr,VAN,38,205.74,225.0,Wichita State,USA,1983,1,8,21.0,3.2,1.5,0.3,-19.6,4.2,11.5,16.4,47.7,6.3,'99-00
28,Antoine Walker,BOS,23,205.74,245.0,Kentucky,USA,1996,1,6,82.0,20.5,8.0,3.7,-0.2,6.4,16.3,28.0,49.4,17.8,'99-00
29,Antonio Daniels,SAS,25,193.04,205.0,Bowling Green,USA,1997,1,4,68.0,6.2,1.3,2.6,7.1,1.5,5.8,16.8,54.1,24.7,'99-00
30,Antonio Davis,TOR,31,205.74,230.0,Texas-El Paso,USA,1990,2,45,79.0,11.5,8.8,1.3,1.0,9.4,19.0,17.8,52.0,6.6,'99-00
31,Antonio Harvey,POR,29,210.82,225.0,Pfeiffer,USA,Undrafted,Undrafted,Undrafted,19.0,2.2,1.7,0.3,9.1,7.1,14.3,15.7,58.1,5.7,'99-00
32,Antonio Lang,PHI,28,203.2,205.0,Duke,USA,1994,2,29,10.0,0.6,0.5,0.2,-13.1,0.0,13.9,10.3,36.6,9.1,'99-00
33,Antonio McDyess,DEN,25,205.74,220.0,Alabama,USA,1995,1,2,81.0,19.1,8.5,2.0,-3.6,8.5,16.2,27.0,53.9,10.8,'99-00
34,Armen Gilliam,UTA,36,205.74,260.0,UNLV,USA,1987,1,2,50.0,6.7,4.2,0.8,-4.1,9.0,18.0,22.8,48.6,10.6,'99-00
35,Arvydas Sabonis,POR,35,220.98,292.0,None,Lithuania,1986,1,24,66.0,11.8,7.8,1.8,9.1,6.4,24.3,21.4,56.8,11.3,'99-00
36,Austin Croshere,IND,25,205.74,235.0,Providence,USA,1997,1,12,81.0,10.3,6.4,1.1,9.1,7.7,19.9,20.9,55.3,7.8,'99-00
37,Avery Johnson,SAS,35,180.34,180.0,Southern,USA,Undrafted,Undrafted,Undrafted,82.0,11.2,1.9,6.0,5.2,1.4,4.7,18.9,50.0,31.9,'99-00
38,B.J. Armstrong,CHI,32,187.96,185.0,Iowa,USA,1989,1,18,27.0,7.4,1.7,2.9,-12.5,0.4,8.1,18.5,51.0,26.0,'99-00
39,Baron Davis,CHH,21,190.5,210.0,UCLA,USA,1999,1,3,82.0,5.9,2.0,3.8,1.6,3.2,7.7,18.4,48.6,33.4,'99-00
40,Ben Davis,PHX,27,205.74,245.0,Arizona,USA,1996,2,43,5.0,0.8,1.8,0.4,-31.7,12.5,31.6,17.6,33.3,16.7,'99-00
41,Ben Wallace,ORL,25,205.74,240.0,Virginia Union,USA,Undrafted,Undrafted,Undrafted,81.0,4.8,8.2,0.8,1.3,10.2,22.1,9.5,50.8,4.7,'99-00
42,Benoit Benjamin,CLE,35,213.36,250.0,Creighton,USA,1985,1,3,3.0,0.7,0.3,0.0,40.6,0.0,7.7,16.7,33.3,0.0,'99-00
43,Bill Curley,GSW,28,205.74,245.0,Boston College,USA,1994,1,22,28.0,2.7,1.8,0.5,-14.8,5.3,11.6,13.6,48.1,7.3,'99-00
44,Bill Wennington,SAC,37,213.36,245.0,St. John's,USA,1985,1,16,7.0,2.0,2.7,0.1,-1.8,8.2,24.6,16.7,33.5,2.9,'99-00
45,Billy Owens,GSW,31,205.74,225.0,Syracuse,USA,1991,1,3,62.0,6.0,4.9,1.6,-2.6,7.0,15.1,16.0,46.2,12.2,'99-00
46,Bimbo Coles,ATL,32,187.96,182.0,Virginia Tech,USA,1990,2,40,80.0,8.1,2.2,3.6,-5.8,1.5,7.2,17.2,49.4,23.9,'99-00
47,Bo Outlaw,ORL,29,203.2,210.0,Houston,USA,Undrafted,Undrafted,Undrafted,82.0,6.0,6.4,3.0,6.2,8.5,13.1,9.8,59.7,14.8,'99-00
48,Bob Sura,CLE,27,195.58,200.0,Florida State,USA,1995,1,17,73.0,13.8,3.9,3.9,-3.8,2.2,10.5,20.5,54.5,21.5,'99-00
49,Bobby Jackson,MIN,27,185.42,185.0,Minnesota,USA,1997,1,23,73.0,5.1,2.1,2.4,-3.5,4.8,9.8,18.9,47.4,26.2,'99-00
50,Bobby Phills,CHH,30,195.58,210.0,Southern,USA,1991,2,45,28.0,13.6,2.5,2.8,0.8,2.1,6.8,21.4,52.4,17.5,'99-00
51,Bonzi Wells,POR,23,195.58,210.0,Ball State,USA,1998,1,11,66.0,8.8,2.8,1.5,6.0,7.7,9.0,24.7,54.0,15.3,'99-00
52,Brad Miller,CHH,24,213.36,261.0,Purdue,USA,Undrafted,Undrafted,Undrafted,55.0,7.7,5.3,0.8,10.3,11.7,17.6,18.3,55.8,7.6,'99-00
53,Brent Barry,SEA,28,198.12,195.0,Oregon State,USA,1995,1,15,80.0,11.8,4.7,3.6,1.2,1.8,11.8,14.5,60.9,15.7,'99-00
54,Brent Price,VAN,31,185.42,185.0,Oklahoma,USA,1992,2,32,41.0,3.4,0.9,1.7,-4.0,1.9,7.4,18.7,51.8,27.1,'99-00
55,Brevin Knight,CLE,24,177.8,170.0,Stanford,USA,1997,1,16,65.0,9.3,3.0,7.0,-3.1,2.1,8.6,18.7,47.1,41.7,'99-00
56,Brian Grant,POR,28,205.74,254.0,Xavier,USA,1994,1,8,63.0,7.3,5.5,1.0,5.6,9.8,17.2,17.6,54.0,8.0,'99-00
57,Brian Shaw,LAL,34,198.12,200.0,California-Santa Barbara,USA,1988,1,24,74.0,4.1,2.9,2.7,4.6,3.5,12.7,14.3,44.1,23.9,'99-00
58,Brian Skinner,LAC,24,205.74,255.0,Baylor,USA,1998,1,22,33.0,5.4,6.1,0.3,-6.7,8.0,17.2,11.4,55.0,2.4,'99-00
59,Bruce Bowen,MIA,29,200.66,200.0,California State-Fullerton,USA,Undrafted,Undrafted,Undrafted,69.0,2.8,1.4,0.5,2.4,3.1,8.0,12.1,46.0,6.6,'99-00
60,Bruno Sundov,DAL,20,218.44,220.0,None,Croatia,1998,2,35,14.0,1.9,0.9,0.1,-12.6,7.0,11.1,22.9,40.8,5.1,'99-00
61,Bryant Reeves,VAN,27,213.36,275.0,Oklahoma State,USA,1995,1,6,69.0,8.9,5.7,1.2,-5.8,7.3,16.2,19.1,48.1,7.5,'99-00
62,Bryant Stith,DEN,29,195.58,208.0,Virginia,USA,1992,1,13,45.0,5.6,1.9,1.4,1.7,3.3,8.8,15.9,56.8,13.8,'99-00
63,Bryce Drew,HOU,25,190.5,185.0,Valparaiso,USA,1998,1,16,72.0,5.8,1.4,2.3,2.3,1.8,6.1,16.7,48.1,19.7,'99-00
64,Bryon Russell,UTA,29,200.66,225.0,Long Beach State,USA,1993,2,45,82.0,14.1,5.2,1.9,9.4,3.8,12.1,18.3,55.0,8.7,'99-00
65,Cal Bowdler,ATL,23,208.28,245.0,Old Dominion,USA,1999,1,17,46.0,2.7,1.8,0.3,-10.6,4.8,15.2,15.2,46.3,5.6,'99-00
66,Calbert Cheaney,BOS,28,200.66,215.0,Indiana,USA,1993,1,6,67.0,4.0,2.1,1.2,-3.8,1.7,9.8,10.9,47.3,9.3,'99-00
67,Calvin Booth,WAS,24,210.82,241.0,Penn State,USA,1999,2,35,11.0,3.8,2.9,0.6,-3.0,10.8,13.8,17.9,40.3,7.3,'99-00
68,Carlos Rogers,HOU,29,210.82,232.0,Tennessee State,USA,1994,1,11,53.0,8.0,5.2,0.8,-9.5,8.8,16.1,17.6,54.9,6.8,'99-00
69,Cedric Ceballos,DAL,30,200.66,220.0,California State-Fullerton,USA,1990,2,48,69.0,16.6,6.7,1.3,-2.0,8.0,13.1,25.8,51.6,7.4,'99-00
70,Cedric Henderson,CLE,25,200.66,225.0,Memphis,USA,1997,2,44,61.0,5.4,2.3,0.9,-6.5,3.1,9.7,17.2,44.1,8.3,'99-00
71,Charles Barkley,HOU,37,198.12,252.0,Auburn,USA,1984,1,5,20.0,14.5,10.5,3.2,-0.6,10.8,22.3,21.4,53.4,16.5,'99-00
72,Charles Oakley,TOR,36,205.74,245.0,Virginia Union,USA,1985,1,9,80.0,6.9,6.8,3.2,0.5,4.6,17.6,13.6,45.9,15.7,'99-00
73,Charles R. Jones,LAC,24,190.5,180.0,Long Island-Brooklyn,USA,Undrafted,Undrafted,Undrafted,56.0,3.4,1.1,1.7,-12.3,2.3,6.9,15.6,44.5,23.3,'99-00
74,Charlie Ward,NYK,29,187.96,190.0,Florida State,USA,1994,1,26,72.0,7.3,3.2,4.2,4.2,1.2,10.2,13.3,55.9,22.4,'99-00
75,Chauncey Billups,DEN,23,190.5,202.0,Colorado,USA,1997,1,3,13.0,8.6,2.6,3.0,-4.8,2.3,8.4,20.2,46.5,21.4,'99-00
76,Cherokee Parks,VAN,27,210.82,240.0,Duke,USA,1995,1,12,56.0,3.0,3.3,0.6,-7.3,7.1,17.0,10.4,52.1,6.8,'99-00
77,Chris Anstey,CHI,25,213.36,249.0,None,Australia,1997,1,18,73.0,6.0,3.8,0.9,-3.8,9.0,19.7,22.3,51.2,12.6,'99-00
78,Chris Carr,CHI,26,198.12,220.0,Southern Illinois,USA,1995,2,56,57.0,9.3,3.0,1.5,-10.3,3.6,11.6,25.0,48.2,14.7,'99-00
79,Chris Childs,NYK,32,190.5,195.0,Boise State,USA,Undrafted,Undrafted,Undrafted,71.0,5.3,2.1,4.0,-1.5,1.1,7.9,13.7,49.1,28.4,'99-00
80,Chris Crawford,ATL,25,205.74,235.0,Marquette,USA,1997,2,50,55.0,4.6,1.8,0.6,-3.8,7.3,7.0,19.4,47.6,8.4,'99-00
81,Chris Dudley,NYK,35,210.82,260.0,Yale,USA,1987,4,75,47.0,1.2,2.9,0.1,-7.6,13.2,16.3,9.2,34.9,1.7,'99-00
82,Chris Gatling,DEN,32,208.28,220.0,Old Dominion,USA,1991,1,16,85.0,11.9,5.9,0.8,-1.3,8.0,18.4,25.8,52.5,6.8,'99-00
83,Chris Herren,DEN,24,187.96,190.0,Fresno State,USA,1999,2,33,45.0,3.1,1.2,2.5,-5.5,2.0,6.5,13.1,49.8,29.7,'99-00
84,Chris Mills,GSW,30,200.66,216.0,Arizona,USA,1993,1,22,20.0,16.1,6.2,2.4,-6.5,6.2,12.1,22.5,48.9,12.1,'99-00
85,Chris Mullin,IND,36,200.66,215.0,St. John's,USA,1985,1,7,47.0,5.1,1.6,0.8,5.4,2.5,10.6,17.4,59.0,10.8,'99-00
86,Chris Webber,SAC,27,208.28,245.0,Michigan,USA,1993,1,1,75.0,24.5,10.5,4.6,2.1,6.2,19.3,27.9,53.0,20.7,'99-00
87,Chris Whitney,WAS,28,182.88,175.0,Clemson,USA,1993,2,47,82.0,7.8,1.6,3.8,-1.0,1.2,7.3,18.4,55.4,31.9,'99-00
88,Christian Laettner,DET,30,210.82,245.0,Duke,USA,1992,1,3,82.0,12.2,6.7,2.3,0.5,7.4,16.3,19.9,53.9,12.1,'99-00
89,Chuck Person,SEA,36,203.2,241.0,Auburn,USA,1986,1,4,37.0,2.8,1.4,0.6,-2.7,1.6,14.0,17.2,40.3,10.6,'99-00
90,Chucky Atkins,ORL,25,180.34,160.0,South Florida,USA,Undrafted,Undrafted,Undrafted,82.0,9.5,1.5,3.7,-0.8,1.2,6.3,23.9,48.9,31.9,'99-00
91,Chucky Brown,CHH,32,203.2,215.0,North Carolina State,USA,1989,2,43,63.0,5.3,2.7,1.0,0.2,3.3,11.3,16.4,47.6,9.9,'99-00
92,Clar. Weatherspoon,MIA,29,200.66,265.0,Southern Mississippi,USA,1992,1,9,78.0,7.2,5.8,1.2,1.5,8.6,19.6,17.3,56.6,10.0,'99-00
93,Clifford Robinson,PHX,33,208.28,225.0,Connecticut,USA,1989,2,36,80.0,18.5,4.5,2.8,4.9,3.8,8.5,22.7,56.4,13.4,'99-00
94,Corey Benjamin,CHI,22,198.12,205.0,Oregon State,USA,1998,1,28,48.0,7.7,1.8,1.1,-9.2,2.5,8.3,24.1,47.9,12.9,'99-00
95,Corey Maggette,ORL,20,198.12,218.0,Duke,USA,1999,1,13,77.0,8.4,3.9,0.8,-1.7,8.9,12.7,21.9,55.3,7.1,'99-00
96,Corie Blount,PHX,31,208.28,242.0,Cincinnati,USA,1993,1,25,38.0,2.8,3.0,0.3,5.7,11.5,13.9,12.7,51.7,3.2,'99-00
97,Corliss Williamson,SAC,26,200.66,245.0,Arkansas,USA,1995,1,13,76.0,10.3,3.8,1.1,-1.0,6.6,9.1,19.4,54.9,6.9,'99-00
98,Cory Alexander,DEN,27,185.42,190.0,Virginia,USA,1995,1,29,29.0,2.8,1.4,2.0,-5.4,2.3,10.1,17.9,38.1,30.5,'99-00
99,Cuttino Mobley,HOU,24,193.04,190.0,Rhode Island,USA,1998,2,41,81.0,15.8,3.6,2.6,-1.2,2.4,8.8,23.4,54.5,14.8,'99-00
100,Dale Davis,IND,31,210.82,230.0,Clemson,USA,1991,1,13,74.0,10.0,9.9,0.9,4.7,12.5,20.9,16.5,53.7,4.6,'99-00
101,Dale Ellis,CHH,39,200.66,205.0,Tennessee,USA,1983,1,9,42.0,4.2,1.3,0.3,5.1,2.3,7.8,14.5,54.0,3.8,'99-00
102,Damon Jones,DAL,23,190.5,185.0,Houston,USA,Undrafted,Undrafted,Undrafted,55.0,4.2,1.0,1.7,-6.1,1.8,7.0,18.1,50.8,24.2,'99-00
103,Damon Stoudamire,POR,26,177.8,171.0,Arizona,USA,1995,1,7,78.0,12.5,3.1,5.2,7.8,2.7,7.5,20.9,50.8,26.9,'99-00
104,Dan Majerle,MIA,34,198.12,222.0,Central Michigan,USA,1988,1,14,69.0,7.3,4.8,3.0,4.8,1.3,12.9,10.1,55.9,13.1,'99-00
105,Dana Barros,BOS,33,180.34,163.0,Boston College,USA,1989,1,16,72.0,7.2,1.4,1.8,-5.6,1.1,8.0,19.3,55.2,20.3,'99-00
106,Danny Ferry,CLE,33,208.28,235.0,Duke,USA,1989,1,2,63.0,7.3,3.8,1.1,0.6,4.2,13.5,14.7,57.1,8.1,'99-00
107,Danny Fortson,BOS,24,200.66,260.0,Cincinnati,USA,1997,1,10,55.0,7.6,6.7,0.5,-1.0,15.2,29.3,19.7,60.2,5.8,'99-00
108,Danny Manning,MIL,34,208.28,244.0,Kansas,USA,1988,1,1,72.0,4.6,2.9,1.0,-2.0,4.5,13.7,15.9,46.0,9.6,'99-00
109,Darrell Armstrong,ORL,32,185.42,180.0,Fayetteville State,USA,Undrafted,Undrafted,Undrafted,82.0,16.2,3.3,6.1,0.9,2.3,7.6,23.0,54.2,30.9,'99-00
110,Darrick Martin,SAC,29,180.34,170.0,UCLA,USA,Undrafted,Undrafted,Undrafted,71.0,5.7,0.6,1.7,2.6,0.8,4.1,22.3,50.0,22.5,'99-00
111,Darvin Ham,MIL,26,200.66,230.0,Texas Tech,USA,Undrafted,Undrafted,Undrafted,35.0,5.1,4.9,1.2,6.3,10.7,11.3,10.3,54.5,7.4,'99-00
112,David Robinson,SAS,34,215.9,250.0,Navy,USA,1987,1,1,80.0,17.8,9.6,1.8,8.9,8.3,22.4,25.7,56.8,10.1,'99-00
113,David Wesley,CHH,29,185.42,202.0,Baylor,USA,Undrafted,Undrafted,Undrafted,82.0,13.6,2.7,5.6,1.3,1.4,6.6,19.9,51.9,28.4,'99-00
114,David Wingate,NYK,36,195.58,185.0,Georgetown,USA,1986,2,44,7.0,0.3,0.3,0.4,-24.7,2.6,2.9,13.6,11.1,18.8,'99-00
115,DeMarco Johnson,NYK,24,205.74,245.0,North Carolina-Charlotte,USA,1998,2,38,5.0,1.2,1.4,0.0,2.2,8.1,9.3,14.6,33.3,0.0,'99-00
116,Dean Garrett,MIN,33,210.82,250.0,Indiana,USA,1988,2,38,56.0,2.0,2.5,0.3,2.7,6.9,15.8,10.2,47.7,4.3,'99-00
117,Dedric Willoughby,CHI,26,190.5,180.0,Iowa State,USA,Undrafted,Undrafted,Undrafted,25.0,7.6,2.0,2.6,-4.7,2.1,8.7,19.9,47.2,22.5,'99-00
118,Dee Brown,TOR,31,187.96,205.0,Jacksonville,USA,1990,1,19,38.0,6.9,1.4,2.3,-1.0,1.2,6.8,19.2,49.8,21.4,'99-00
119,Dell Curry,TOR,36,195.58,205.0,Virginia Tech,USA,1986,1,15,67.0,7.6,1.5,1.3,0.0,1.0,8.6,20.2,54.2,14.1,'99-00
120,Dennis Rodman,DAL,39,200.66,210.0,Southeastern Oklahoma State,USA,1986,2,27,12.0,2.8,14.3,1.2,-7.4,12.2,31.8,6.3,45.7,4.6,'99-00
121,Dennis Scott,VAN,31,203.2,229.0,Georgia Tech,USA,1990,1,4,66.0,5.6,1.6,1.0,-5.8,1.3,8.0,13.6,51.5,8.9,'99-00
122,Derek Anderson,LAC,25,195.58,195.0,Kentucky,USA,1997,1,13,64.0,16.9,4.0,3.4,-13.5,3.6,8.6,23.1,54.2,17.9,'99-00
123,Derek Fisher,LAL,25,185.42,200.0,Arkansas-Little Rock,USA,1996,1,24,78.0,6.3,1.8,2.8,12.9,1.2,6.2,15.0,44.9,17.6,'99-00
124,Derek Hood,CHH,23,203.2,230.0,Arkansas,USA,Undrafted,Undrafted,Undrafted,2.0,0.0,0.5,0.0,-98.0,0.0,50.0,23.1,0.0,0.0,'99-00
125,Derek Strong,ORL,32,205.74,240.0,Xavier,USA,1990,2,47,20.0,2.7,2.2,0.2,-6.9,7.0,20.9,17.1,49.9,4.0,'99-00
126,Derrick Coleman,CHH,33,208.28,270.0,Syracuse,USA,1990,1,1,74.0,16.7,8.5,2.4,1.5,5.4,21.1,24.9,54.1,13.7,'99-00
127,Derrick Dial,SAS,24,193.04,184.0,Eastern Michigan,USA,1998,2,52,8.0,5.0,3.3,0.6,10.7,14.1,13.5,24.7,41.5,8.9,'99-00
128,Derrick McKey,IND,33,208.28,241.0,Alabama,USA,1987,1,9,32.0,4.3,4.2,1.1,6.3,5.1,16.1,11.4,52.4,9.0,'99-00
129,Detlef Schrempf,POR,37,208.28,235.0,Washington,USA,1985,1,8,77.0,7.5,4.3,2.6,6.4,5.3,14.5,17.3,54.4,19.2,'99-00
130,Devean George,LAL,22,203.2,220.0,Augsburg,USA,1999,1,23,49.0,3.2,1.5,0.2,0.7,7.6,11.9,21.8,47.8,6.1,'99-00
131,Devin Gray,HOU,28,200.66,240.0,Clemson,USA,1995,,,21.0,2.3,1.2,0.2,-3.4,8.0,12.0,17.6,49.2,6.9,'99-00
132,Dickey Simpkins,CHI,28,205.74,255.0,Providence,USA,1994,1,21,69.0,4.2,5.4,1.4,-11.9,7.5,15.9,12.6,43.9,10.5,'99-00
133,Dikembe Mutombo,ATL,34,218.44,261.0,Georgetown,Congo,1991,1,4,82.0,11.5,14.1,1.3,-2.7,10.2,27.6,13.9,62.1,5.4,'99-00
134,Dion Glover,ATL,21,195.58,228.0,Georgia Tech,USA,1999,1,20,30.0,6.5,1.3,0.9,-12.5,3.2,5.3,21.8,48.3,10.8,'99-00
135,Dirk Nowitzki,DAL,22,213.36,237.0,None,Germany,1998,1,9,82.0,17.5,6.5,2.5,1.4,3.4,14.1,20.8,56.4,10.7,'99-00
136,Don MacLean,PHX,30,208.28,235.0,UCLA,USA,1992,1,19,16.0,2.6,1.4,0.5,-6.5,3.7,12.6,17.3,40.7,10.0,'99-00
137,Don Reid,WAS,26,203.2,250.0,Georgetown,USA,1995,2,58,38.0,3.8,2.7,0.3,0.6,6.1,15.2,13.2,56.7,3.4,'99-00
138,Donny Marshall,CLE,27,200.66,230.0,Connecticut,USA,1995,2,39,6.0,1.8,0.2,0.0,2.0,0.0,2.6,19.5,40.3,0.0,'99-00
139,Donyell Marshall,GSW,27,205.74,230.0,Connecticut,USA,1994,1,4,64.0,14.2,10.0,2.6,-10.4,8.1,20.9,21.7,47.8,13.7,'99-00
140,Doug Christie,TOR,30,198.12,205.0,Pepperdine,USA,1992,1,17,73.0,12.4,3.9,4.4,0.4,2.7,9.9,19.1,52.6,22.7,'99-00
141,Doug Overton,BOS,30,190.5,190.0,La Salle,USA,1991,2,40,48.0,3.2,0.7,1.1,-2.8,3.0,4.5,17.4,46.6,20.5,'99-00
142,Doug West,VAN,33,198.12,220.0,Villanova,USA,1989,2,38,38.0,4.0,1.9,1.1,0.7,3.3,9.5,14.0,46.7,12.3,'99-00
143,Drew Barry,ATL,27,195.58,191.0,Georgia Tech,USA,1996,2,57,16.0,2.6,0.8,2.1,-7.9,0.0,7.1,12.4,58.2,33.0,'99-00
144,Duane Causwell,MIA,32,213.36,255.0,Temple,USA,1990,1,18,25.0,2.6,1.9,0.1,-19.4,5.8,17.1,15.0,61.4,1.7,'99-00
145,Earl Boykins,CLE,24,165.1,133.0,Eastern Michigan,USA,Undrafted,Undrafted,Undrafted,26.0,5.3,1.0,1.8,-11.3,4.2,6.8,23.3,54.7,34.5,'99-00
146,Eddie Jones,CHH,28,198.12,200.0,Temple,USA,1994,1,10,72.0,20.1,4.8,4.2,6.2,3.0,9.2,23.1,55.5,19.1,'99-00
147,Eddie Robinson,CHH,24,205.74,210.0,Central Oklahoma,USA,Undrafted,Undrafted,Undrafted,67.0,7.0,2.7,0.5,5.8,5.2,11.5,17.6,56.9,4.8,'99-00
148,Elden Campbell,CHH,31,213.36,255.0,Clemson,USA,1990,1,27,78.0,12.7,7.6,1.7,2.4,6.9,16.9,19.9,50.0,8.7,'99-00
149,Eldridge Recasner,CHH,32,193.04,190.0,Washington,USA,1992,,,7.0,1.0,0.6,0.7,-4.5,0.0,11.1,9.9,50.0,27.8,'99-00
150,Elliot Perry,NJN,31,182.88,152.0,Memphis,USA,1991,2,37,60.0,5.3,1.0,2.3,-2.4,1.6,6.1,21.1,49.3,30.7,'99-00
151,Elton Brand,CHI,21,203.2,260.0,Duke,USA,1999,1,1,81.0,20.1,10.0,1.9,-11.8,11.6,16.6,26.6,52.8,11.8,'99-00
152,Emanual Davis,SEA,31,195.58,195.0,Delaware State,USA,Undrafted,Undrafted,Undrafted,54.0,4.0,1.9,1.3,-2.7,2.0,11.3,16.8,45.8,16.2,'99-00
153,Eric Montross,DET,28,213.36,270.0,North Carolina,USA,1994,1,9,51.0,0.8,1.4,0.1,-5.4,5.5,16.5,10.6,33.2,3.2,'99-00
154,Eric Murdock,LAC,32,185.42,190.0,Providence,USA,1991,1,21,40.0,5.6,1.9,2.7,-10.2,2.0,8.8,18.6,46.8,26.0,'99-00
155,Eric Piatkowski,LAC,29,200.66,215.0,Nebraska,USA,1994,1,15,75.0,8.7,3.0,1.1,-12.6,4.0,8.9,16.9,53.0,7.9,'99-00
156,Eric Snow,PHI,27,190.5,204.0,Michigan State,USA,1995,2,43,82.0,7.9,3.2,7.6,2.3,1.4,7.7,12.7,48.2,32.7,'99-00
157,Eric Williams,BOS,27,203.2,220.0,Providence,USA,1995,1,14,68.0,7.2,2.3,1.4,-2.5,3.8,7.9,16.2,53.1,10.5,'99-00
158,Erick Dampier,GSW,24,210.82,265.0,Mississippi State,USA,1996,1,10,21.0,8.0,6.4,0.9,-8.5,8.6,17.3,18.5,42.7,6.4,'99-00
