,player,team,age,height,weight,college,country,draft year,draft round,draft number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%,season
1932,Leandro Barbosa,PHX,21,190.5,176.0,None,Brazil,2003,1,28,70.0,7.9,1.8,2.4,-2.9,1.5,6.7,18.1,55.3,17.5,'03-04
1933,Lee Nailon,CLE,29,205.74,238.0,TCU,USA,1999,2,43,57.0,6.0,2.5,0.7,-12.4,8.0,10.8,22.2,48.4,9.0,'03-04
1934,Leon Smith,SEA,23,208.28,235.0,None,USA,1999,1,29,1.0,2.0,2.0,0.0,28.6,25.0,25.0,28.6,50.0,0.0,'03-04
1935,Lindsey Hunter,DET,33,187.96,195.0,Jackson State,USA,1993,1,10,33.0,3.5,2.0,2.6,9.7,2.1,8.1,12.5,39.9,21.6,'03-04
1936,Linton Johnson,CHI,24,203.2,205.0,Tulane,USA,Undrafted,Undrafted,Undrafted,41.0,4.2,4.5,0.7,-9.8,7.0,16.6,15.0,39.4,6.5,'03-04
1937,Lonny Baxter,WAS,25,203.2,260.0,Maryland,USA,2002,2,43,62.0,4.0,3.0,0.3,-5.7,8.5,15.9,16.8,51.8,5.0,'03-04
1938,Loren Woods,MIA,26,218.44,261.0,Arizona,USA,2001,2,45,38.0,3.2,3.5,0.3,-3.0,12.7,14.9,13.5,50.3,3.6,'03-04
1939,Lorenzen Wright,MEM,28,210.82,240.0,Memphis,USA,1996,1,7,65.0,9.4,6.8,1.1,0.2,8.6,18.6,19.4,47.4,7.2,'03-04
1940,Lucious Harris,NJN,33,195.58,205.0,Long Beach State,USA,1993,2,28,69.0,6.9,2.0,2.0,2.5,2.8,6.9,17.0,48.1,15.4,'03-04
1941,Luke Ridnour,SEA,23,187.96,175.0,Oregon,USA,2003,1,14,69.0,5.5,1.6,2.4,-7.5,3.0,7.0,18.7,49.6,26.6,'03-04
1942,Luke Walton,LAL,24,203.2,235.0,Arizona,USA,2003,2,32,72.0,2.4,1.8,1.6,3.2,5.4,13.0,13.5,50.5,24.6,'03-04
1943,Maciej Lampe,PHX,19,210.82,240.0,None,Poland,2003,2,30,21.0,4.6,2.1,0.4,-12.2,4.3,15.2,21.4,51.2,6.9,'03-04
1944,Malik Allen,MIA,26,208.28,255.0,Villanova,USA,Undrafted,Undrafted,Undrafted,45.0,4.2,2.6,0.4,-5.7,7.0,12.7,18.0,44.9,4.9,'03-04
1945,Malik Rose,SAS,29,200.66,255.0,Drexel,USA,1996,2,44,67.0,7.9,4.8,1.0,4.7,8.9,16.5,21.9,52.6,10.0,'03-04
1946,Mamadou N'diaye,ATL,29,213.36,255.0,Auburn,Senegal,2000,1,26,28.0,3.5,4.0,0.0,-5.7,11.0,18.3,13.3,51.6,0.0,'03-04
1947,Manu Ginobili,SAS,26,198.12,210.0,None,Argentina,1999,2,57,77.0,12.8,4.5,3.8,8.9,3.8,11.4,21.1,53.6,21.8,'03-04
1948,Marc Jackson,PHI,29,208.28,253.0,Temple,USA,1997,2,37,22.0,9.4,5.7,0.8,-2.1,7.4,14.6,18.1,49.8,5.4,'03-04
1949,Marcus Banks,BOS,22,187.96,200.0,UNLV,USA,2003,1,13,81.0,5.9,1.6,2.2,-3.8,2.3,7.3,20.0,48.0,22.6,'03-04
1950,Marcus Camby,DEN,30,210.82,225.0,Massachusetts,USA,1996,1,2,72.0,8.6,10.1,1.8,2.5,9.7,24.4,14.2,51.1,9.2,'03-04
1951,Marcus Fizer,CHI,25,203.2,260.0,Iowa State,USA,2000,1,4,46.0,7.8,4.4,0.9,-5.9,7.4,19.8,26.4,44.7,10.6,'03-04
1952,Marcus Haislip,MIL,23,208.28,230.0,Tennessee,USA,2002,1,13,31.0,3.0,1.7,0.1,4.7,8.0,11.6,15.6,53.9,2.4,'03-04
1953,Mark Blount,BOS,28,213.36,250.0,Pittsburgh,USA,1997,2,54,82.0,10.3,7.2,0.9,-0.7,8.9,15.7,15.9,60.1,5.3,'03-04
1954,Mark Jackson,HOU,39,190.5,195.0,St. John's,USA,1987,1,18,42.0,2.5,1.7,2.8,-0.2,1.9,10.9,13.9,44.0,33.6,'03-04
1955,Mark Madsen,MIN,28,205.74,245.0,Stanford,USA,2000,1,29,72.0,3.6,3.8,0.4,6.7,10.7,11.2,11.2,50.6,3.4,'03-04
1956,Mark Pope,DEN,31,208.28,235.0,Kentucky,USA,1996,2,52,4.0,0.5,0.8,0.0,-45.5,0.0,13.0,10.4,41.0,0.0,'03-04
1957,Marko Jaric,LAC,25,195.58,217.0,None,Serbia,2000,2,30,58.0,8.5,3.0,4.8,-2.7,2.5,7.8,15.7,47.5,25.8,'03-04
1958,Marquis Daniels,DAL,23,198.12,200.0,Auburn,USA,Undrafted,Undrafted,Undrafted,56.0,8.5,2.6,2.1,0.3,6.3,7.8,20.3,53.6,16.8,'03-04
1959,Mateen Cleaves,CLE,26,187.96,210.0,Michigan State,USA,2000,1,14,4.0,3.8,1.8,4.8,-10.0,1.1,6.9,13.7,31.4,25.7,'03-04
1960,Matt Barnes,LAC,24,200.66,235.0,UCLA,USA,2002,2,45,38.0,4.5,4.0,1.3,-13.0,7.2,14.1,12.6,51.9,11.6,'03-04
1961,Matt Carroll,SAS,23,198.12,212.0,Notre Dame,USA,Undrafted,Undrafted,Undrafted,16.0,1.2,0.4,0.1,-2.5,1.3,6.9,15.2,51.0,5.0,'03-04
1962,Matt Harpring,UTA,28,200.66,231.0,Georgia Tech,USA,1998,1,15,31.0,16.2,8.0,2.0,1.2,8.7,14.8,22.0,52.4,10.2,'03-04
1963,Maurice Carter,NOH,27,195.58,210.0,Louisiana State,USA,Undrafted,Undrafted,Undrafted,10.0,4.2,1.1,0.4,5.6,1.8,8.1,22.0,47.9,7.0,'03-04
1964,Maurice Taylor,HOU,27,205.74,255.0,Michigan,USA,1997,1,14,75.0,11.5,5.1,1.4,-1.5,6.9,12.3,22.6,51.2,10.5,'03-04
1965,Mehmet Okur,DET,25,210.82,249.0,None,Turkey,2001,2,37,71.0,9.6,5.9,1.0,8.4,10.2,16.9,21.0,53.8,8.1,'03-04
1966,Melvin Ely,LAC,26,208.28,261.0,Fresno State,USA,2002,1,12,42.0,3.7,2.4,0.5,2.0,9.1,10.5,16.6,45.8,7.5,'03-04
1967,Mengke Bateer,TOR,28,210.82,290.0,None,China,Undrafted,Undrafted,Undrafted,7.0,1.1,1.1,0.1,-14.7,13.2,8.8,10.1,57.1,4.5,'03-04
1968,Metta World Peace,IND,24,200.66,246.0,St. John's,USA,1999,1,16,73.0,18.3,5.3,3.7,9.1,3.8,11.2,25.8,51.1,18.4,'03-04
1969,Michael Bradley,ATL,25,208.28,225.0,Villanova,USA,2001,1,17,16.0,0.9,1.4,0.1,-4.9,6.5,18.9,11.0,47.2,1.9,'03-04
1970,Michael Curry,TOR,35,195.58,210.0,Georgia Southern,USA,Undrafted,Undrafted,Undrafted,70.0,2.9,1.2,0.8,-7.0,1.9,5.3,10.8,46.0,8.3,'03-04
1971,Michael Doleac,DEN,27,210.82,262.0,Utah,USA,1998,1,12,72.0,4.5,3.7,0.6,-5.0,8.3,17.5,17.2,47.1,7.8,'03-04
1972,Michael Finley,DAL,31,200.66,225.0,Wisconsin,USA,1995,1,21,72.0,18.6,4.5,2.9,4.8,2.7,8.9,20.8,53.9,11.7,'03-04
1973,Michael Olowokandi,MIN,29,213.36,270.0,Pacific,Nigeria,1998,1,1,43.0,6.5,5.7,0.6,10.1,9.3,16.2,18.9,44.6,4.1,'03-04
1974,Michael Redd,MIL,24,198.12,215.0,Ohio State,USA,2000,2,43,82.0,21.7,5.0,2.3,-1.3,3.9,9.6,25.4,54.4,11.2,'03-04
1975,Michael Ruffin,UTA,27,203.2,246.0,Tulsa,USA,1999,2,32,41.0,2.2,5.0,1.0,-2.8,10.8,20.8,11.1,34.4,9.2,'03-04
1976,Michael Stewart,BOS,29,208.28,230.0,California,USA,Undrafted,Undrafted,Undrafted,25.0,0.5,1.2,0.0,-16.5,5.1,15.2,4.8,47.2,0.0,'03-04
1977,Michael Sweetney,NYK,21,203.2,260.0,Georgetown,USA,2003,1,9,42.0,4.3,3.7,0.3,3.7,14.3,18.4,17.8,54.4,4.9,'03-04
1978,Mickael Pietrus,GSW,22,198.12,210.0,None,France,2003,1,11,53.0,5.3,2.2,0.5,4.6,6.3,9.4,17.9,52.8,6.0,'03-04
1979,Mike Bibby,SAC,26,185.42,190.0,Arizona,USA,1998,1,2,82.0,18.4,3.4,5.4,5.9,2.4,6.9,22.7,56.4,24.1,'03-04
1980,Mike Dunleavy,GSW,23,205.74,230.0,Duke,USA,2002,1,3,75.0,11.7,5.9,2.9,-4.4,3.7,15.2,17.9,54.7,16.1,'03-04
1981,Mike James,DET,29,187.96,188.0,Duquesne,USA,Undrafted,Undrafted,Undrafted,81.0,9.3,2.9,4.2,1.2,1.3,9.3,17.1,52.8,25.4,'03-04
1982,Mike Miller,MEM,24,203.2,218.0,Florida,USA,2000,1,5,65.0,11.1,3.3,3.6,3.1,2.4,10.2,19.5,53.2,21.0,'03-04
1983,Mike Wilks,HOU,25,180.34,180.0,Rice,USA,Undrafted,Undrafted,Undrafted,26.0,1.9,0.6,0.7,9.1,2.6,8.0,16.8,60.6,22.4,'03-04
1984,Mikki Moore,UTA,28,213.36,225.0,Nebraska,USA,Undrafted,Undrafted,Undrafted,32.0,4.1,2.6,0.6,-1.5,7.5,15.3,15.7,56.8,9.7,'03-04
1985,Milt Palacio,TOR,26,190.5,195.0,Colorado State,Belize,Undrafted,Undrafted,Undrafted,59.0,4.4,1.7,3.1,-7.2,1.3,7.4,16.4,39.2,28.5,'03-04
1986,Mitchell Butler,WAS,33,195.58,210.0,UCLA,USA,Undrafted,Undrafted,Undrafted,41.0,3.3,1.7,0.8,2.0,4.3,8.1,12.2,49.8,9.3,'03-04
1987,Mo Williams,UTA,21,185.42,185.0,Alabama,USA,2003,2,47,57.0,5.0,1.3,1.3,-4.6,3.0,7.0,21.8,43.3,19.6,'03-04
1988,Moochie Norris,NYK,30,187.96,188.0,West Florida,USA,1996,2,33,66.0,3.5,1.0,1.8,-1.8,1.3,7.0,17.3,47.1,25.8,'03-04
1989,Morris Peterson,TOR,26,200.66,215.0,Michigan State,USA,2000,1,21,82.0,8.3,3.2,1.4,-1.3,1.7,10.8,15.4,53.9,9.5,'03-04
1990,Nazr Mohammed,NYK,26,208.28,250.0,Kentucky,USA,1998,1,29,80.0,7.4,5.9,0.5,-5.9,11.3,19.0,17.8,54.2,3.9,'03-04
1991,Ndudi Ebi,MIN,20,205.74,200.0,None,USA,2003,1,26,17.0,0.8,0.2,0.2,-16.7,6.5,2.6,25.7,41.2,20.0,'03-04
1992,Nene,DEN,21,210.82,260.0,None,Brazil,2002,1,7,77.0,11.8,6.5,2.2,5.7,6.4,14.2,16.9,57.8,10.4,'03-04
1993,Nick Van Exel,GSW,32,185.42,195.0,Cincinnati,USA,1993,2,37,39.0,12.6,2.7,5.3,-7.1,1.3,7.2,21.5,46.9,28.1,'03-04
1994,Nikoloz Tskitishvili,DEN,21,213.36,225.0,None,Georgia,2002,1,5,39.0,2.7,1.6,0.3,-7.2,6.8,13.2,20.6,39.3,5.7,'03-04
1995,Olden Polynice,LAC,39,208.28,250.0,Virginia,USA,1987,1,8,2.0,0.0,1.0,0.5,4.5,11.1,9.1,17.4,0.0,14.3,'03-04
1996,Oliver Miller,MIN,34,205.74,315.0,Arkansas,USA,1992,1,22,48.0,2.5,2.7,0.8,-0.6,9.8,16.2,13.0,54.9,11.5,'03-04
