,#,team,gp,w,l,min,"%fga
2pt","%fga
3pt","%pts
2pt","%pts
2pt- mr","%pts
3pt","%pts
fbps","%pts
ft","%pts
offto","%pts
pitp","2fgm
%ast","2fgm
%uast","3fgm
%ast","3fgm
%uast","fgm
%ast","fgm
%uast",season
28,29,Orlando Magic,82,21,61,48.4,81.6,18.4,64.2,28.6,16.7,11.5,19.1,15.9,35.6,50.4,49.6,78.6,21.4,54.5,45.5,'03-04
0,1,Phoenix Suns,82,62,20,48.2,71.1,28.9,56.4,17.3,26.4,16.7,17.2,14.9,39.1,48.3,51.7,86.9,13.1,57.5,42.5,'04-05
1,2,Miami Heat,82,59,23,48.7,80.2,19.8,63.0,20.2,17.1,11.5,19.9,14.7,42.8,52.8,47.2,85.5,14.5,57.8,42.2,'04-05
2,2,San Antonio Spurs,82,59,23,48.3,78.4,21.6,61.3,17.4,19.3,13.3,19.5,16.8,43.9,53.6,46.4,93.7,6.3,60.6,39.4,'04-05
3,4,Dallas Mavericks,82,58,24,48.1,81.0,19.0,61.7,24.1,16.5,14.4,21.7,17.7,37.7,47.2,52.8,83.4,16.6,52.6,47.4,'04-05
4,5,Detroit Pistons,82,54,28,48.7,83.6,16.4,65.0,26.1,14.2,13.6,20.8,16.7,39.0,59.2,40.8,86.5,13.5,62.7,37.3,'04-05
5,6,Seattle SuperSonics,82,52,30,48.2,71.9,28.1,54.6,17.4,24.6,9.9,20.7,15.9,37.3,41.1,58.9,86.5,13.5,51.6,48.4,'04-05
6,7,Houston Rockets,82,51,31,48.4,76.3,23.7,58.8,24.5,21.3,10.0,19.9,15.7,34.3,56.1,43.9,80.8,19.2,60.9,39.1,'04-05
7,8,Sacramento Kings,82,50,32,48.4,80.0,20.0,63.0,27.7,18.4,11.6,18.5,16.1,35.4,58.2,41.8,85.2,14.8,62.6,37.4,'04-05
8,9,Denver Nuggets,82,49,33,48.2,85.8,14.2,66.6,22.9,11.8,19.4,21.6,18.5,43.7,61.7,38.3,87.8,12.2,64.5,35.5,'04-05
9,10,Chicago Bulls,82,47,35,48.4,78.3,21.7,60.4,21.4,19.8,10.5,19.8,17.8,39.0,56.9,43.1,80.6,19.4,61.2,38.8,'04-05
10,11,Boston Celtics,82,45,37,48.5,80.8,19.2,62.8,19.8,15.8,14.6,21.4,17.5,43.0,54.3,45.7,89.9,10.1,59.4,40.6,'04-05
11,11,Memphis Grizzlies,82,45,37,48.1,76.3,23.7,59.3,16.3,20.8,12.0,19.9,19.1,43.0,54.6,45.4,89.6,10.4,61.2,38.8,'04-05
12,11,Washington Wizards,82,45,37,48.2,78.0,22.0,59.5,19.3,18.7,15.5,21.8,18.9,40.2,47.8,52.2,76.3,23.7,52.7,47.3,'04-05
13,14,Indiana Pacers,82,44,38,48.5,74.5,25.5,55.8,21.2,21.3,8.6,22.9,16.0,34.5,48.1,51.9,86.0,14.0,55.8,44.2,'04-05
14,14,Minnesota Timberwolves,82,44,38,48.2,82.7,17.3,66.8,32.6,14.9,11.5,18.3,13.4,34.2,59.3,40.7,87.6,12.4,63.0,37.0,'04-05
15,16,Philadelphia 76ers,82,43,39,48.4,78.4,21.6,60.1,19.8,18.6,15.0,21.3,18.0,40.3,52.1,47.9,86.9,13.1,58.0,42.0,'04-05
16,17,Cleveland Cavaliers,82,42,40,48.4,86.5,13.5,68.0,24.4,11.4,13.2,20.6,18.3,43.6,59.9,40.1,79.7,20.3,61.9,38.1,'04-05
17,17,New Jersey Nets,82,42,40,48.5,81.3,18.7,61.8,27.8,17.4,11.7,20.7,19.3,34.1,59.7,40.3,89.0,11.0,64.4,35.6,'04-05
18,19,Los Angeles Clippers,82,37,45,48.9,89.5,10.5,68.6,27.0,8.8,8.9,22.6,15.7,41.7,63.2,36.8,86.1,13.9,65.0,35.0,'04-05
19,20,Orlando Magic,82,36,46,48.1,86.3,13.7,66.5,26.6,11.8,18.1,21.7,16.8,39.9,48.7,51.3,81.3,18.8,52.2,47.8,'04-05
20,21,Golden State Warriors,82,34,48,48.5,74.8,25.2,59.4,21.4,23.1,13.9,17.4,16.5,38.0,54.2,45.8,81.4,18.6,59.8,40.2,'04-05
21,21,Los Angeles Lakers,82,34,48,48.2,72.7,27.3,55.6,16.4,23.9,12.0,20.5,13.5,39.2,49.1,50.9,88.0,12.0,57.8,42.2,'04-05
22,23,New York Knicks,82,33,49,48.5,81.2,18.8,63.6,25.2,16.6,9.4,19.8,16.3,38.4,51.5,48.5,81.2,18.8,55.9,44.1,'04-05
23,23,Toronto Raptors,82,33,49,48.3,74.7,25.3,56.3,22.2,23.8,11.7,19.9,15.5,34.2,48.8,51.2,84.3,15.7,56.6,43.4,'04-05
24,25,Milwaukee Bucks,82,30,52,48.2,85.9,14.1,66.2,26.2,12.2,10.6,21.6,15.0,40.0,54.3,45.7,88.0,12.0,58.0,42.0,'04-05
25,26,Portland Trail Blazers,82,27,55,48.1,81.9,18.1,65.0,19.5,16.5,14.4,18.5,15.9,45.5,55.3,44.7,84.0,16.0,59.5,40.5,'04-05
26,27,Utah Jazz,82,26,56,48.2,87.9,12.1,67.6,27.6,9.8,10.6,22.5,16.6,40.0,62.5,37.5,86.0,14.0,64.6,35.4,'04-05
27,28,Charlotte Bobcats,82,18,64,48.5,87.2,12.8,68.3,29.2,12.4,11.2,19.2,17.6,39.2,57.0,43.0,90.3,9.7,60.6,39.4,'04-05
28,28,New Orleans Hornets,82,18,64,48.6,79.9,20.1,63.5,26.7,17.2,11.4,19.3,16.3,36.8,60.1,39.9,82.2,17.8,63.4,36.6,'04-05
29,30,Atlanta Hawks,82,13,69,48.4,85.4,14.6,69.4,22.4,12.0,12.6,18.6,17.5,47.0,51.1,48.9,87.2,12.8,54.9,45.1,'04-05
0,1,Detroit Pistons,82,64,18,48.4,77.9,22.1,61.1,27.8,21.0,12.4,17.9,16.3,33.3,62.9,37.1,79.7,20.3,66.1,33.9,'05-06
1,2,San Antonio Spurs,82,63,19,48.3,78.5,21.5,63.0,18.9,20.1,9.9,16.9,16.2,44.1,50.4,49.6,90.1,9.9,57.4,42.6,'05-06
2,3,Dallas Mavericks,82,60,22,48.5,82.5,17.5,62.3,24.3,15.4,13.8,22.4,16.2,38.0,43.5,56.5,89.4,10.6,50.0,50.0,'05-06
3,4,Phoenix Suns,82,54,28,48.7,70.7,29.3,58.4,23.8,28.3,14.8,13.4,15.7,34.5,56.9,43.1,84.0,16.0,63.5,36.5,'05-06
4,5,Miami Heat,82,52,30,48.2,77.3,22.7,62.1,15.6,18.2,12.9,19.7,15.3,46.5,48.5,51.5,92.4,7.6,55.7,44.3,'05-06
5,6,Cleveland Cavaliers,82,50,32,48.4,77.2,22.8,60.3,18.1,18.6,12.9,21.1,15.5,42.1,48.2,51.8,80.3,19.7,53.6,46.4,'05-06
6,7,Memphis Grizzlies,82,49,33,48.4,74.2,25.8,57.1,16.4,23.4,9.8,19.5,17.3,40.7,49.4,50.6,88.5,11.5,57.8,42.2,'05-06
7,7,New Jersey Nets,82,49,33,48.2,77.1,22.9,59.8,24.3,18.6,13.7,21.6,17.2,35.6,63.4,36.6,89.3,10.7,67.8,32.2,'05-06
8,9,Los Angeles Clippers,82,47,35,48.3,86.9,13.1,67.8,26.9,10.9,9.3,21.3,13.8,40.9,53.7,46.3,88.6,11.4,57.1,42.9,'05-06
9,10,Los Angeles Lakers,82,45,37,48.4,76.0,24.0,59.8,20.3,20.3,9.9,19.8,16.9,39.6,51.5,48.5,86.4,13.6,58.0,42.0,'05-06
10,11,Denver Nuggets,82,44,38,48.6,83.9,16.1,66.3,23.6,12.8,20.2,20.9,18.0,42.8,59.1,40.9,88.6,11.4,62.4,37.6,'05-06
11,11,Sacramento Kings,82,44,38,48.4,78.3,21.7,60.7,23.8,18.3,10.9,21.0,17.0,36.9,56.6,43.4,87.4,12.6,61.8,38.2,'05-06
12,13,Washington Wizards,82,42,40,48.4,79.1,20.9,59.5,20.2,17.9,15.2,22.7,18.3,39.2,46.3,53.7,75.7,24.3,51.2,48.8,'05-06
13,14,Chicago Bulls,82,41,41,48.5,78.1,21.9,60.9,24.9,20.9,9.9,18.1,16.7,36.0,55.2,44.8,81.3,18.8,60.1,39.9,'05-06
14,14,Indiana Pacers,82,41,41,48.1,75.5,24.5,58.4,20.8,20.9,9.1,20.7,14.8,37.6,53.1,46.9,81.5,18.5,58.5,41.5,'05-06
15,14,Utah Jazz,82,41,41,48.5,85.1,14.9,64.3,23.6,12.3,11.0,23.4,16.2,40.7,62.0,38.0,84.6,15.4,64.6,35.4,'05-06
16,17,Milwaukee Bucks,82,40,42,48.4,79.7,20.3,61.6,20.2,19.0,13.6,19.5,17.2,41.3,53.6,46.4,87.8,12.2,59.4,40.6,'05-06
17,18,New Orleans/Oklahoma City Hornets,82,38,44,48.3,86.2,13.8,66.5,25.8,11.8,12.9,21.7,17.3,40.7,49.7,50.3,87.3,12.7,53.7,46.3,'05-06
18,18,Philadelphia 76ers,82,38,44,48.5,84.2,15.8,64.5,22.0,13.8,12.2,21.7,17.4,42.5,50.2,49.8,89.1,10.9,55.1,44.9,'05-06
19,20,Orlando Magic,82,36,46,48.5,87.1,12.9,67.1,24.6,11.5,12.0,21.4,16.1,42.5,47.4,52.6,86.3,13.7,51.4,48.6,'05-06
20,21,Seattle SuperSonics,82,35,47,48.4,75.7,24.3,58.8,20.0,21.6,14.5,19.6,15.8,38.8,48.1,51.9,83.6,16.4,55.1,44.9,'05-06
21,22,Golden State Warriors,82,34,48,48.4,73.0,27.0,57.3,17.9,23.2,14.2,19.5,15.9,39.4,51.9,48.1,78.9,21.1,57.6,42.4,'05-06
22,22,Houston Rockets,82,34,48,48.4,77.4,22.6,60.6,23.0,19.0,8.8,20.3,16.2,37.6,53.1,46.9,83.2,16.8,58.3,41.7,'05-06
23,24,Boston Celtics,82,33,49,48.5,79.6,20.4,61.8,21.4,17.4,12.4,20.7,15.7,40.4,52.3,47.7,89.5,10.5,58.1,41.9,'05-06
24,24,Minnesota Timberwolves,82,33,49,48.4,85.1,14.9,68.5,30.5,12.4,11.8,19.1,16.7,38.0,57.0,43.0,79.7,20.3,59.4,40.6,'05-06
25,26,Toronto Raptors,82,27,55,48.7,75.6,24.4,58.0,22.9,22.0,10.8,19.9,16.1,35.2,44.9,55.1,84.2,15.8,52.9,47.1,'05-06
26,27,Atlanta Hawks,82,26,56,48.5,82.2,17.8,63.3,21.5,16.0,11.4,20.8,17.1,41.8,50.4,49.6,83.7,16.3,55.2,44.8,'05-06
27,27,Charlotte Bobcats,82,26,56,48.5,81.6,18.4,63.8,23.2,16.2,13.5,20.1,19.9,40.6,52.7,47.3,89.3,10.7,58.0,42.0,'05-06
28,29,New York Knicks,82,23,59,48.6,85.8,14.2,63.8,18.6,12.2,8.1,23.9,15.8,45.2,47.9,52.1,84.4,15.6,52.0,48.0,'05-06
29,30,Portland Trail Blazers,82,21,61,48.1,83.4,16.6,66.6,25.1,15.0,10.6,18.4,15.0,41.5,48.5,51.5,86.0,14.0,53.4,46.6,'05-06
0,1,Dallas Mavericks,82,67,15,48.2,78.2,21.8,60.4,25.0,19.6,13.4,20.1,17.0,35.3,46.9,53.1,88.0,12.0,54.2,45.8,'06-07
1,2,Phoenix Suns,82,61,21,48.5,71.3,28.7,57.6,17.9,26.1,15.4,16.3,15.8,39.7,55.7,44.3,85.6,14.4,62.6,37.4,'06-07
2,3,San Antonio Spurs,82,58,24,48.2,75.3,24.7,59.5,19.1,22.1,11.8,18.4,17.1,40.5,52.3,47.7,93.4,6.6,60.5,39.5,'06-07
3,4,Detroit Pistons,82,53,29,48.5,79.9,20.1,63.3,26.6,17.1,11.1,19.6,17.5,36.8,56.1,43.9,82.2,17.8,60.1,39.9,'06-07
4,5,Houston Rockets,82,52,30,48.4,71.0,29.0,55.4,19.0,26.6,7.6,18.1,15.7,36.4,51.8,48.2,80.0,20.0,58.6,41.4,'06-07
5,6,Utah Jazz,82,51,31,48.3,83.7,16.3,65.2,22.7,12.8,9.2,22.0,16.1,42.5,63.2,36.8,86.7,13.3,65.9,34.1,'06-07
6,7,Cleveland Cavaliers,82,50,32,48.5,78.9,21.1,62.6,21.0,18.7,12.7,18.7,17.2,41.6,51.9,48.1,84.6,15.4,57.4,42.6,'06-07
7,8,Chicago Bulls,82,49,33,48.2,81.4,18.6,63.4,27.2,17.8,12.4,18.9,19.3,36.1,56.2,43.8,81.0,19.0,60.1,39.9,'06-07
8,9,Toronto Raptors,82,47,35,48.2,77.6,22.4,61.3,25.8,19.5,12.6,19.1,16.8,35.5,53.6,46.4,90.6,9.4,60.1,39.9,'06-07
9,10,Denver Nuggets,82,45,37,48.2,78.8,21.2,62.0,17.8,16.8,17.7,21.1,18.4,44.3,55.0,45.0,92.4,7.6,60.7,39.3,'06-07
10,11,Miami Heat,82,44,38,48.4,75.5,24.5,61.6,18.7,20.4,11.4,18.0,16.4,42.9,51.4,48.6,85.6,14.4,57.6,42.4,'06-07
11,12,Golden State Warriors,82,42,40,48.2,72.1,27.9,58.6,14.7,24.0,19.2,17.3,19.9,44.0,52.5,47.5,86.6,13.4,59.8,40.2,'06-07
12,12,Los Angeles Lakers,82,42,40,48.9,74.1,25.9,58.9,18.2,21.5,9.3,19.6,16.4,40.7,53.7,46.3,83.7,16.3,59.6,40.4,'06-07
13,14,New Jersey Nets,82,41,41,48.5,73.7,26.3,57.6,20.0,22.8,13.6,19.6,17.1,37.5,60.9,39.1,91.6,8.4,67.4,32.6,'06-07
14,14,Washington Wizards,82,41,41,48.4,76.3,23.7,58.6,21.4,19.7,14.7,21.7,18.2,37.3,48.7,51.3,78.1,21.9,54.1,45.9,'06-07
15,16,Los Angeles Clippers,82,40,42,48.1,85.7,14.3,65.4,26.9,12.0,8.2,22.6,16.1,38.6,57.2,42.8,93.3,6.7,61.2,38.8,'06-07
16,16,Orlando Magic,82,40,42,48.2,84.2,15.8,65.2,19.7,13.2,14.7,21.6,17.9,45.5,48.3,51.7,88.3,11.7,53.0,47.0,'06-07
17,18,New Orleans/Oklahoma City Hornets,82,39,43,48.5,81.2,18.8,64.2,20.5,17.4,12.9,18.3,15.8,43.8,45.6,54.4,85.5,14.5,51.7,48.3,'06-07
18,19,Indiana Pacers,82,35,47,48.2,78.8,21.2,61.0,22.6,18.4,12.2,20.6,17.9,38.4,52.2,47.8,89.8,10.2,58.5,41.5,'06-07
19,19,Philadelphia 76ers,82,35,47,48.5,87.2,12.8,68.0,26.0,10.9,14.7,21.0,17.8,42.0,53.5,46.5,88.7,11.3,56.9,43.1,'06-07
20,21,Charlotte Bobcats,82,33,49,48.8,80.7,19.3,63.0,22.6,17.3,9.9,19.7,17.1,40.4,56.5,43.5,92.1,7.9,62.0,38.0,'06-07
21,21,New York Knicks,82,33,49,48.8,78.4,21.6,60.8,14.4,17.8,9.6,21.4,15.4,46.4,47.5,52.5,79.7,20.3,52.8,47.2,'06-07
22,21,Sacramento Kings,82,33,49,48.3,76.8,23.2,58.1,20.1,19.1,11.5,22.8,18.4,38.0,50.2,49.8,85.8,14.2,56.6,43.4,'06-07
23,24,Minnesota Timberwolves,82,32,50,48.8,83.3,16.7,66.3,29.9,14.6,9.4,19.0,16.0,36.4,57.6,42.4,89.6,10.4,61.7,38.3,'06-07
24,24,Portland Trail Blazers,82,32,50,48.7,80.7,19.3,63.4,22.9,16.6,6.7,20.0,16.2,40.5,46.4,53.6,88.5,11.5,52.6,47.4,'06-07
25,26,Seattle SuperSonics,82,31,51,48.4,78.1,21.9,62.0,19.0,19.4,11.9,18.6,16.7,43.0,50.3,49.7,81.1,18.9,55.6,44.4,'06-07
26,27,Atlanta Hawks,82,30,52,48.5,83.7,16.3,64.8,23.6,13.3,12.6,21.8,17.4,41.3,51.8,48.2,83.3,16.7,55.6,44.4,'06-07
27,28,Milwaukee Bucks,82,28,54,48.4,78.1,21.9,63.6,18.1,19.2,13.1,17.2,17.6,45.4,51.2,48.8,84.4,15.6,56.7,43.3,'06-07
28,29,Boston Celtics,82,24,58,48.4,80.1,19.9,60.8,20.1,18.0,12.5,21.3,18.1,40.7,49.9,50.1,93.0,7.0,57.0,43.0,'06-07
29,30,Memphis Grizzlies,82,22,60,48.7,78.9,21.1,60.0,18.2,18.0,14.1,22.0,16.5,41.8,50.5,49.5,83.6,16.4,56.0,44.0,'06-07
0,1,Boston Celtics,82,66,16,48.2,75.1,24.9,58.0,19.3,21.7,11.0,20.3,18.8,38.6,54.9,45.1,87.4,12.6,61.4,38.6,'07-08
1,2,Detroit Pistons,82,59,23,48.1,79.7,20.3,62.9,29.7,18.3,11.8,18.9,15.9,33.1,56.6,43.4,84.2,15.8,61.1,38.9,'07-08
2,3,Los Angeles Lakers,82,57,25,48.2,74.3,25.7,58.1,17.8,22.3,11.4,19.6,15.8,40.3,55.4,44.6,86.3,13.7,61.7,38.3,'07-08
3,4,New Orleans Hornets,82,56,26,48.3,76.1,23.9,61.3,21.4,22.9,13.5,15.9,16.6,39.9,48.4,51.6,88.7,11.3,56.4,43.6,'07-08
4,4,San Antonio Spurs,82,56,26,48.1,74.9,25.1,59.9,22.1,22.8,9.9,17.3,15.1,37.8,49.8,50.2,92.8,7.2,58.5,41.5,'07-08
5,6,Houston Rockets,82,55,27,48.1,74.5,25.5,61.0,19.8,22.1,8.4,16.9,15.4,41.3,52.2,47.8,84.6,15.4,58.5,41.5,'07-08
6,6,Phoenix Suns,82,55,27,48.2,74.0,26.0,59.8,19.4,23.1,15.8,17.2,14.4,40.4,60.0,40.0,81.8,18.2,64.5,35.5,'07-08
7,8,Utah Jazz,82,54,28,48.1,83.4,16.6,65.9,21.4,14.0,10.7,20.0,17.6,44.5,62.9,37.1,88.2,11.8,66.0,34.0,'07-08
8,9,Orlando Magic,82,52,30,48.2,67.8,32.2,52.7,12.7,28.0,11.9,19.3,14.7,40.0,44.6,55.4,87.3,12.7,55.8,44.2,'07-08
9,10,Dallas Mavericks,82,51,31,48.1,78.5,21.5,61.5,26.1,18.0,14.5,20.5,14.4,35.3,50.3,49.7,90.3,9.7,56.9,43.1,'07-08
10,11,Denver Nuggets,82,50,32,48.4,77.2,22.8,60.3,18.2,18.8,17.2,20.8,16.3,42.1,55.1,44.9,90.7,9.3,61.2,38.8,'07-08
11,12,Golden State Warriors,82,48,34,48.2,70.5,29.5,58.0,14.3,25.1,20.7,16.9,18.0,43.7,45.9,54.1,81.5,18.5,53.9,46.1,'07-08
12,13,Cleveland Cavaliers,82,45,37,48.4,76.9,23.1,60.4,20.8,21.0,12.3,18.7,14.5,39.5,49.8,50.2,82.1,17.9,55.8,44.2,'07-08
13,14,Washington Wizards,82,43,39,48.5,75.9,24.1,59.5,20.0,21.3,10.4,19.2,15.7,39.5,47.4,52.6,80.5,19.5,53.8,46.2,'07-08
14,15,Portland Trail Blazers,82,41,41,48.5,78.2,21.8,61.3,28.7,20.6,8.2,18.1,14.8,32.6,51.6,48.4,92.0,8.0,59.0,41.0,'07-08
15,15,Toronto Raptors,82,41,41,48.4,78.3,21.7,62.7,28.5,20.9,7.9,16.4,16.6,34.2,54.9,45.1,94.4,5.6,62.0,38.0,'07-08
16,17,Philadelphia 76ers,82,40,42,48.2,85.7,14.3,69.5,22.9,11.4,18.9,19.0,18.7,46.6,51.6,48.4,83.1,16.9,54.7,45.3,'07-08
17,18,Sacramento Kings,82,38,44,48.4,79.2,20.8,60.3,20.7,18.2,12.5,21.6,17.3,39.6,45.1,54.9,83.3,16.7,51.5,48.5,'07-08
18,19,Atlanta Hawks,82,37,45,48.4,83.5,16.5,64.3,20.5,14.3,17.1,21.4,16.1,43.8,57.2,42.8,83.6,16.4,60.6,39.4,'07-08
19,20,Indiana Pacers,82,36,46,48.2,71.1,28.9,55.0,19.4,26.6,12.8,18.4,16.3,35.6,49.6,50.4,92.7,7.3,60.1,39.9,'07-08
20,21,New Jersey Nets,82,34,48,48.4,77.8,22.2,60.0,21.7,19.0,13.6,21.0,15.1,38.3,63.2,36.8,87.3,12.7,67.4,32.6,'07-08
21,22,Chicago Bulls,82,33,49,48.3,81.0,19.0,63.0,26.3,17.8,11.5,19.2,16.6,36.7,55.6,44.4,87.3,12.7,60.6,39.4,'07-08
22,23,Charlotte Bobcats,82,32,50,48.5,78.0,22.0,61.1,19.6,19.9,12.6,19.0,16.5,41.5,52.6,47.4,88.8,11.2,59.1,40.9,'07-08
23,24,Milwaukee Bucks,82,26,56,48.4,80.5,19.5,64.7,22.0,17.0,10.5,18.3,15.2,42.7,53.5,46.5,84.7,15.3,58.2,41.8,'07-08
24,25,Los Angeles Clippers,82,23,59,48.3,83.3,16.7,64.2,27.3,13.7,9.3,22.1,16.0,36.9,57.1,42.9,91.7,8.3,61.4,38.6,'07-08
25,25,New York Knicks,82,23,59,48.5,78.5,21.5,62.3,19.1,18.5,9.6,19.2,14.1,43.3,46.1,53.9,79.2,20.8,51.6,48.4,'07-08
26,27,Memphis Grizzlies,82,22,60,48.3,73.6,26.4,59.1,15.4,22.5,14.9,18.4,15.2,43.7,42.0,58.0,88.7,11.3,51.4,48.6,'07-08
27,27,Minnesota Timberwolves,82,22,60,48.1,81.5,18.5,67.2,22.0,16.9,9.2,15.9,14.9,45.2,47.4,52.6,86.2,13.8,53.0,47.0,'07-08
28,29,Seattle SuperSonics,82,20,62,48.4,86.6,13.4,70.3,28.2,11.7,16.2,18.0,13.9,42.1,52.7,47.3,85.0,15.0,55.9,44.1,'07-08
29,30,Miami Heat,82,15,67,48.4,78.3,21.7,61.9,25.4,19.7,10.6,18.5,16.7,36.5,53.4,46.6,82.9,17.1,58.5,41.5,'07-08
0,1,Cleveland Cavaliers,82,66,16,48.2,74.1,25.9,57.5,22.0,23.9,11.4,18.5,17.2,35.6,48.4,51.6,79.0,21.0,55.0,45.0,'08-09
1,2,Los Angeles Lakers,82,65,17,48.2,78.3,21.7,63.0,19.0,18.7,11.5,18.3,17.6,43.9,52.2,47.8,85.4,14.6,57.7,42.3,'08-09
2,3,Boston Celtics,82,62,20,48.5,78.6,21.4,61.3,19.9,19.5,11.6,19.2,17.1,41.4,54.1,45.9,91.1,8.9,60.6,39.4,'08-09
3,4,Orlando Magic,82,59,23,48.1,66.5,33.5,51.0,15.5,29.6,11.4,19.4,14.2,35.5,41.7,58.3,87.1,12.9,54.4,45.6,'08-09
4,5,Denver Nuggets,82,54,28,48.1,77.3,22.7,58.7,16.6,19.2,16.1,22.1,17.3,42.1,55.5,44.5,77.7,22.3,59.5,40.5,'08-09
5,5,Portland Trail Blazers,82,54,28,48.4,76.1,23.9,59.4,20.5,21.9,9.2,18.7,15.8,38.9,46.7,53.3,90.1,9.9,55.2,44.8,'08-09
6,5,San Antonio Spurs,82,54,28,48.5,75.2,24.8,60.7,24.5,23.6,9.7,15.7,13.8,36.2,48.9,51.1,88.5,11.5,57.1,42.9,'08-09
7,8,Houston Rockets,82,53,29,48.3,74.6,25.4,57.9,17.2,23.1,8.9,19.0,13.8,40.7,49.2,50.8,82.4,17.6,56.2,43.8,'08-09
8,9,Dallas Mavericks,82,50,32,48.3,75.9,24.1,61.3,26.7,20.5,14.9,18.2,15.1,34.6,50.6,49.4,85.1,14.9,56.9,43.1,'08-09
9,10,New Orleans Hornets,82,49,33,48.2,76.0,24.0,59.9,20.4,21.2,10.9,18.8,15.7,39.6,47.1,52.9,89.9,10.1,55.3,44.7,'08-09
10,11,Utah Jazz,82,48,34,48.5,83.1,16.9,64.8,21.3,13.8,12.4,21.4,18.5,43.5,60.9,39.1,89.3,10.7,64.4,35.6,'08-09
11,12,Atlanta Hawks,82,47,35,48.1,74.7,25.3,58.6,18.1,22.3,15.9,19.1,15.8,40.5,48.3,51.7,86.8,13.2,56.1,43.9,'08-09
12,13,Phoenix Suns,82,46,36,48.2,78.4,21.6,62.8,15.4,18.5,16.1,18.7,15.2,47.5,52.0,48.0,79.6,20.4,56.5,43.5,'08-09
13,14,Miami Heat,82,43,39,48.7,75.5,24.5,60.8,23.1,21.7,9.8,17.5,17.6,37.7,48.5,51.5,82.6,17.4,55.1,44.9,'08-09
14,15,Chicago Bulls,82,41,41,48.6,81.1,18.9,62.9,25.8,17.7,14.7,19.5,16.7,37.0,50.5,49.5,81.7,18.3,55.4,44.6,'08-09
15,15,Philadelphia 76ers,82,41,41,48.2,83.6,16.4,66.5,20.9,12.8,18.0,20.7,18.6,45.6,51.6,48.4,80.9,19.1,55.0,45.0,'08-09
16,17,Detroit Pistons,82,39,43,48.5,83.5,16.5,67.4,30.8,14.6,10.5,18.0,14.2,36.6,51.0,49.0,95.5,4.5,56.7,43.3,'08-09
17,18,Indiana Pacers,82,36,46,48.4,75.6,24.4,59.6,20.1,22.7,12.7,17.7,14.4,39.5,45.4,54.6,93.3,6.7,55.1,44.9,'08-09
18,19,Charlotte Bobcats,82,35,47,48.6,78.7,21.3,61.9,19.0,19.1,10.8,19.0,18.4,42.9,53.9,46.1,93.9,6.1,60.7,39.3,'08-09
19,20,Milwaukee Bucks,82,34,48,48.2,79.2,20.8,61.4,23.2,18.8,11.7,19.8,18.7,38.1,53.9,46.1,89.2,10.8,59.9,40.1,'08-09
20,20,New Jersey Nets,82,34,48,48.4,73.5,26.5,56.5,18.6,24.3,11.3,19.2,15.5,37.9,47.8,52.2,84.2,15.8,55.9,44.1,'08-09
21,22,Toronto Raptors,82,33,49,48.3,80.7,19.3,63.4,28.6,17.7,9.5,18.9,15.2,34.8,54.3,45.7,91.0,9.0,60.1,39.9,'08-09
22,23,New York Knicks,82,32,50,48.3,67.8,32.2,54.1,14.3,28.6,10.2,17.3,16.2,39.9,44.7,55.3,84.3,15.7,55.1,44.9,'08-09
23,24,Golden State Warriors,82,29,53,48.5,79.1,20.9,60.2,20.5,18.5,16.9,21.3,15.2,39.7,46.8,53.2,82.7,17.3,53.0,47.0,'08-09
24,25,Memphis Grizzlies,82,24,58,48.3,82.5,17.5,64.1,20.3,15.5,12.7,20.4,17.6,43.8,43.3,56.7,89.2,10.8,49.7,50.3,'08-09
25,25,Minnesota Timberwolves,82,24,58,48.3,77.3,22.7,60.9,19.1,20.3,10.3,18.8,14.5,41.8,49.1,50.9,87.5,12.5,56.1,43.9,'08-09
26,27,Oklahoma City Thunder,82,23,59,48.3,85.9,14.1,67.2,23.6,12.4,15.0,20.4,15.8,43.6,51.5,48.5,87.8,12.2,55.5,44.5,'08-09
27,28,Los Angeles Clippers,82,19,63,48.5,77.4,22.6,62.1,19.0,20.6,11.2,17.4,14.8,43.0,52.5,47.5,84.7,15.3,58.3,41.7,'08-09
28,28,Washington Wizards,82,19,63,48.1,82.0,18.0,66.0,22.9,15.0,11.1,19.0,15.9,43.1,50.6,49.4,82.5,17.5,54.8,45.2,'08-09
29,30,Sacramento Kings,82,17,65,48.5,76.2,23.8,58.3,20.9,21.3,12.0,20.4,15.7,37.4,48.1,51.9,79.0,21.0,54.1,45.9,'08-09
0,1,Cleveland Cavaliers,82,61,21,48.2,75.2,24.8,59.7,16.6,21.6,13.7,18.7,15.1,43.1,55.1,44.9,76.2,23.8,59.2,40.8,'09-10
1,2,Orlando Magic,82,59,23,48.1,65.0,35.0,51.4,13.7,29.9,11.8,18.7,13.9,37.7,42.1,57.9,83.7,16.3,53.7,46.3,'09-10
2,3,Los Angeles Lakers,82,57,25,48.4,77.3,22.7,62.6,19.6,19.1,11.1,18.2,16.0,43.0,49.7,50.3,81.2,18.8,55.0,45.0,'09-10
3,4,Dallas Mavericks,82,55,27,48.5,77.8,22.2,61.7,24.5,20.0,15.7,18.2,16.1,37.2,55.6,44.4,86.4,13.6,61.1,38.9,'09-10
4,5,Phoenix Suns,82,54,28,48.1,73.9,26.1,57.7,16.6,24.2,14.5,18.0,13.3,41.2,50.9,49.1,80.1,19.9,57.3,42.7,'09-10
