,#,team,gp,w,l,min,"est. 
offrtg","est. 
defrtg","est. 
netrtg","est. 
ast ratio","est. 
oreb%","est. 
dreb%","est. 
reb%","est. 
tov%","est. 
pace",season
2,3,San Antonio Spurs,82,58,24,3956,106.7,97.4,9.2,17.8,24.2,75.7,51.0,15.0,92.00,'06-07
3,4,Detroit Pistons,82,53,29,3976,106.2,101.1,5.1,17.3,28.3,70.9,49.6,13.5,89.70,'06-07
4,5,Houston Rockets,82,52,30,3971,104.0,97.5,6.4,16.5,25.7,77.0,51.5,15.2,93.00,'06-07
5,6,Utah Jazz,82,51,31,3961,106.7,104.7,2.0,18.5,31.7,75.1,53.4,16.4,94.10,'06-07
6,7,Cleveland Cavaliers,82,50,32,3976,102.6,98.9,3.7,16.2,29.7,75.8,52.2,15.2,93.20,'06-07
7,8,Chicago Bulls,82,49,33,3956,102.5,97.0,5.4,17.0,28.6,74.3,51.6,16.6,96.00,'06-07
8,9,Toronto Raptors,82,47,35,3951,105.0,103.2,1.8,17.5,22.2,74.5,48.1,14.2,94.70,'06-07
9,10,Denver Nuggets,82,45,37,3956,104.9,102.7,2.2,17.1,28.9,71.8,50.7,16.4,100.20,'06-07
10,11,Miami Heat,82,44,38,3971,102.6,102.0,0.6,16.6,24.9,73.3,49.7,15.9,92.10,'06-07
11,12,Golden State Warriors,82,42,40,3951,104.7,104.5,0.2,17.3,25.6,69.6,47.2,15.7,101.60,'06-07
12,12,Los Angeles Lakers,82,42,40,4006,105.6,106.1,-0.5,17.1,26.1,72.3,49.4,15.9,96.00,'06-07
13,14,Washington Wizards,82,41,41,3966,106.7,108.0,-1.3,15.5,28.1,71.0,48.9,14.1,96.70,'06-07
14,14,New Jersey Nets,82,41,41,3976,103.7,103.5,0.2,18.5,24.6,74.4,49.7,15.7,93.60,'06-07
15,16,Los Angeles Clippers,82,40,42,3946,102.4,102.8,-0.4,17.0,27.2,74.7,51.2,16.2,93.20,'06-07
16,16,Orlando Magic,82,40,42,3956,102.0,101.7,0.4,15.1,29.3,73.7,52.0,18.3,92.20,'06-07
17,18,New Orleans/Oklahoma City Hornets,82,39,43,3976,101.9,104.0,-2.2,14.9,29.1,74.7,51.4,15.4,92.60,'06-07
18,19,Indiana Pacers,82,35,47,3956,100.0,103.0,-3.0,15.9,28.4,72.7,50.1,17.0,94.90,'06-07
19,19,Philadelphia 76ers,82,35,47,3976,101.0,103.9,-2.9,16.1,27.2,70.8,49.1,16.3,93.20,'06-07
20,21,Sacramento Kings,82,33,49,3961,103.6,105.2,-1.7,15.8,23.1,72.5,47.3,14.9,97.20,'06-07
21,21,Charlotte Bobcats,82,33,49,4001,100.7,104.8,-4.1,17.1,26.4,71.6,48.3,15.5,94.50,'06-07
22,21,New York Knicks,82,33,49,4001,102.7,106.3,-3.6,14.7,31.0,74.0,52.7,18.1,93.10,'06-07
23,24,Minnesota Timberwolves,82,32,50,4001,101.1,105.3,-4.2,17.5,25.2,72.1,49.2,16.4,93.30,'06-07
24,24,Portland Trail Blazers,82,32,50,3991,101.7,107.3,-5.6,15.0,28.2,73.0,50.2,16.3,90.80,'06-07
25,26,Seattle SuperSonics,82,31,51,3966,104.1,107.5,-3.4,16.2,27.8,70.9,49.2,16.2,94.30,'06-07
26,27,Atlanta Hawks,82,30,52,3976,100.1,105.5,-5.3,15.3,29.2,70.9,49.8,17.0,92.50,'06-07
27,28,Milwaukee Bucks,82,28,54,3971,104.0,109.1,-5.0,16.7,27.6,68.1,47.6,15.8,94.80,'06-07
28,29,Boston Celtics,82,24,58,3971,100.2,104.5,-4.4,15.6,27.0,73.8,49.9,17.2,94.50,'06-07
29,30,Memphis Grizzlies,82,22,60,3996,104.3,109.7,-5.4,15.9,25.9,71.1,48.5,16.8,95.90,'06-07
0,1,Boston Celtics,82,66,16,3951,107.6,96.2,11.5,17.6,26.6,74.4,51.9,16.3,93.30,'07-08
1,2,Detroit Pistons,82,59,23,3946,108.0,100.0,8.0,17.8,29.4,73.7,51.4,12.9,89.90,'07-08
2,3,Los Angeles Lakers,82,57,25,3956,110.3,102.8,7.4,18.1,26.3,73.4,50.8,14.3,98.00,'07-08
3,4,New Orleans Hornets,82,56,26,3961,109.0,102.9,6.2,17.2,27.0,75.4,50.6,12.8,92.10,'07-08
4,4,San Antonio Spurs,82,56,26,3946,104.7,99.5,5.2,17.1,23.4,77.1,50.6,13.9,90.80,'07-08
5,6,Phoenix Suns,82,55,27,3956,111.2,104.9,6.3,19.7,22.4,70.9,48.6,14.6,99.00,'07-08
6,6,Houston Rockets,82,55,27,3946,103.9,98.8,5.0,16.8,29.1,74.8,52.3,14.7,92.90,'07-08
7,8,Utah Jazz,82,54,28,3941,110.8,104.0,6.8,19.6,29.5,74.1,52.0,15.3,95.60,'07-08
8,9,Orlando Magic,82,52,30,3956,109.0,102.7,6.3,16.4,23.4,74.8,50.2,14.9,95.60,'07-08
9,10,Dallas Mavericks,82,51,31,3946,108.6,103.1,5.4,16.7,26.7,75.0,51.6,13.7,92.50,'07-08
10,11,Denver Nuggets,82,50,32,3971,107.6,103.2,4.4,17.7,25.5,72.1,49.3,14.3,102.30,'07-08
11,12,Golden State Warriors,82,48,34,3956,109.1,106.6,2.6,16.3,27.2,70.3,47.9,13.0,101.40,'07-08
12,13,Cleveland Cavaliers,82,45,37,3971,103.2,103.7,-0.5,15.7,30.4,75.9,52.4,15.0,92.50,'07-08
13,14,Washington Wizards,82,43,39,3981,106.0,106.8,-0.8,15.6,28.9,72.8,50.2,14.2,92.00,'07-08
14,15,Toronto Raptors,82,41,41,3966,107.7,104.3,3.5,18.7,23.4,75.0,49.1,12.6,92.40,'07-08
15,15,Portland Trail Blazers,82,41,41,3981,104.1,105.5,-1.4,17.0,26.8,71.8,49.4,14.1,90.40,'07-08
16,17,Philadelphia 76ers,82,40,42,3951,103.0,103.4,-0.4,15.9,31.8,72.0,51.7,15.2,93.10,'07-08
17,18,Sacramento Kings,82,38,44,3966,104.5,107.2,-2.7,14.9,25.2,71.7,48.9,16.4,97.20,'07-08
18,19,Atlanta Hawks,82,37,45,3971,104.0,105.9,-2.0,17.0,29.7,71.7,50.8,15.8,93.60,'07-08
19,20,Indiana Pacers,82,36,46,3951,103.7,104.6,-0.9,16.9,24.4,73.9,48.7,15.0,100.10,'07-08
20,21,New Jersey Nets,82,34,48,3966,101.4,106.6,-5.2,18.0,26.6,73.8,50.1,15.9,93.90,'07-08
21,22,Chicago Bulls,82,33,49,3961,101.0,104.2,-3.2,16.7,28.9,73.1,50.2,15.2,95.70,'07-08
22,23,Charlotte Bobcats,82,32,50,3976,102.1,106.8,-4.7,16.6,25.6,71.0,48.2,15.4,94.10,'07-08
23,24,Milwaukee Bucks,82,26,56,3971,102.4,109.8,-7.5,16.5,30.0,73.0,50.6,15.6,93.80,'07-08
24,25,Los Angeles Clippers,82,23,59,3961,98.8,106.4,-7.6,16.7,23.1,73.1,47.9,15.2,94.30,'07-08
25,25,New York Knicks,82,23,59,3976,101.4,109.6,-8.2,14.7,28.6,72.7,49.9,15.1,94.10,'07-08
26,27,Memphis Grizzlies,82,22,60,3961,102.4,109.2,-6.8,14.9,23.8,73.4,48.3,15.5,97.50,'07-08
27,27,Minnesota Timberwolves,82,22,60,3946,100.7,108.9,-8.2,15.6,27.5,73.6,49.8,15.3,94.20,'07-08
28,29,Seattle SuperSonics,82,20,62,3966,97.6,106.9,-9.2,15.9,26.8,73.7,50.3,16.0,98.90,'07-08
29,30,Miami Heat,82,15,67,3966,98.1,107.1,-9.0,16.3,22.1,71.9,46.6,15.7,92.50,'07-08
0,1,Cleveland Cavaliers,82,66,16,3956,109.7,99.4,10.3,16.4,27.7,74.6,52.0,13.9,91.20,'08-09
1,2,Los Angeles Lakers,82,65,17,3956,109.8,101.9,7.9,17.3,29.4,73.0,51.4,13.8,96.90,'08-09
2,3,Boston Celtics,82,62,20,3976,108.1,99.4,8.7,17.8,27.9,75.6,52.8,16.7,92.70,'08-09
3,4,Orlando Magic,82,59,23,3946,107.2,98.9,8.3,15.6,24.0,75.9,50.7,14.8,94.60,'08-09
4,5,Denver Nuggets,82,54,28,3946,107.5,103.5,4.0,16.9,27.5,71.7,50.2,15.8,97.00,'08-09
5,5,San Antonio Spurs,82,54,28,3981,106.2,102.0,4.3,17.3,22.1,78.0,50.4,12.9,90.40,'08-09
6,5,Portland Trail Blazers,82,54,28,3966,110.7,104.5,6.2,16.4,32.6,75.0,53.5,14.3,89.20,'08-09
7,8,Houston Rockets,82,53,29,3961,105.4,101.4,4.0,16.2,26.4,75.3,51.9,15.1,92.70,'08-09
8,9,Dallas Mavericks,82,50,32,3961,108.1,105.3,2.8,17.0,26.6,74.6,50.8,13.5,93.90,'08-09
9,10,New Orleans Hornets,82,49,33,3951,106.2,104.1,2.0,16.3,24.6,74.9,49.8,13.9,90.00,'08-09
10,11,Utah Jazz,82,48,34,3976,107.1,104.7,2.5,18.4,28.2,72.7,50.5,15.3,95.60,'08-09
11,12,Atlanta Hawks,82,47,35,3941,106.6,104.6,2.0,16.4,26.0,71.6,48.9,13.9,92.00,'08-09
12,13,Phoenix Suns,82,46,36,3951,111.2,108.5,2.6,17.4,27.7,71.7,50.6,16.0,98.40,'08-09
13,14,Miami Heat,82,43,39,3991,105.1,104.7,0.4,16.3,24.6,72.9,48.6,13.4,92.30,'08-09
14,15,Chicago Bulls,82,41,41,3986,105.1,105.8,-0.7,16.1,28.0,70.9,49.6,15.0,95.80,'08-09
15,15,Philadelphia 76ers,82,41,41,3951,104.7,104.7,0.0,15.8,31.3,71.4,51.2,15.2,92.60,'08-09
16,17,Detroit Pistons,82,39,43,3981,104.5,105.2,-0.8,16.7,27.9,74.0,50.6,13.2,89.10,'08-09
17,18,Indiana Pacers,82,36,46,3966,105.4,106.5,-1.2,16.3,25.4,74.5,49.8,14.5,98.90,'08-09
18,19,Charlotte Bobcats,82,35,47,3986,101.6,103.4,-1.8,17.0,27.7,73.0,50.5,16.9,90.80,'08-09
19,20,Milwaukee Bucks,82,34,48,3956,103.8,104.9,-1.2,16.8,27.8,74.0,49.9,14.7,95.20,'08-09
20,20,New Jersey Nets,82,34,48,3966,105.4,108.2,-2.8,16.0,25.2,73.5,49.0,14.1,92.30,'08-09
21,22,Toronto Raptors,82,33,49,3961,104.3,107.1,-2.8,17.5,24.0,73.7,49.1,14.1,94.40,'08-09
22,23,New York Knicks,82,32,50,3961,105.3,108.4,-3.1,16.0,24.4,72.7,47.8,14.3,99.00,'08-09
23,24,Golden State Warriors,82,29,53,3976,106.6,110.1,-3.5,15.4,26.1,68.1,47.2,14.4,101.00,'08-09
24,25,Minnesota Timberwolves,82,24,58,3961,102.6,109.1,-6.5,15.9,27.7,75.0,50.5,14.9,94.10,'08-09
25,25,Memphis Grizzlies,82,24,58,3961,100.9,106.8,-5.9,14.2,25.8,73.5,49.3,16.4,92.50,'08-09
26,27,Oklahoma City Thunder,82,23,59,3961,99.9,106.9,-7.0,15.6,28.6,73.9,50.8,16.7,96.10,'08-09
27,28,Los Angeles Clippers,82,19,63,3976,99.5,108.8,-9.2,16.4,25.1,71.2,47.5,15.6,94.60,'08-09
28,28,Washington Wizards,82,19,63,3941,102.3,111.2,-8.9,15.8,27.7,71.4,49.0,14.9,93.40,'08-09
29,30,Sacramento Kings,82,17,65,3981,102.6,111.9,-9.3,15.3,24.5,69.9,47.0,15.8,96.80,'08-09
0,1,Cleveland Cavaliers,82,61,21,3956,108.8,101.5,7.3,17.7,25.1,77.2,52.4,14.8,93.50,'09-10
1,2,Orlando Magic,82,59,23,3946,109.5,100.2,9.3,15.8,24.6,77.4,51.9,15.0,94.20,'09-10
2,3,Los Angeles Lakers,82,57,25,3966,105.9,101.1,4.9,16.2,27.6,74.4,51.2,13.9,95.20,'09-10
3,4,Dallas Mavericks,82,55,27,3976,107.1,103.2,4.0,18.0,24.3,73.7,49.3,13.6,94.80,'09-10
4,5,Phoenix Suns,82,54,28,3946,112.7,106.9,5.8,17.5,27.6,70.8,50.4,15.1,97.90,'09-10
5,6,Denver Nuggets,82,53,29,3956,108.7,104.7,4.0,16.1,26.1,72.4,49.5,14.1,97.30,'09-10
6,6,Utah Jazz,82,53,29,3951,107.8,102.9,4.8,19.8,26.8,75.6,51.9,15.7,96.00,'09-10
7,6,Atlanta Hawks,82,53,29,3971,108.9,104.0,4.9,17.1,28.2,72.7,50.2,12.8,92.50,'09-10
8,9,Oklahoma City Thunder,82,50,32,3961,105.8,101.6,4.1,15.5,28.6,73.6,51.7,15.6,95.60,'09-10
9,9,San Antonio Spurs,82,50,32,3956,107.2,102.0,5.2,17.4,26.8,76.3,52.0,14.4,94.00,'09-10
10,9,Boston Celtics,82,50,32,3956,105.4,101.1,4.3,18.5,22.8,73.8,49.1,15.8,93.80,'09-10
11,9,Portland Trail Blazers,82,50,32,3971,108.0,104.0,4.1,16.6,28.2,74.8,51.3,13.6,90.20,'09-10
12,13,Miami Heat,82,47,35,3976,104.5,100.9,3.6,15.4,26.1,74.9,50.7,14.3,91.90,'09-10
13,14,Milwaukee Bucks,82,46,36,3996,102.0,100.9,1.0,16.4,26.2,76.4,50.1,13.8,94.00,'09-10
14,15,Charlotte Bobcats,82,44,38,3976,101.5,100.2,1.3,16.1,26.5,74.2,50.7,16.8,92.80,'09-10
15,16,Houston Rockets,82,42,40,3981,104.5,105.5,-1.0,16.5,26.9,73.8,49.5,14.8,96.50,'09-10
16,17,Chicago Bulls,82,41,41,3981,100.8,102.6,-1.8,16.0,26.6,74.8,51.0,14.8,95.50,'09-10
17,18,Memphis Grizzlies,82,40,42,3981,104.8,107.6,-2.9,14.4,31.3,73.3,52.3,15.6,96.10,'09-10
18,18,Toronto Raptors,82,40,42,3956,108.6,110.2,-1.6,17.1,24.7,72.9,49.5,14.0,95.40,'09-10
19,20,New Orleans Hornets,82,37,45,3966,105.1,107.3,-2.3,17.3,24.8,73.8,48.9,14.1,94.80,'09-10
20,21,Indiana Pacers,82,32,50,3941,101.3,104.2,-2.9,16.1,21.6,73.0,47.1,15.1,99.40,'09-10
21,22,New York Knicks,82,29,53,3976,105.2,109.1,-4.0,16.6,23.5,72.1,47.4,14.4,96.10,'09-10
22,22,Los Angeles Clippers,82,29,53,3941,100.9,107.1,-6.3,17.1,27.1,74.0,50.4,16.5,95.00,'09-10
23,24,Philadelphia 76ers,82,27,55,3961,103.4,107.6,-4.2,16.4,27.6,73.2,50.0,15.4,93.90,'09-10
24,24,Detroit Pistons,82,27,55,3956,102.4,108.9,-6.5,15.5,30.3,73.4,50.5,14.6,91.00,'09-10
25,26,Golden State Warriors,82,26,56,3946,105.4,109.4,-3.9,16.5,20.9,68.5,44.4,14.2,102.70,'09-10
26,26,Washington Wizards,82,26,56,3966,101.4,106.7,-5.4,15.0,27.6,72.4,49.7,15.7,94.10,'09-10
27,28,Sacramento Kings,82,25,57,3976,102.4,107.2,-4.8,15.7,27.8,73.5,50.3,15.3,96.50,'09-10
28,29,Minnesota Timberwolves,82,15,67,3956,98.9,109.3,-10.4,15.0,26.7,73.6,49.7,16.4,98.50,'09-10
29,30,New Jersey Nets,82,12,70,3956,98.1,108.0,-10.0,15.1,25.1,71.8,47.4,15.3,93.60,'09-10
0,1,Chicago Bulls,82,62,20,3966,105.5,97.4,8.1,17.3,29.4,76.2,53.5,15.1,92.90,'10-11
1,2,San Antonio Spurs,82,61,21,3956,109.4,102.8,6.6,17.5,24.9,74.6,50.4,14.2,94.60,'10-11
2,3,Miami Heat,82,58,24,3956,109.3,100.7,8.5,16.1,25.2,75.5,51.8,14.9,93.20,'10-11
3,4,Dallas Mavericks,82,57,25,3941,107.6,102.3,5.3,18.7,24.1,74.8,50.4,15.0,93.40,'10-11
4,4,Los Angeles Lakers,82,57,25,3966,107.9,101.3,6.6,17.0,29.2,72.3,51.5,13.9,93.40,'10-11
5,6,Boston Celtics,82,56,26,3956,104.0,97.8,6.2,18.8,21.1,74.7,49.5,15.7,92.50,'10-11
6,7,Oklahoma City Thunder,82,55,27,4001,108.6,104.0,4.5,15.8,27.4,73.6,51.3,14.6,95.30,'10-11
7,8,Orlando Magic,82,52,30,3966,105.7,99.1,6.6,15.9,26.1,76.9,52.1,15.9,93.50,'10-11
8,9,Denver Nuggets,82,50,32,3941,109.5,104.8,4.7,17.0,23.9,75.4,50.4,14.4,97.90,'10-11
9,10,Portland Trail Blazers,82,48,34,3961,105.6,104.2,1.4,16.9,29.5,72.0,49.8,14.3,90.50,'10-11
10,11,Memphis Grizzlies,82,46,36,3976,104.4,102.5,1.9,16.0,28.9,72.5,50.5,14.6,94.50,'10-11
11,11,New Orleans Hornets,82,46,36,3966,103.8,102.5,1.4,16.8,25.1,76.2,50.5,14.3,90.90,'10-11
12,13,Atlanta Hawks,82,44,38,3946,103.2,104.6,-1.4,17.7,23.4,74.6,49.2,14.8,91.60,'10-11
13,14,Houston Rockets,82,43,39,3976,108.0,106.2,1.8,17.8,27.4,72.7,50.0,13.8,96.90,'10-11
14,15,New York Knicks,82,42,40,3956,108.3,106.9,1.4,16.4,24.2,71.9,47.9,13.9,98.10,'10-11
15,16,Philadelphia 76ers,82,41,41,3986,104.0,102.5,1.5,17.6,24.6,74.5,49.6,13.6,93.90,'10-11
16,17,Phoenix Suns,82,40,42,4001,107.0,107.4,-0.4,17.9,23.7,71.6,47.6,14.5,96.80,'10-11
17,18,Utah Jazz,82,39,43,3976,104.9,107.3,-2.4,18.0,27.0,71.7,49.1,15.1,93.60,'10-11
18,19,Indiana Pacers,82,37,45,3956,101.9,103.4,-1.5,15.2,25.9,74.1,50.2,15.7,97.20,'10-11
19,20,Golden State Warriors,82,36,46,3966,105.5,107.6,-2.1,17.0,26.7,69.3,47.5,14.9,97.40,'10-11
20,21,Milwaukee Bucks,82,35,47,3966,99.0,99.9,-1.0,15.3,24.7,74.8,49.1,14.5,92.10,'10-11
21,22,Charlotte Bobcats,82,34,48,3961,100.8,104.8,-4.0,16.9,25.7,75.2,50.3,15.7,92.10,'10-11
22,23,Los Angeles Clippers,82,32,50,3971,101.8,106.3,-4.5,16.9,28.4,73.2,51.0,16.9,95.50,'10-11
23,24,Detroit Pistons,82,30,52,3976,104.6,109.0,-4.4,16.8,27.4,72.1,48.7,14.0,91.50,'10-11
24,25,Sacramento Kings,82,24,58,3971,100.6,106.3,-5.7,15.4,29.9,74.4,51.6,16.3,97.80,'10-11
25,25,New Jersey Nets,82,24,58,4001,100.2,107.0,-6.9,16.6,26.1,74.2,49.4,14.9,92.40,'10-11
26,27,Washington Wizards,82,23,59,3986,99.6,107.2,-7.6,14.9,28.0,70.5,48.5,15.7,96.50,'10-11
27,28,Toronto Raptors,82,22,60,3956,103.3,110.0,-6.7,16.8,28.2,72.0,49.5,15.3,95.40,'10-11
28,29,Cleveland Cavaliers,82,19,63,3951,99.5,109.1,-9.6,16.4,24.2,73.3,48.1,14.8,95.50,'10-11
29,30,Minnesota Timberwolves,82,17,65,3956,101.1,108.3,-7.2,15.0,29.6,73.7,51.1,17.1,99.20,'10-11
0,1,San Antonio Spurs,66,50,16,3188,108.5,100.6,7.9,17.8,25.1,76.0,51.1,14.2,95.10,'11-12
1,1,Chicago Bulls,66,50,16,3188,104.5,95.3,9.3,17.7,32.6,74.3,53.9,15.2,91.80,'11-12
2,3,Oklahoma City Thunder,66,47,19,3198,107.1,100.0,7.2,14.6,27.8,72.1,51.4,17.0,95.70,'11-12
3,4,Miami Heat,66,46,20,3208,104.3,97.1,7.2,15.9,26.6,73.9,51.1,16.1,93.70,'11-12
4,5,Indiana Pacers,66,42,24,3198,103.5,100.4,3.1,14.7,29.2,72.3,50.9,14.8,93.40,'11-12
5,6,Memphis Grizzlies,66,41,25,3188,101.0,98.9,2.1,15.4,29.8,72.7,50.8,15.4,93.40,'11-12
6,6,Los Angeles Lakers,66,41,25,3213,103.3,101.7,1.7,17.3,29.1,74.8,53.0,16.0,92.90,'11-12
7,8,Atlanta Hawks,66,40,26,3233,102.4,98.6,3.8,17.6,23.9,74.4,49.3,14.8,92.50,'11-12
8,8,Los Angeles Clippers,66,40,26,3193,105.2,102.9,2.2,16.6,29.5,73.2,51.1,14.4,91.80,'11-12
9,10,Boston Celtics,66,39,27,3188,98.9,95.5,3.4,18.8,19.7,72.4,47.3,16.0,92.60,'11-12
10,11,Denver Nuggets,66,38,28,3208,106.5,103.4,3.1,17.9,27.7,74.3,51.7,15.7,96.70,'11-12
11,12,Orlando Magic,66,37,29,3193,102.4,101.7,0.7,16.1,26.5,75.5,50.7,16.2,91.20,'11-12
12,13,New York Knicks,66,36,30,3188,101.4,98.4,3.0,15.6,26.6,73.7,49.9,16.6,95.70,'11-12
13,13,Utah Jazz,66,36,30,3233,103.7,103.6,0.2,16.6,30.2,73.8,51.8,14.8,93.90,'11-12
14,13,Dallas Mavericks,66,36,30,3213,101.0,99.7,1.3,16.5,23.4,74.8,49.3,14.8,93.60,'11-12
15,16,Philadelphia 76ers,66,35,31,3183,101.7,96.6,5.1,17.5,24.4,75.2,49.7,12.1,91.90,'11-12
16,17,Houston Rockets,66,34,32,3213,102.7,102.1,0.6,16.4,27.5,73.4,50.2,15.2,94.30,'11-12
17,18,Phoenix Suns,66,33,33,3168,103.5,103.8,-0.2,17.4,25.8,71.7,49.0,14.8,95.00,'11-12
18,19,Milwaukee Bucks,66,31,35,3173,102.4,102.4,0.0,17.6,27.7,70.9,48.7,14.6,96.40,'11-12
19,20,Portland Trail Blazers,66,28,38,3193,102.8,103.7,-0.9,16.1,26.3,72.8,49.0,15.0,93.70,'11-12
20,21,Minnesota Timberwolves,66,26,40,3188,101.5,103.6,-2.2,15.1,27.5,73.0,50.2,15.7,96.00,'11-12
21,22,Detroit Pistons,66,25,41,3193,97.8,104.0,-6.2,15.1,28.1,72.8,49.7,16.8,91.70,'11-12
22,23,Golden State Warriors,66,23,43,3183,103.1,106.0,-3.0,17.4,22.9,69.1,46.1,14.6,94.70,'11-12
23,23,Toronto Raptors,66,23,43,3193,98.5,101.5,-3.0,16.8,25.9,75.4,50.9,16.5,91.60,'11-12
24,25,Sacramento Kings,66,22,44,3183,101.0,106.8,-5.8,14.7,29.1,70.5,48.8,14.7,97.30,'11-12
25,25,New Jersey Nets,66,22,44,3178,99.7,106.9,-7.2,15.8,27.8,70.7,48.6,16.1,92.70,'11-12
26,27,Cleveland Cavaliers,66,21,45,3193,98.1,106.0,-7.9,15.4,28.9,72.2,49.7,16.2,94.00,'11-12
27,27,New Orleans Hornets,66,21,45,3188,98.3,102.3,-4.0,16.8,27.5,73.1,50.7,17.0,90.70,'11-12
28,29,Washington Wizards,66,20,46,3173,97.8,103.8,-6.0,15.1,27.3,70.9,48.9,16.0,95.10,'11-12
29,30,Charlotte Bobcats,66,7,59,3178,92.3,107.8,-15.5,16.0,23.6,70.9,46.4,15.4,93.60,'11-12
0,1,Miami Heat,82,66,16,3976,110.3,100.5,9.9,18.4,22.2,73.0,49.0,15.0,93.00,'12-13
1,2,Oklahoma City Thunder,82,60,22,3966,110.2,99.2,11.0,16.6,26.7,73.4,51.7,15.9,95.90,'12-13
2,3,San Antonio Spurs,82,58,24,3976,105.9,99.2,6.8,19.1,20.5,74.9,49.3,15.1,96.40,'12-13
3,4,Denver Nuggets,82,57,25,3981,107.6,102.0,5.6,17.8,31.4,71.8,52.0,15.5,97.80,'12-13
4,5,Los Angeles Clippers,82,56,26,3946,107.7,101.0,6.7,18.4,28.8,73.5,51.6,15.6,93.60,'12-13
5,5,Memphis Grizzlies,82,56,26,3961,101.7,97.4,4.2,16.5,31.0,74.3,52.2,15.2,91.10,'12-13
6,7,New York Knicks,82,54,28,3946,108.6,103.5,5.1,15.6,25.6,74.7,49.3,13.1,92.00,'12-13
7,8,Indiana Pacers,81,49,32,3918,101.6,96.6,5.0,16.0,30.3,74.6,52.9,16.2,92.80,'12-13
8,8,Brooklyn Nets,82,49,33,3971,105.0,103.6,1.4,16.1,30.9,73.7,52.2,15.9,91.20,'12-13
9,10,Golden State Warriors,82,47,35,3961,104.2,102.6,1.7,17.1,25.4,75.5,51.3,15.5,96.80,'12-13
10,11,Houston Rockets,82,45,37,3956,106.7,103.5,3.3,17.3,26.4,75.2,51.0,16.6,98.60,'12-13
11,11,Los Angeles Lakers,82,45,37,3951,105.6,103.6,2.0,16.8,27.0,74.3,51.2,15.5,96.80,'12-13
12,11,Chicago Bulls,82,45,37,3966,100.4,100.3,0.1,17.8,29.4,73.6,51.2,15.4,92.00,'12-13
13,14,Atlanta Hawks,82,44,38,3971,102.7,101.8,0.9,18.8,22.2,73.6,48.3,15.6,94.70,'12-13
14,15,Utah Jazz,82,43,39,3976,103.6,104.3,-0.7,17.4,28.8,73.2,50.7,15.6,93.40,'12-13
15,16,Dallas Mavericks,82,41,41,3996,103.6,104.0,-0.4,17.7,21.8,73.1,47.9,14.3,96.20,'12-13
16,16,Boston Celtics,81,41,40,3968,101.1,100.4,0.7,17.9,20.1,73.3,47.5,15.3,94.00,'12-13
17,18,Milwaukee Bucks,82,38,44,3966,100.9,102.3,-1.4,17.0,27.9,71.3,48.8,14.4,97.30,'12-13
18,19,Philadelphia 76ers,82,34,48,3951,99.5,103.0,-3.4,17.7,24.9,73.4,48.4,13.9,93.30,'12-13
19,19,Toronto Raptors,82,34,48,3996,102.9,104.7,-1.7,16.9,25.5,73.4,49.1,14.5,92.90,'12-13
20,21,Portland Trail Blazers,82,33,49,3971,102.7,106.9,-4.2,17.0,25.3,73.3,49.0,15.5,93.70,'12-13
21,22,Minnesota Timberwolves,82,31,51,3946,100.1,102.9,-2.8,17.1,27.4,74.0,49.9,15.5,95.20,'12-13
22,23,Washington Wizards,82,29,53,3971,97.8,100.6,-2.7,16.9,24.6,74.6,49.4,15.8,94.40,'12-13
23,23,Detroit Pistons,82,29,53,3961,100.9,105.6,-4.8,16.6,28.3,73.0,50.2,16.1,93.20,'12-13
24,25,Sacramento Kings,82,28,54,3966,103.0,108.6,-5.6,16.0,26.6,71.0,48.2,15.0,96.30,'12-13
25,26,New Orleans Hornets,82,27,55,3956,102.7,107.6,-5.0,16.7,29.2,74.4,51.4,15.9,90.90,'12-13
26,27,Phoenix Suns,82,25,57,3961,98.2,105.7,-7.5,17.1,27.0,71.9,49.0,16.1,95.90,'12-13
27,28,Cleveland Cavaliers,82,24,58,3946,100.8,106.9,-6.1,15.9,28.1,72.6,49.3,14.6,94.90,'12-13
28,29,Charlotte Bobcats,82,21,61,3961,98.3,108.9,-10.6,15.3,25.7,71.1,47.8,14.8,94.00,'12-13
29,30,Orlando Magic,82,20,62,3956,98.9,106.7,-7.8,17.6,25.4,74.6,50.0,15.3,94.50,'12-13
0,1,San Antonio Spurs,82,62,20,3951,108.2,100.1,8.1,19.0,22.7,76.4,50.6,14.8,97.10,'13-14
1,2,Oklahoma City Thunder,82,59,23,3961,108.1,101.0,7.1,16.6,26.5,75.6,52.2,15.6,97.90,'13-14
2,3,Los Angeles Clippers,82,57,25,3951,109.4,102.1,7.3,18.3,25.0,72.5,49.6,14.0,98.40,'13-14
3,4,Indiana Pacers,82,56,26,3956,101.5,96.7,4.8,15.9,24.9,76.8,52.1,15.8,94.90,'13-14
4,5,Houston Rockets,82,54,28,3966,108.6,103.1,5.5,16.1,27.4,74.1,52.1,16.3,98.80,'13-14
5,5,Portland Trail Blazers,82,54,28,3971,108.3,104.7,3.5,17.2,28.0,74.7,51.6,13.9,97.50,'13-14
6,5,Miami Heat,82,54,28,3976,109.0,102.9,6.1,18.1,20.6,73.0,47.8,15.8,93.30,'13-14
7,8,Golden State Warriors,82,51,31,3966,105.3,99.9,5.4,17.4,25.1,76.3,51.1,15.4,98.50,'13-14
