,#,team,gp,w,l,min,"est. 
offrtg","est. 
defrtg","est. 
netrtg","est. 
ast ratio","est. 
oreb%","est. 
dreb%","est. 
reb%","est. 
tov%","est. 
pace",season
19,20,Boston Celtics,82,36,46,3966,99.0,100.9,-1.9,16.2,25.3,72.7,48.0,16.4,95.00,'00-01
20,21,Detroit Pistons,82,32,50,3971,97.3,98.9,-1.6,14.9,29.3,72.2,50.3,16.2,97.50,'00-01
21,22,Los Angeles Clippers,82,31,51,4006,98.4,101.8,-3.5,15.3,28.3,71.1,50.3,16.8,92.10,'00-01
22,23,Cleveland Cavaliers,82,30,52,3966,97.4,102.0,-4.6,16.2,29.7,71.1,50.5,17.4,93.90,'00-01
23,24,New Jersey Nets,82,26,56,3946,96.9,103.0,-6.1,15.4,25.7,70.0,47.3,15.5,94.50,'00-01
24,25,Atlanta Hawks,82,25,57,3946,95.6,101.9,-6.3,14.9,28.9,70.8,49.7,17.5,94.50,'00-01
25,26,Vancouver Grizzlies,82,23,59,3956,96.8,103.2,-6.3,17.9,26.1,69.8,48.1,16.6,94.10,'00-01
26,27,Washington Wizards,82,19,63,3936,97.8,104.8,-7.0,15.6,29.7,71.8,50.3,17.8,95.30,'00-01
27,28,Golden State Warriors,82,17,65,3956,94.5,104.9,-10.4,15.9,33.3,69.7,50.0,16.2,96.80,'00-01
28,29,Chicago Bulls,82,15,67,3971,94.3,104.9,-10.6,17.4,26.6,70.3,47.6,17.0,91.70,'00-01
0,1,Sacramento Kings,82,61,21,3951,106.4,98.6,7.7,17.7,27.9,71.7,50.2,14.0,98.00,'01-02
1,2,Los Angeles Lakers,82,58,24,3956,106.5,98.7,7.8,17.5,28.8,72.0,50.6,13.3,94.80,'01-02
2,2,San Antonio Spurs,82,58,24,3971,104.0,96.5,7.5,16.0,27.2,71.9,50.3,15.5,92.60,'01-02
3,4,Dallas Mavericks,82,57,25,3976,109.5,104.8,4.7,16.9,26.1,70.7,48.7,12.6,95.30,'01-02
4,5,New Jersey Nets,82,52,30,3966,101.1,96.6,4.5,18.2,29.2,71.6,50.3,15.2,94.50,'01-02
5,6,Minnesota Timberwolves,82,50,32,3961,105.8,102.2,3.6,18.4,31.3,73.7,52.8,14.3,93.30,'01-02
6,6,Detroit Pistons,82,50,32,3936,102.5,99.3,3.3,17.3,24.4,70.5,47.6,15.8,92.40,'01-02
7,8,Boston Celtics,82,49,33,3966,101.1,98.0,3.1,16.4,24.1,72.9,47.9,14.3,95.00,'01-02
8,8,Portland Trail Blazers,82,49,33,3966,104.4,101.0,3.4,18.0,31.8,73.3,52.3,15.4,92.00,'01-02
9,10,Seattle SuperSonics,82,45,37,3966,105.8,102.5,3.4,18.3,29.4,68.1,49.1,14.8,91.70,'01-02
10,11,Orlando Magic,82,44,38,3966,104.1,102.5,1.6,16.8,26.3,69.2,47.6,14.1,95.80,'01-02
11,11,Utah Jazz,82,44,38,3966,102.4,101.6,0.8,18.4,33.5,71.7,52.5,17.6,93.00,'01-02
12,11,Charlotte Hornets,82,44,38,3951,101.4,100.0,1.4,16.7,30.6,72.2,51.5,15.1,92.50,'01-02
13,14,Philadelphia 76ers,82,43,39,3946,99.1,97.5,1.6,15.8,31.7,72.1,52.1,16.7,91.50,'01-02
14,15,Indiana Pacers,82,42,40,3981,101.2,101.1,0.1,17.6,27.0,71.0,49.5,15.9,94.50,'01-02
15,15,Toronto Raptors,82,42,40,3951,99.4,100.0,-0.6,16.9,31.4,70.1,50.1,15.6,91.60,'01-02
16,17,Milwaukee Bucks,82,41,41,3981,104.2,103.9,0.4,17.7,25.6,70.9,49.3,15.1,92.80,'01-02
17,18,Los Angeles Clippers,82,39,43,3961,102.0,103.2,-1.2,16.3,31.3,69.9,50.8,15.8,92.90,'01-02
18,19,Washington Wizards,82,37,45,3946,101.5,103.2,-1.7,16.6,30.7,71.4,50.8,14.2,91.10,'01-02
19,20,Phoenix Suns,82,36,46,3966,100.2,101.0,-0.7,17.1,30.1,70.2,49.9,15.5,94.20,'01-02
20,20,Miami Heat,82,36,46,3986,96.0,97.6,-1.6,16.5,26.6,74.0,50.5,16.3,89.70,'01-02
