,#,player,team,age,gp,w,l,min,offrtg,defrtg,netrtg,ast%,ast/to,ast ratio,oreb%,dreb%,reb%,to ratio,efg%,ts%,usg%,pace,pie,poss,season
2944,284,Tyronn Lue,ATL,29,51,17,34,24.2,104.2,109.0,-4.8,22.5,2.09,22.2,1.1,6.0,3.5,10.6,52.9,58.5,19.9,93.25,10.4,2396,'05-06
2945,292,Austin Croshere,IND,31,50,27,23,23.0,103.6,99.5,4.1,8.9,1.29,14.3,5.9,17.8,12.1,11.0,55.8,61.8,15.1,91.94,11.6,2209,'05-06
2946,292,Keyon Dooling,ORL,26,50,23,27,22.7,103.3,101.1,2.3,16.6,1.33,16.8,1.1,5.9,3.6,12.6,45.6,51.3,22.2,90.45,8.2,2137,'05-06
2947,294,Monta Ellis,GSW,20,49,16,33,18.1,99.4,98.9,0.5,15.2,1.34,16.3,2.3,9.3,5.7,12.1,45.9,48.6,19.1,98.20,8.2,1812,'05-06
2948,294,Qyntel Woods,NYK,25,49,14,35,20.7,102.4,106.1,-3.7,8.0,0.77,11.9,4.7,16.0,10.3,15.5,55.1,57.2,15.4,93.18,9.2,1958,'05-06
2949,296,Aaron Williams,NOK,34,48,21,27,16.5,101.4,104.0,-2.6,3.6,0.57,6.8,8.5,16.0,12.2,12.0,51.7,55.1,13.5,91.51,6.3,1508,'05-06
2950,296,Anderson Varejao,CLE,23,48,29,19,15.8,102.8,96.7,6.1,4.0,0.70,7.7,10.1,21.4,15.6,10.9,52.7,54.1,13.3,95.56,9.1,1509,'05-06
2951,296,Michael Olowokandi,BOS,31,48,20,28,19.1,94.8,100.0,-5.2,4.4,0.42,6.8,6.1,20.1,13.2,16.2,44.6,45.6,16.9,87.55,6.3,1673,'05-06
2952,296,Shandon Anderson,MIA,32,48,31,17,13.3,103.0,102.6,0.4,7.2,1.25,16.0,3.2,10.2,6.8,12.8,44.8,47.0,11.5,91.91,3.7,1217,'05-06
2953,300,Kareem Rush,CHA,25,47,13,34,23.6,97.5,105.4,-7.9,7.9,0.77,8.1,1.5,8.3,4.7,10.6,44.7,47.1,22.1,96.52,6.0,2233,'05-06
2954,300,Mike Wilks,SEA,27,47,21,26,7.4,97.8,96.8,1.0,15.8,1.33,19.4,2.6,8.5,5.6,14.5,33.9,39.8,16.9,94.63,3.4,679,'05-06
2955,300,Mikki Moore,SEA,30,47,18,29,12.4,108.2,107.9,0.3,6.9,0.68,12.3,7.8,15.5,11.6,18.2,43.5,50.9,14.6,94.54,4.4,1143,'05-06
2956,300,Robert Swift,SEA,20,47,20,27,21.0,105.9,108.8,-3.0,1.2,0.16,2.4,9.9,17.6,13.8,14.6,51.5,53.6,14.6,95.00,6.6,1946,'05-06
2957,300,Tracy McGrady,HOU,27,47,27,20,37.1,104.0,102.4,1.6,26.8,1.88,15.0,2.7,15.3,9.0,8.0,44.2,49.4,33.8,90.22,15.9,3285,'05-06
