,#,player,team,age,gp,w,l,min,offrtg,defrtg,netrtg,ast%,ast/to,ast ratio,oreb%,dreb%,reb%,to ratio,efg%,ts%,usg%,pace,pie,poss,season
0,1,Chris Gatling,DEN,32,85,34,51,21.3,99.4,100.6,-1.3,6.8,0.42,5.9,8.0,18.4,13.1,14.0,46.6,52.5,25.8,99.53,11.7,3749,'99-00
1,2,A.C. Green,LAL,36,82,67,15,23.5,105.3,97.0,8.3,5.8,1.51,14.2,8.0,16.0,12.0,9.4,44.8,48.2,11.0,93.55,8.8,3769,'99-00
2,2,Aaron McKie,PHI,27,82,49,33,23.8,97.5,95.9,1.5,20.2,2.12,23.8,2.3,10.1,6.1,11.2,44.9,49.7,16.8,96.44,9.9,3922,'99-00
3,2,Alan Henderson,ATL,27,82,28,54,33.9,100.0,106.8,-6.8,4.5,0.55,5.9,9.4,10.9,10.1,10.7,46.2,50.3,19.2,93.95,7.9,5436,'99-00
4,2,Allan Houston,NYK,29,82,50,32,38.6,101.4,99.2,2.3,13.0,1.20,12.4,1.3,7.4,4.5,10.3,52.5,56.9,23.3,91.24,11.4,6032,'99-00
5,2,Andre Miller,CLE,24,82,32,50,25.6,99.0,100.9,-1.9,38.6,2.87,31.1,4.1,9.2,6.7,10.8,45.6,51.7,21.8,96.67,13.6,4210,'99-00
6,2,Andrew DeClercq,CLE,27,82,32,50,22.2,96.3,99.4,-3.1,5.0,0.54,8.5,8.5,15.2,11.9,15.9,50.8,53.0,14.6,98.77,7.0,3725,'99-00
7,2,Anthony Mason,CHH,33,82,49,33,38.2,102.5,99.5,3.0,18.4,2.29,26.5,4.8,17.7,11.3,11.6,48.0,56.0,14.4,95.58,11.4,6240,'99-00
8,2,Anthony Peeler,MIN,30,82,50,32,25.3,100.7,102.6,-1.9,15.2,2.29,18.5,2.8,8.5,5.7,8.0,49.4,52.0,18.3,94.76,8.8,4091,'99-00
9,2,Antoine Walker,BOS,23,82,35,47,36.6,104.1,104.3,-0.2,17.8,1.18,13.4,6.4,16.3,11.0,11.4,45.5,49.4,28.0,96.44,11.8,6040,'99-00
10,2,Avery Johnson,SAS,35,82,53,29,31.4,102.8,97.6,5.2,31.9,3.51,31.7,1.4,4.7,3.2,9.0,47.4,50.0,18.9,92.20,10.5,4944,'99-00
11,2,Baron Davis,CHH,21,82,49,33,18.6,99.9,98.3,1.6,33.4,2.21,32.4,3.2,7.7,5.5,14.7,44.9,48.6,18.4,96.54,8.5,3066,'99-00
12,2,Bo Outlaw,ORL,29,82,41,41,28.4,101.7,95.6,6.2,14.8,1.84,31.1,8.5,13.1,10.9,16.9,60.2,59.7,9.8,97.72,11.1,4718,'99-00
13,2,Bryon Russell,UTA,29,82,55,27,35.3,109.2,99.8,9.4,8.7,1.56,12.0,3.8,12.1,8.0,7.7,50.4,55.0,18.3,91.36,9.9,5517,'99-00
14,2,Chris Whitney,WAS,28,82,29,53,19.8,100.0,100.9,-1.0,31.9,2.93,31.1,1.2,7.3,4.2,10.6,50.9,55.4,18.4,95.75,11.6,3231,'99-00
15,2,Christian Laettner,DET,30,82,42,40,29.8,105.0,104.5,0.5,12.1,1.00,14.3,7.4,16.3,11.9,14.3,47.8,53.9,19.9,98.80,9.2,5008,'99-00
16,2,Chucky Atkins,ORL,25,82,41,41,19.9,99.8,100.6,-0.8,31.9,2.15,24.6,1.2,6.3,3.8,11.4,46.2,48.9,23.9,100.42,10.6,3415,'99-00
17,2,Darrell Armstrong,ORL,32,82,41,41,31.6,100.1,99.2,0.9,30.9,2.02,25.5,2.3,7.6,4.9,12.6,49.4,54.2,23.0,100.17,14.3,5409,'99-00
18,2,David Wesley,CHH,29,82,49,33,33.6,101.6,100.3,1.3,28.4,2.91,27.2,1.4,6.6,4.1,9.3,47.2,51.9,19.9,96.11,10.0,5522,'99-00
19,2,Dikembe Mutombo,ATL,34,82,28,54,36.4,101.0,103.8,-2.7,5.4,0.60,10.1,10.2,27.6,19.1,16.7,56.2,62.1,13.9,92.30,14.8,5750,'99-00
20,2,Dirk Nowitzki,DAL,22,82,40,42,35.9,105.0,103.6,1.4,10.7,1.44,12.6,3.4,14.1,8.8,8.8,51.3,56.4,20.8,96.91,11.2,5942,'99-00
21,2,Eric Snow,PHI,27,82,49,33,34.9,99.7,97.5,2.3,32.7,3.86,42.7,1.4,7.7,4.5,11.1,44.0,48.2,12.7,94.55,10.1,5625,'99-00
22,2,Gary Payton,SEA,31,82,45,37,41.8,105.3,102.2,3.0,36.8,3.27,26.0,2.8,12.3,7.5,8.0,50.2,53.5,26.4,94.76,16.6,6769,'99-00
23,2,Greg Anthony,POR,32,82,59,23,18.9,104.7,97.0,7.8,21.8,2.45,27.5,1.2,7.4,4.5,11.2,51.2,55.1,16.3,90.19,9.6,2906,'99-00
24,2,Howard Eisley,UTA,27,82,55,27,25.5,102.5,103.1,-0.6,28.6,2.63,29.0,1.2,7.3,4.3,11.0,46.2,49.2,18.6,90.64,8.3,3965,'99-00
25,2,Jerome Williams,DET,27,82,42,40,25.7,103.8,99.9,4.0,5.3,0.65,9.0,13.4,24.3,18.9,13.9,56.4,59.3,13.9,98.12,14.6,4291,'99-00
26,2,Jerry Stackhouse,DET,25,82,42,40,38.4,105.2,104.8,0.4,20.0,1.17,14.8,3.8,6.4,5.1,12.6,45.6,54.5,28.5,99.03,11.5,6497,'99-00
27,2,John Stockton,UTA,38,82,55,27,29.7,108.7,98.1,10.6,45.6,3.93,41.0,2.0,7.5,4.8,10.4,53.0,59.1,18.8,92.48,16.7,4696,'99-00
28,2,Johnny Newman,NJN,36,82,31,51,21.4,99.9,100.3,-0.4,6.7,0.73,7.4,2.2,6.8,4.5,10.1,50.4,56.6,20.6,94.71,7.6,3466,'99-00
29,2,Juwan Howard,WAS,27,82,29,53,35.5,101.8,106.0,-4.2,14.3,1.10,14.5,4.6,12.1,8.3,13.2,45.9,49.6,21.8,94.72,8.1,5754,'99-00
30,2,Karl Malone,UTA,36,82,55,27,35.9,109.4,100.7,8.6,19.7,1.32,13.0,6.4,22.3,14.5,9.9,51.0,58.2,31.6,92.30,19.9,5660,'99-00
31,2,Kenny Anderson,BOS,29,82,35,47,31.6,104.7,102.8,2.0,25.3,3.23,25.6,2.0,7.1,4.4,7.9,48.3,52.4,20.0,97.35,11.0,5260,'99-00
32,2,Larry Hughes,GSW,21,82,33,49,28.4,96.0,103.8,-7.8,16.2,1.05,12.0,4.4,10.5,7.2,11.4,41.3,46.7,26.9,98.02,9.5,4748,'99-00
33,2,Latrell Sprewell,NYK,29,82,50,32,40.0,100.8,98.2,2.6,18.0,1.47,16.3,1.6,9.1,5.5,11.1,45.2,51.5,24.3,91.58,11.7,6256,'99-00
34,2,Lindsey Hunter,DET,29,82,42,40,35.6,106.5,104.8,1.7,17.1,2.26,22.9,1.2,7.6,4.4,10.1,51.9,54.3,16.3,98.72,8.4,6014,'99-00
35,2,Malik Sealy,MIN,30,82,50,32,29.1,107.1,99.3,7.9,12.0,1.79,16.6,5.2,9.9,7.6,9.3,48.2,53.0,18.3,93.90,9.4,4665,'99-00
36,2,Michael Curry,DET,31,82,42,40,19.7,99.2,100.1,-0.9,9.1,1.19,14.1,1.4,5.2,3.3,11.9,48.2,55.9,14.1,99.18,4.7,3310,'99-00
37,2,Michael Dickerson,VAN,25,82,22,60,37.9,100.5,107.0,-6.5,12.1,1.26,11.7,2.6,6.8,4.7,9.3,48.3,53.0,22.5,93.55,9.1,6061,'99-00
38,2,Michael Finley,DAL,27,82,40,42,42.3,104.6,104.5,0.1,21.3,2.23,18.2,3.5,11.0,7.3,8.1,48.7,52.2,24.8,96.53,13.1,6967,'99-00
39,2,Mike Bibby,VAN,22,82,22,60,38.5,101.1,108.1,-7.0,35.0,2.69,32.3,2.4,7.9,5.2,12.0,48.3,52.1,19.7,93.49,11.6,6158,'99-00
40,2,Olden Polynice,UTA,35,82,55,27,22.2,106.4,100.9,5.4,3.0,0.53,6.8,9.9,17.4,13.6,12.9,51.1,49.7,12.8,91.63,5.5,3462,'99-00
41,2,Othella Harrington,VAN,26,82,22,60,32.6,99.7,106.9,-7.2,6.3,0.45,7.6,7.8,14.6,11.2,16.9,50.6,56.0,20.0,92.86,8.3,5152,'99-00
42,2,Pat Garrity,ORL,23,82,41,41,18.1,100.3,101.1,-0.9,6.3,0.68,7.5,2.9,11.1,7.0,10.9,50.9,53.2,20.1,99.99,7.2,3115,'99-00
43,2,Rashard Lewis,SEA,20,82,45,37,19.2,102.5,100.6,2.0,7.1,0.90,9.1,7.5,12.9,10.2,10.2,52.1,54.3,18.7,97.43,10.3,3201,'99-00
44,2,Rasho Nesterovic,MIN,24,82,50,32,21.1,103.7,98.9,4.8,7.5,1.31,14.4,8.0,14.5,11.3,11.0,47.6,49.2,14.3,93.94,5.7,3374,'99-00
45,2,Ray Allen,MIL,24,82,42,40,37.5,108.0,105.6,2.4,16.6,1.68,14.9,2.8,9.2,6.0,8.8,51.6,57.0,25.0,95.29,13.2,6085,'99-00
46,2,Rick Fox,LAL,30,82,67,15,18.0,101.4,92.7,8.8,14.4,1.57,18.1,4.0,8.7,6.3,11.5,47.3,50.2,17.9,97.09,7.2,2984,'99-00
47,2,Rodney Rogers,PHX,29,82,53,29,27.9,104.8,94.3,10.5,12.8,1.04,12.8,6.1,12.8,9.6,12.3,55.1,57.0,21.9,96.31,11.7,4567,'99-00
48,2,Scottie Pippen,POR,34,82,59,23,33.5,106.6,98.7,7.8,23.3,1.95,25.8,4.4,14.4,9.6,13.2,50.1,53.3,19.3,91.96,12.3,5262,'99-00
49,2,Shandon Anderson,HOU,26,82,34,48,33.0,103.3,105.1,-1.8,13.9,1.23,18.1,3.4,10.6,7.1,14.7,52.4,56.7,17.4,96.08,9.1,5417,'99-00
50,2,Shareef Abdur-Rahim,VAN,23,82,22,60,39.3,101.1,106.5,-5.4,15.2,1.09,13.3,7.2,20.2,13.7,12.2,47.7,54.7,24.7,93.20,14.4,6264,'99-00
51,2,Shawn Kemp,CLE,30,82,32,50,30.4,99.4,101.2,-1.8,9.8,0.47,7.3,9.1,20.0,14.5,15.5,41.8,50.8,29.7,98.94,11.0,5119,'99-00
52,2,Steven Smith,POR,31,82,59,23,32.8,107.6,98.4,9.2,12.4,1.79,15.3,4.9,6.9,6.0,8.6,52.0,58.4,19.5,92.24,10.6,5169,'99-00
53,2,Terry Mills,DET,32,82,42,40,22.5,104.0,103.6,0.4,6.8,1.85,13.4,2.8,19.1,10.9,7.3,53.6,54.5,13.0,98.71,7.3,3786,'99-00
54,2,Tony Battie,BOS,24,82,35,47,18.3,101.4,101.2,0.3,6.9,0.94,9.6,9.8,18.4,13.9,10.2,47.8,51.5,16.6,98.11,9.1,3058,'99-00
55,2,Travis Best,IND,27,82,56,26,20.6,107.3,98.3,8.9,28.5,2.54,26.5,1.0,7.6,4.4,10.4,51.4,56.9,20.4,93.49,11.5,3288,'99-00
56,2,Vince Carter,TOR,23,82,45,37,38.1,105.5,102.3,3.2,19.5,1.81,13.2,4.7,10.7,7.6,7.3,49.3,54.3,29.5,95.22,14.7,6198,'99-00
57,2,Vlade Divac,SAC,32,82,44,38,29.0,102.3,98.9,3.4,14.8,1.28,18.2,6.8,18.5,12.6,14.2,50.7,55.2,18.8,103.03,12.1,5104,'99-00
58,59,Aaron Williams,WAS,28,81,29,52,19.1,103.9,102.3,1.7,6.2,0.73,8.6,10.6,16.2,13.5,11.8,52.2,57.2,17.5,94.79,11.0,3050,'99-00
59,59,Antonio McDyess,DEN,25,81,34,47,33.3,101.4,105.0,-3.6,10.8,0.69,8.7,8.5,16.2,12.3,12.5,50.7,53.9,27.0,96.38,11.8,5410,'99-00
60,59,Austin Croshere,IND,25,81,55,26,23.3,107.6,98.5,9.1,7.8,0.74,9.2,7.7,19.9,14.1,12.5,48.9,55.3,20.9,95.22,11.9,3725,'99-00
61,59,Ben Wallace,ORL,25,81,40,41,24.2,98.8,97.5,1.3,4.7,1.00,12.9,10.2,22.1,16.1,12.9,50.3,50.8,9.5,99.32,10.9,4042,'99-00
62,59,Cuttino Mobley,HOU,24,81,34,47,30.8,102.7,103.9,-1.2,14.8,1.12,13.4,2.4,8.8,5.7,12.0,48.1,54.5,23.4,96.22,10.6,5010,'99-00
63,59,Elton Brand,CHI,21,81,17,64,37.0,92.4,104.2,-11.8,11.8,0.68,8.0,11.6,16.6,14.0,11.8,48.2,52.8,26.6,91.14,14.2,5702,'99-00
64,59,Glenn Robinson,MIL,27,81,42,39,36.0,108.9,106.6,2.3,11.2,0.87,9.6,3.8,13.2,8.5,11.1,50.2,53.4,27.0,95.64,11.4,5801,'99-00
65,59,Greg Ostertag,UTA,27,81,54,27,19.8,102.9,97.2,5.7,1.8,0.23,4.0,11.7,19.5,15.8,17.6,46.4,52.5,12.3,90.47,9.3,3017,'99-00
66,59,James Posey,DEN,23,81,34,47,25.3,100.9,102.2,-1.2,10.6,1.54,17.3,4.0,11.1,7.5,11.2,50.6,55.0,14.6,97.40,8.0,4155,'99-00
67,59,Jamie Feick,NJN,25,81,30,51,27.7,102.4,103.6,-1.2,4.6,1.15,11.1,11.3,22.8,16.8,9.6,43.1,47.7,10.5,95.30,9.3,4450,'99-00
68,59,Jaren Jackson,SAS,32,81,53,28,20.9,101.8,98.6,3.2,11.2,1.79,17.1,2.1,8.6,5.4,9.6,49.2,50.3,15.0,94.36,6.0,3321,'99-00
69,59,Jason Terry,ATL,22,81,28,53,23.3,98.4,105.2,-6.8,30.0,2.22,29.6,1.2,7.4,4.3,13.3,45.3,49.7,18.9,94.63,9.9,3716,'99-00
70,59,Jason Williams,SAC,24,81,43,38,34.0,102.2,100.9,1.2,29.7,1.99,30.6,0.7,6.9,3.8,15.4,44.8,47.7,19.6,103.72,8.2,5956,'99-00
71,59,Keon Clark,DEN,25,81,35,46,22.9,98.9,100.8,-1.9,6.3,0.57,8.8,8.4,17.5,13.0,15.5,54.3,57.3,16.9,97.48,10.9,3758,'99-00
72,59,Kevin Garnett,MIN,24,81,50,31,40.0,105.7,100.3,5.4,21.1,1.50,16.8,7.2,23.3,15.3,11.3,50.7,54.5,27.3,93.25,18.0,6293,'99-00
73,59,Mark Jackson,IND,35,81,55,26,27.0,105.7,103.1,2.6,42.9,3.74,45.2,2.9,9.9,6.6,12.1,51.0,53.8,15.9,96.51,13.0,4391,'99-00
74,59,Michael Doleac,ORL,23,81,40,41,16.5,99.4,98.3,1.1,7.5,0.97,8.9,6.3,17.8,11.9,9.2,45.3,49.0,19.8,99.49,8.7,2775,'99-00
75,59,Raef LaFrentz,DEN,24,81,34,47,30.0,102.0,103.6,-1.6,6.5,1.01,8.3,6.8,18.9,12.9,8.2,48.0,51.2,19.2,96.54,10.1,4890,'99-00
76,59,Rasheed Wallace,POR,25,81,58,23,35.1,107.4,97.7,9.6,8.5,0.90,9.5,5.0,15.3,10.4,10.5,52.2,55.6,21.7,91.82,12.7,5436,'99-00
77,59,Reggie Miller,IND,34,81,55,26,36.9,106.9,101.9,4.9,9.9,1.45,12.3,1.7,6.1,4.0,8.5,52.7,60.3,20.0,95.46,10.7,5940,'99-00
78,59,Ruben Patterson,SEA,24,81,45,36,25.9,103.5,102.4,1.2,9.5,0.88,11.8,10.1,10.0,10.1,13.4,54.5,58.7,19.5,95.65,10.7,4179,'99-00
79,59,Sam Cassell,MIL,30,81,42,39,35.8,107.5,104.8,2.7,39.9,2.73,30.8,2.4,8.1,5.3,11.3,47.7,55.1,24.5,95.98,14.4,5788,'99-00
80,59,Sam Perkins,IND,39,81,55,26,20.0,106.0,96.3,9.7,7.0,1.08,11.0,4.2,13.9,9.2,10.2,51.8,55.5,15.5,93.57,8.9,3149,'99-00
81,82,Bimbo Coles,ATL,32,80,28,52,24.1,99.3,105.0,-5.8,23.9,2.82,27.7,1.5,7.2,4.4,9.8,46.1,49.4,17.2,94.06,8.4,3780,'99-00
82,82,Brent Barry,SEA,28,80,44,36,34.2,103.9,102.8,1.2,15.7,2.05,24.3,1.8,11.8,6.7,11.9,57.9,60.9,14.5,95.47,10.0,5443,'99-00
83,82,Charles Oakley,TOR,36,80,45,35,30.4,102.5,102.0,0.5,15.7,1.64,25.1,4.6,17.6,10.9,15.3,43.0,45.9,13.6,94.60,7.7,4785,'99-00
84,82,Clifford Robinson,PHX,33,80,51,29,35.5,102.6,97.7,4.9,13.4,1.35,13.2,3.8,8.5,6.2,9.8,51.7,56.4,22.7,96.19,11.3,5684,'99-00
85,82,David Robinson,SAS,34,80,51,29,32.0,104.6,95.8,8.9,10.1,0.87,9.1,8.3,22.4,15.7,10.5,51.2,56.8,25.7,91.50,17.2,4867,'99-00
86,82,Ervin Johnson,MIL,32,80,41,39,26.7,107.5,103.9,3.6,2.8,0.55,9.3,11.4,19.5,15.5,17.0,51.6,55.0,8.8,95.73,7.2,4213,'99-00
87,82,Glen Rice,LAL,33,80,65,15,31.6,106.0,98.1,7.9,11.0,1.55,12.3,2.2,10.0,6.2,7.9,47.2,55.1,21.6,95.65,11.1,5045,'99-00
88,82,Jahidi White,WAS,24,80,28,52,19.2,101.0,103.9,-2.9,1.5,0.16,2.3,13.4,23.2,18.3,14.5,50.7,52.4,18.0,94.29,9.6,3008,'99-00
89,82,Jalen Rose,IND,27,80,54,26,37.2,106.5,102.0,4.5,18.0,1.70,17.4,1.5,11.0,6.5,10.2,50.3,54.7,22.9,95.17,11.2,5881,'99-00
90,82,John Amaechi,ORL,29,80,39,41,21.1,99.0,99.2,-0.2,9.2,0.68,8.9,3.7,11.5,7.7,13.0,43.8,50.5,24.3,98.00,8.6,3449,'99-00
91,82,Keith Van Horn,NJN,24,80,30,50,34.9,102.0,105.9,-4.0,10.2,0.64,8.6,6.9,17.7,12.1,13.4,47.8,53.7,26.1,95.20,12.0,5530,'99-00
92,82,Kurt Thomas,NYK,27,80,49,31,24.6,100.2,97.4,2.8,7.0,0.78,10.5,8.2,18.2,13.5,13.5,50.6,54.2,16.8,90.46,10.2,3695,'99-00
93,82,Michael Olowokandi,LAC,25,80,14,66,31.2,93.8,107.9,-14.1,2.6,0.21,3.6,7.5,19.3,13.2,16.7,43.7,46.7,18.2,94.61,6.5,4906,'99-00
94,82,Muggsy Bogues,TOR,35,80,45,35,21.6,101.2,100.7,0.4,26.6,5.07,39.9,1.4,6.6,3.9,7.9,46.2,51.7,11.4,94.04,9.7,3392,'99-00
95,82,P.J. Brown,MIA,30,80,52,28,28.8,106.5,97.5,8.9,9.8,1.45,14.7,10.2,16.2,13.4,10.2,48.0,51.6,16.8,91.80,10.1,4395,'99-00
96,82,Ron Harper,LAL,36,80,66,14,25.5,105.2,97.3,7.8,18.9,2.05,26.9,4.5,11.3,7.9,13.2,43.0,46.8,15.6,93.99,8.6,4006,'99-00
97,82,Tim Thomas,MIL,23,80,42,38,26.2,102.8,105.4,-2.5,9.2,0.88,10.3,4.9,11.2,8.1,11.7,50.3,54.9,20.7,95.59,9.1,4156,'99-00
98,82,Tracy Murray,WAS,28,80,28,52,22.9,101.3,104.4,-3.1,6.7,0.86,8.1,3.4,11.8,7.5,9.5,51.7,55.5,19.2,95.84,9.3,3671,'99-00
99,100,Alonzo Mourning,MIA,30,79,50,29,34.7,103.7,98.6,5.1,8.6,0.57,6.9,8.4,18.9,13.9,12.1,55.1,59.6,27.9,92.09,17.1,5268,'99-00
100,100,Anthony Carter,MIA,25,79,50,29,23.6,98.4,97.9,0.4,32.1,2.18,34.0,2.8,8.0,5.5,15.6,39.8,44.2,18.0,92.58,8.6,3593,'99-00
101,100,Antonio Davis,TOR,31,79,43,36,31.4,103.5,102.5,1.0,6.6,0.87,9.5,9.4,19.0,14.1,10.9,44.0,52.0,17.8,94.59,9.8,4872,'99-00
102,100,Hubert Davis,DAL,30,79,39,40,23.0,105.0,109.4,-4.4,11.3,2.01,20.1,0.9,6.4,3.7,10.0,55.6,58.5,13.3,97.47,6.8,3691,'99-00
103,100,Jim Jackson,ATL,29,79,27,52,35.0,100.1,106.0,-5.8,14.2,1.24,13.2,3.6,10.4,7.0,10.6,45.8,49.6,23.8,93.96,9.2,5423,'99-00
104,100,Kevin Willis,TOR,37,79,45,34,21.3,98.8,100.9,-2.1,5.0,0.50,6.2,11.3,17.3,14.2,12.3,41.6,47.1,19.4,93.56,7.4,3272,'99-00
105,100,Mario Elie,SAS,36,79,51,28,28.1,103.3,97.2,6.2,13.0,1.48,23.1,2.4,8.8,5.8,15.6,50.8,56.5,13.1,92.74,7.2,4288,'99-00
106,100,Nick Van Exel,DEN,28,79,35,44,37.3,103.9,105.0,-1.1,38.0,3.23,31.7,1.1,9.1,5.1,9.8,44.5,48.3,22.4,96.39,11.7,5929,'99-00
107,100,Randy Livingston,PHX,25,79,52,27,13.6,97.1,94.7,2.4,25.4,1.85,25.7,2.3,9.5,6.0,13.9,44.1,47.6,19.8,97.65,8.6,2177,'99-00
108,100,Rik Smits,IND,33,79,54,25,23.5,105.2,104.1,1.1,7.9,0.79,7.2,5.2,15.9,10.7,9.2,48.4,51.8,26.3,96.14,9.8,3699,'99-00
109,100,Shaquille O'Neal,LAL,28,79,66,13,40.1,107.7,96.2,11.5,18.4,1.34,11.8,10.5,21.9,16.4,8.8,57.4,57.8,31.1,94.28,21.4,6211,'99-00
110,100,Tracy McGrady,TOR,21,79,44,35,31.1,101.3,100.8,0.5,19.2,1.64,16.3,7.4,13.0,10.1,9.9,46.0,50.9,24.1,94.48,13.1,4825,'99-00
111,100,Vin Baker,SEA,28,79,43,36,36.0,104.1,103.0,1.1,8.6,0.69,8.8,7.7,13.2,10.4,12.7,45.6,50.0,23.6,93.89,8.2,5571,'99-00
112,100,Vitaly Potapenko,BOS,25,79,35,44,22.7,101.3,101.1,0.3,6.8,0.53,8.5,9.9,18.8,14.2,15.9,49.9,52.7,20.0,97.52,8.8,3646,'99-00
113,100,Wesley Person,CLE,29,79,29,50,26.0,99.7,101.6,-2.0,11.4,2.43,16.4,2.1,10.9,6.4,6.7,50.9,52.8,15.4,97.97,9.2,4193,'99-00
114,115,Clar. Weatherspoon,MIA,29,78,49,29,20.7,97.2,95.8,1.5,10.0,0.93,13.3,8.6,19.6,14.4,14.3,51.3,56.6,17.3,91.31,13.7,3070,'99-00
115,115,Damon Stoudamire,POR,26,78,57,21,30.4,107.1,99.3,7.8,26.9,2.72,26.8,2.7,7.5,5.2,9.9,47.7,50.8,20.9,93.21,10.4,4611,'99-00
116,115,Derek Fisher,LAL,25,78,65,13,23.1,103.2,90.3,12.9,17.6,2.88,25.7,1.2,6.2,3.8,8.9,40.0,44.9,15.0,96.04,6.7,3610,'99-00
117,115,Elden Campbell,CHH,31,78,45,33,32.5,101.8,99.4,2.4,8.7,1.02,10.3,6.9,16.9,11.9,10.1,44.6,50.0,19.9,94.83,9.3,5008,'99-00
118,115,George McCloud,DEN,33,78,33,45,27.2,102.9,105.4,-2.5,18.2,1.84,22.5,3.3,9.9,6.6,12.3,50.1,54.8,17.2,96.51,9.0,4270,'99-00
119,115,Jacque Vaughn,UTA,25,78,51,27,11.3,94.5,100.4,-5.9,24.7,1.57,24.4,1.3,6.5,3.9,15.6,44.3,48.9,19.5,89.68,7.0,1645,'99-00
120,115,Joe Smith,MIN,24,78,49,29,25.3,102.8,100.2,2.5,7.0,0.74,9.3,9.6,15.6,12.6,12.5,46.5,52.5,19.1,94.19,8.6,3883,'99-00
121,122,Corey Maggette,ORL,20,77,37,40,17.8,99.7,101.4,-1.7,7.1,0.44,7.8,8.9,12.7,10.8,17.6,48.0,55.3,21.9,99.72,9.0,2836,'99-00
122,122,Detlef Schrempf,POR,37,77,55,22,21.6,104.7,98.3,6.4,19.2,1.97,23.7,5.3,14.5,10.2,12.0,45.6,54.4,17.3,91.92,11.4,3179,'99-00
123,122,Jeff Hornacek,UTA,37,77,52,25,27.7,108.2,100.2,8.0,15.1,1.79,18.4,2.5,6.6,4.5,10.3,53.7,59.0,18.9,93.43,10.8,4148,'99-00
124,122,Lucious Harris,NJN,29,77,29,48,19.5,99.8,100.7,-0.9,11.0,2.38,15.3,3.4,9.1,6.1,6.4,46.9,50.6,16.0,94.68,9.2,2979,'99-00
125,122,Shawn Bradley,DAL,28,77,38,39,24.7,101.8,98.7,3.1,4.9,0.81,7.9,8.4,16.2,12.5,9.8,48.0,52.1,16.3,95.72,10.1,3769,'99-00
126,122,Steve Francis,HOU,23,77,31,46,36.0,102.5,105.4,-2.8,31.5,1.66,24.2,5.5,9.1,7.3,14.6,49.3,54.3,24.7,96.20,11.9,5562,'99-00
127,128,Adonal Foyle,GSW,25,76,16,60,21.7,93.8,103.1,-9.4,4.0,0.59,7.9,9.4,14.6,11.9,13.3,50.8,50.0,12.5,97.65,6.7,3345,'99-00
128,128,Corliss Williamson,SAC,26,76,41,35,22.5,101.1,102.1,-1.0,6.9,0.75,9.1,6.6,9.1,7.8,12.1,50.0,54.9,19.4,103.85,7.3,3700,'99-00
129,128,Horace Grant,SEA,34,76,43,33,35.3,104.4,102.8,1.6,10.1,3.08,20.9,6.0,15.6,10.7,6.8,44.4,47.2,11.5,94.93,8.5,5313,'99-00
130,128,Jamal Mashburn,MIA,27,76,47,29,37.2,104.2,98.2,6.0,17.8,1.66,17.1,2.4,11.0,6.9,10.3,49.3,52.6,23.4,92.06,11.0,5428,'99-00
131,128,Kendall Gill,NJN,32,76,30,46,31.0,103.9,104.9,-1.0,14.5,2.36,15.3,3.3,8.7,5.9,6.5,42.5,46.5,21.4,96.21,8.4,4719,'99-00
132,128,Lamar Odom,LAC,20,76,15,61,36.4,96.6,104.7,-8.1,19.9,1.23,17.7,5.6,16.0,10.7,14.4,46.7,52.1,23.2,96.11,11.3,5538,'99-00
133,128,Robert Horry,LAL,29,76,62,14,22.2,104.0,92.6,11.5,10.3,1.62,19.5,7.8,12.4,10.2,12.1,47.8,52.8,12.4,97.10,9.8,3410,'99-00
134,128,Scot Pollard,SAC,25,76,40,36,17.5,103.1,98.6,4.5,4.8,0.86,9.6,11.7,17.5,14.5,11.2,52.7,58.4,12.6,98.57,9.7,2733,'99-00
135,128,Walt Williams,HOU,30,76,34,42,24.5,103.9,102.5,1.4,13.8,1.39,15.7,3.8,12.5,8.2,11.3,53.3,56.2,19.7,96.24,9.9,3729,'99-00
136,137,Chris Webber,SAC,27,75,41,34,38.4,103.3,101.2,2.1,20.7,1.58,15.1,6.2,19.3,12.8,9.5,49.2,53.0,27.9,101.86,15.9,6115,'99-00
137,137,Eric Piatkowski,LAC,29,75,13,62,22.8,96.0,108.7,-12.6,7.9,1.42,10.8,4.0,8.9,6.3,7.6,49.7,53.0,16.9,97.64,7.4,3475,'99-00
138,137,George Lynch,PHI,29,75,45,30,32.2,98.7,95.6,3.1,8.9,1.13,13.8,8.6,15.1,11.8,12.2,47.3,49.8,15.2,94.67,9.8,4743,'99-00
139,137,Lawrence Funderburke,SAC,29,75,44,31,13.7,102.5,98.2,4.3,5.3,0.83,6.6,8.9,13.0,10.9,8.0,52.3,56.9,18.8,99.69,12.0,2131,'99-00
140,137,Lorenzen Wright,ATL,24,75,27,48,16.0,96.2,104.8,-8.6,2.9,0.32,4.1,9.2,15.3,12.2,13.0,50.0,53.3,17.2,97.33,7.2,2430,'99-00
141,137,Mark Bryant,CLE,35,75,29,46,22.7,98.1,100.3,-2.1,5.7,0.70,11.3,7.3,13.5,10.4,16.2,50.3,54.7,12.3,95.55,5.6,3372,'99-00
142,137,Monty Williams,ORL,28,75,39,36,20.0,98.9,103.5,-4.6,11.1,0.97,12.8,6.2,10.2,8.2,13.2,49.1,53.3,19.5,101.88,8.1,3191,'99-00
143,137,Vonteego Cummings,GSW,24,75,19,56,23.9,97.1,104.6,-7.5,23.2,1.87,22.3,2.9,7.3,5.0,11.9,44.2,48.4,19.9,97.58,8.4,3648,'99-00
