,#,team,gp,w,l,min,"pts
off to","2nd
pts",fbps,pitp,"opp pts
off to","opp
2nd pts","opp
fbps","opp
pitp",season
10,11,Miami Heat,82,44,38,48.4,15.5,11.8,10.8,40.6,16.4,13.3,12.8,36.1,'06-07
11,12,Golden State Warriors,82,42,40,48.2,21.3,12.8,20.4,46.8,18.3,16.0,13.4,43.9,'06-07
12,12,Los Angeles Lakers,82,42,40,48.9,17.0,13.1,9.6,42.1,18.2,14.1,12.2,43.7,'06-07
13,14,New Jersey Nets,82,41,41,48.5,16.7,11.1,13.3,36.6,16.6,12.5,11.1,35.6,'06-07
14,14,Washington Wizards,82,41,41,48.4,19.0,14.0,15.3,38.9,16.1,14.4,13.3,41.6,'06-07
15,16,Los Angeles Clippers,82,40,42,48.1,15.4,13.0,7.9,36.9,16.5,12.1,9.0,40.0,'06-07
16,16,Orlando Magic,82,40,42,48.2,17.0,13.5,14.0,43.1,18.0,11.6,13.0,34.0,'06-07
17,18,New Orleans/Oklahoma City Hornets,82,39,43,48.5,15.1,14.9,12.3,41.8,16.1,13.0,11.9,37.8,'06-07
18,19,Indiana Pacers,82,35,47,48.2,17.1,12.7,11.7,36.7,18.5,13.2,12.6,38.7,'06-07
19,19,Philadelphia 76ers,82,35,47,48.5,16.9,12.8,14.0,39.9,17.2,14.3,11.9,41.2,'06-07
20,21,Charlotte Bobcats,82,33,49,48.8,16.6,13.6,9.6,39.1,16.9,12.9,13.1,42.0,'06-07
21,21,New York Knicks,82,33,49,48.8,15.0,15.0,9.3,45.2,18.4,13.2,10.1,38.1,'06-07
22,21,Sacramento Kings,82,33,49,48.3,18.6,11.7,11.6,38.5,15.5,12.8,12.5,41.9,'06-07
23,24,Minnesota Timberwolves,82,32,50,48.8,15.3,11.9,9.0,35.0,17.5,13.8,11.8,40.4,'06-07
24,24,Portland Trail Blazers,82,32,50,48.7,15.2,14.0,6.3,38.1,18.3,12.6,13.9,41.2,'06-07
25,26,Seattle SuperSonics,82,31,51,48.4,16.6,14.0,11.8,42.6,17.7,14.7,12.6,43.6,'06-07
26,27,Atlanta Hawks,82,30,52,48.5,16.3,14.0,11.8,38.7,18.1,13.7,13.3,43.0,'06-07
27,28,Milwaukee Bucks,82,28,54,48.4,17.6,13.7,13.0,45.3,17.5,14.2,12.9,43.5,'06-07
28,29,Boston Celtics,82,24,58,48.4,17.4,13.1,12.0,39.0,18.2,12.0,12.4,41.7,'06-07
29,30,Memphis Grizzlies,82,22,60,48.7,16.8,12.8,14.3,42.5,19.8,14.2,14.6,45.4,'06-07
0,1,Boston Celtics,82,66,16,48.2,18.9,12.9,11.0,38.9,16.2,12.5,9.1,34.1,'07-08
1,2,Detroit Pistons,82,59,23,48.1,15.5,14.4,11.5,32.3,11.8,11.4,9.6,35.2,'07-08
2,3,Los Angeles Lakers,82,57,25,48.2,17.1,13.2,12.4,43.8,15.8,14.3,11.9,41.2,'07-08
3,4,New Orleans Hornets,82,56,26,48.3,16.7,13.2,13.6,40.2,12.5,11.3,11.3,38.2,'07-08
4,4,San Antonio Spurs,82,56,26,48.1,14.4,11.1,9.5,36.1,14.0,10.5,11.5,35.5,'07-08
5,6,Houston Rockets,82,55,27,48.1,14.9,14.7,8.2,39.9,14.4,12.7,12.9,35.8,'07-08
6,6,Phoenix Suns,82,55,27,48.2,15.9,10.8,17.3,44.4,16.1,15.4,12.2,44.8,'07-08
7,8,Utah Jazz,82,54,28,48.1,18.7,14.4,11.3,47.3,16.2,12.8,13.6,39.7,'07-08
8,9,Orlando Magic,82,52,30,48.2,15.3,12.2,12.5,41.8,16.1,12.7,12.5,37.4,'07-08
9,10,Dallas Mavericks,82,51,31,48.1,14.5,12.2,14.5,35.5,13.9,12.9,12.8,39.2,'07-08
10,11,Denver Nuggets,82,50,32,48.4,18.1,13.8,19.0,46.6,17.0,14.6,14.2,43.0,'07-08
11,12,Golden State Warriors,82,48,34,48.2,20.0,14.7,23.0,48.6,15.6,15.7,14.3,45.0,'07-08
12,13,Cleveland Cavaliers,82,45,37,48.4,14.0,15.2,11.8,38.1,15.8,11.3,12.4,37.5,'07-08
13,14,Washington Wizards,82,43,39,48.5,15.6,15.2,10.3,39.1,15.0,13.1,12.9,37.6,'07-08
14,15,Portland Trail Blazers,82,41,41,48.5,14.1,13.0,7.9,31.0,14.5,13.5,12.5,40.5,'07-08
15,15,Toronto Raptors,82,41,41,48.4,16.6,11.2,8.0,34.3,13.6,11.7,10.6,37.6,'07-08
16,17,Philadelphia 76ers,82,40,42,48.2,18.1,13.8,18.2,45.0,15.0,13.1,10.0,40.9,'07-08
17,18,Sacramento Kings,82,38,44,48.4,17.7,11.4,12.8,40.6,18.4,13.6,13.1,41.4,'07-08
18,19,Atlanta Hawks,82,37,45,48.4,15.8,14.0,16.8,43.0,17.2,14.2,13.3,43.5,'07-08
19,20,Indiana Pacers,82,36,46,48.2,17.0,13.5,13.3,37.0,17.2,13.2,12.0,37.0,'07-08
20,21,New Jersey Nets,82,34,48,48.4,14.5,12.2,13.1,36.7,16.7,13.4,12.7,37.4,'07-08
21,22,Chicago Bulls,82,33,49,48.3,16.1,14.4,11.1,35.7,16.4,12.7,12.9,35.6,'07-08
22,23,Charlotte Bobcats,82,32,50,48.5,16.0,13.0,12.2,40.3,16.8,15.0,13.5,43.9,'07-08
23,24,Milwaukee Bucks,82,26,56,48.4,14.7,14.1,10.2,41.5,17.2,13.0,14.2,41.6,'07-08
24,25,Los Angeles Clippers,82,23,59,48.3,15.0,11.2,8.7,34.7,15.7,13.2,10.4,43.5,'07-08
25,25,New York Knicks,82,23,59,48.5,13.7,14.7,9.3,41.9,17.3,13.5,12.5,41.0,'07-08
26,27,Memphis Grizzlies,82,22,60,48.3,15.3,11.9,15.0,44.0,18.0,13.0,16.2,45.8,'07-08
27,27,Minnesota Timberwolves,82,22,60,48.1,14.2,15.0,8.8,43.2,17.8,13.0,14.5,38.9,'07-08
28,29,Seattle SuperSonics,82,20,62,48.4,13.6,13.3,15.8,41.1,18.3,13.9,14.1,44.2,'07-08
29,30,Miami Heat,82,15,67,48.4,15.2,10.2,9.7,33.3,17.0,13.9,13.5,38.8,'07-08
0,1,Cleveland Cavaliers,82,66,16,48.2,17.2,12.9,11.4,35.7,14.7,12.0,12.6,37.1,'08-09
1,2,Los Angeles Lakers,82,65,17,48.2,18.8,15.7,12.3,47.0,15.1,13.3,11.5,41.7,'08-09
2,3,Boston Celtics,82,62,20,48.5,17.3,12.6,11.8,41.8,17.5,11.0,10.6,36.1,'08-09
3,4,Orlando Magic,82,59,23,48.1,14.4,12.7,11.5,35.9,15.0,12.5,11.2,35.7,'08-09
4,5,Denver Nuggets,82,54,28,48.1,18.0,13.7,16.8,44.0,16.8,14.3,11.6,39.0,'08-09
5,5,Portland Trail Blazers,82,54,28,48.4,15.7,15.4,9.2,38.7,14.1,12.1,10.3,38.4,'08-09
6,5,San Antonio Spurs,82,54,28,48.5,13.4,11.2,9.4,35.1,13.2,10.8,12.1,37.0,'08-09
7,8,Houston Rockets,82,53,29,48.3,13.5,13.4,8.7,40.0,15.7,11.7,11.7,38.0,'08-09
8,9,Dallas Mavericks,82,50,32,48.3,15.4,12.2,15.2,35.2,14.8,13.0,13.3,38.9,'08-09
9,10,New Orleans Hornets,82,49,33,48.2,15.0,11.3,10.4,37.9,13.9,11.7,11.2,35.8,'08-09
10,11,Utah Jazz,82,48,34,48.5,19.2,13.9,12.8,45.0,16.6,13.6,13.3,43.3,'08-09
11,12,Atlanta Hawks,82,47,35,48.1,15.5,12.7,15.6,39.8,14.0,13.3,12.5,40.8,'08-09
12,13,Phoenix Suns,82,46,36,48.2,16.7,12.9,17.6,52.0,18.6,15.4,13.2,39.8,'08-09
13,14,Miami Heat,82,43,39,48.7,17.3,12.0,9.7,37.1,14.7,13.0,11.4,39.1,'08-09
14,15,Chicago Bulls,82,41,41,48.6,17.1,13.9,15.0,37.9,16.9,15.4,12.7,43.2,'08-09
15,15,Philadelphia 76ers,82,41,41,48.2,18.1,14.5,17.6,44.5,16.3,13.3,11.1,39.8,'08-09
16,17,Detroit Pistons,82,39,43,48.5,13.4,13.5,9.9,34.5,13.1,11.7,10.4,37.6,'08-09
17,18,Indiana Pacers,82,36,46,48.4,15.2,14.0,13.3,41.5,17.0,12.6,12.5,37.8,'08-09
18,19,Charlotte Bobcats,82,35,47,48.6,17.2,12.3,10.1,40.1,16.6,13.4,10.6,37.6,'08-09
19,20,Milwaukee Bucks,82,34,48,48.2,18.6,13.6,11.6,37.9,16.6,12.9,11.9,36.2,'08-09
20,20,New Jersey Nets,82,34,48,48.4,15.2,11.8,11.1,37.1,15.6,13.1,13.2,38.4,'08-09
21,22,Toronto Raptors,82,33,49,48.3,15.1,11.9,9.4,34.4,15.6,13.4,11.5,40.6,'08-09
22,23,New York Knicks,82,32,50,48.3,17.0,13.4,10.7,41.9,16.7,13.7,12.9,45.7,'08-09
23,24,Golden State Warriors,82,29,53,48.5,16.6,13.9,18.4,43.1,18.0,17.1,16.8,48.6,'08-09
24,25,Memphis Grizzlies,82,24,58,48.3,16.5,11.4,11.9,41.1,16.1,12.7,12.3,41.7,'08-09
25,25,Minnesota Timberwolves,82,24,58,48.3,14.2,14.6,10.0,40.9,16.5,12.1,13.0,39.8,'08-09
26,27,Oklahoma City Thunder,82,23,59,48.3,15.3,13.9,14.5,42.3,19.0,13.0,14.0,44.7,'08-09
27,28,Los Angeles Clippers,82,19,63,48.5,14.1,12.7,10.6,40.9,16.8,14.6,11.9,44.5,'08-09
28,28,Washington Wizards,82,19,63,48.1,15.3,13.6,10.6,41.4,17.4,13.2,13.7,40.0,'08-09
29,30,Sacramento Kings,82,17,65,48.5,15.8,12.0,12.1,37.6,18.7,13.9,14.3,45.6,'08-09
0,1,Cleveland Cavaliers,82,61,21,48.2,15.4,12.8,14.0,44.0,15.6,11.7,13.2,36.8,'09-10
1,2,Orlando Magic,82,59,23,48.1,14.3,12.7,12.1,38.7,16.3,11.7,11.2,36.6,'09-10
2,3,Los Angeles Lakers,82,57,25,48.4,16.3,15.3,11.2,43.8,15.2,12.9,12.8,40.7,'09-10
3,4,Dallas Mavericks,82,55,27,48.5,16.4,11.7,16.0,38.0,15.0,12.9,13.4,41.7,'09-10
4,5,Phoenix Suns,82,54,28,48.1,14.7,13.8,16.0,45.4,17.2,16.1,15.3,43.8,'09-10
5,6,Atlanta Hawks,82,53,29,48.4,16.7,13.6,16.2,44.6,13.6,14.0,15.9,42.9,'09-10
6,6,Denver Nuggets,82,53,29,48.2,18.0,13.7,15.1,43.1,16.5,14.0,13.9,42.6,'09-10
7,6,Utah Jazz,82,53,29,48.2,18.4,13.2,15.3,48.6,17.1,12.1,15.0,40.0,'09-10
8,9,Boston Celtics,82,50,32,48.2,17.4,11.1,14.2,44.1,16.1,12.8,11.6,38.2,'09-10
9,9,Oklahoma City Thunder,82,50,32,48.3,17.9,13.9,15.7,43.0,16.3,14.3,12.5,44.0,'09-10
10,9,Portland Trail Blazers,82,50,32,48.4,16.3,13.9,9.5,36.5,14.1,12.8,11.2,40.9,'09-10
11,9,San Antonio Spurs,82,50,32,48.2,14.7,12.9,12.5,43.3,15.7,12.6,14.7,41.0,'09-10
12,13,Miami Heat,82,47,35,48.5,16.3,12.9,9.6,37.0,13.8,12.6,11.4,37.0,'09-10
13,14,Milwaukee Bucks,82,46,36,48.7,16.3,13.9,10.5,37.0,14.8,11.1,12.8,37.5,'09-10
14,15,Charlotte Bobcats,82,44,38,48.5,17.6,12.2,14.2,43.1,16.9,12.7,12.8,39.6,'09-10
15,16,Houston Rockets,82,42,40,48.5,16.9,14.2,14.6,44.0,16.4,13.4,14.1,45.6,'09-10
16,17,Chicago Bulls,82,41,41,48.5,14.3,13.4,14.2,40.5,15.5,12.9,13.3,39.7,'09-10
17,18,Memphis Grizzlies,82,40,42,48.5,17.1,15.9,17.6,51.3,18.8,13.2,18.0,47.7,'09-10
18,18,Toronto Raptors,82,40,42,48.2,15.5,12.5,14.8,42.3,15.6,13.5,17.2,42.4,'09-10
19,20,New Orleans Hornets,82,37,45,48.4,16.9,13.0,15.1,42.7,15.9,13.4,14.4,45.2,'09-10
20,21,Indiana Pacers,82,32,50,48.1,15.9,11.2,13.2,38.2,17.4,14.0,13.5,39.3,'09-10
21,22,Los Angeles Clippers,82,29,53,48.1,14.0,13.4,12.8,41.9,18.8,13.5,13.6,43.5,'09-10
22,22,New York Knicks,82,29,53,48.5,15.6,12.8,9.9,40.2,15.9,14.1,12.7,47.2,'09-10
23,24,Detroit Pistons,82,27,55,48.2,17.0,14.9,12.9,38.3,16.2,12.9,14.1,38.6,'09-10
24,24,Philadelphia 76ers,82,27,55,48.3,16.2,13.6,18.9,41.7,16.4,12.7,13.7,42.5,'09-10
25,26,Golden State Warriors,82,26,56,48.1,21.2,11.9,23.7,41.6,17.9,16.0,18.2,48.4,'09-10
26,26,Washington Wizards,82,26,56,48.4,14.9,13.7,10.8,37.8,17.1,13.5,13.8,41.6,'09-10
27,28,Sacramento Kings,82,25,57,48.5,16.2,14.5,15.0,44.8,16.8,13.8,15.0,45.0,'09-10
28,29,Minnesota Timberwolves,82,15,67,48.2,15.6,14.5,15.1,43.6,19.6,13.4,17.9,44.6,'09-10
29,30,New Jersey Nets,82,12,70,48.2,14.9,11.9,12.9,40.2,16.6,13.9,16.5,44.9,'09-10
0,1,Chicago Bulls,82,62,20,48.4,15.9,15.0,13.5,41.9,15.4,11.9,13.0,36.2,'10-11
1,2,San Antonio Spurs,82,61,21,48.2,15.9,11.4,15.3,42.3,15.3,13.2,14.0,41.2,'10-11
2,3,Miami Heat,82,58,24,48.2,16.1,11.8,14.2,38.0,15.5,12.8,13.0,38.6,'10-11
3,4,Dallas Mavericks,82,57,25,48.1,15.3,11.5,14.8,37.1,15.4,12.6,13.9,42.0,'10-11
4,4,Los Angeles Lakers,82,57,25,48.4,15.2,15.0,11.6,44.5,14.7,13.8,13.7,39.9,'10-11
5,6,Boston Celtics,82,56,26,48.2,16.2,9.5,12.5,41.5,15.1,12.5,11.2,37.0,'10-11
6,7,Oklahoma City Thunder,82,55,27,48.8,16.9,13.4,16.2,42.7,15.4,14.4,12.3,44.9,'10-11
7,8,Orlando Magic,82,52,30,48.4,15.1,12.8,11.2,37.2,16.5,11.5,10.7,35.4,'10-11
8,9,Denver Nuggets,82,50,32,48.1,16.3,12.6,14.1,44.4,15.6,13.2,12.2,41.2,'10-11
9,10,Portland Trail Blazers,82,48,34,48.3,17.4,14.1,10.1,40.6,15.0,13.3,11.4,40.2,'10-11
10,11,Memphis Grizzlies,82,46,36,48.5,19.5,14.7,16.6,51.4,15.3,12.7,15.0,40.3,'10-11
11,11,New Orleans Hornets,82,46,36,48.4,16.4,12.0,11.2,37.6,14.6,10.5,11.7,38.1,'10-11
12,13,Atlanta Hawks,82,44,38,48.1,14.2,11.4,14.3,36.9,15.2,12.8,14.1,40.5,'10-11
13,14,Houston Rockets,82,43,39,48.5,17.1,14.3,15.0,43.0,15.2,14.3,14.7,45.9,'10-11
14,15,New York Knicks,82,42,40,48.2,17.8,12.4,13.4,40.9,16.1,14.5,12.7,46.0,'10-11
15,16,Philadelphia 76ers,82,41,41,48.6,16.4,12.1,17.6,41.3,14.7,12.2,13.3,41.0,'10-11
16,17,Phoenix Suns,82,40,42,48.8,15.9,12.2,13.8,41.8,16.8,14.0,14.0,43.8,'10-11
17,18,Utah Jazz,82,39,43,48.5,15.9,13.3,14.0,43.4,16.6,12.9,13.1,40.3,'10-11
18,19,Indiana Pacers,82,37,45,48.2,15.4,13.6,13.9,38.5,17.1,12.9,13.3,39.0,'10-11
19,20,Golden State Warriors,82,36,46,48.4,19.6,13.1,18.8,42.6,17.6,14.4,19.3,45.5,'10-11
20,21,Milwaukee Bucks,82,35,47,48.4,16.6,11.9,10.0,35.7,14.8,11.9,12.1,37.5,'10-11
21,22,Charlotte Bobcats,82,34,48,48.3,14.8,12.4,11.9,41.1,16.5,12.8,14.3,39.8,'10-11
22,23,Los Angeles Clippers,82,32,50,48.4,16.3,14.0,14.6,45.5,19.1,13.2,14.2,41.0,'10-11
23,24,Detroit Pistons,82,30,52,48.5,16.5,13.9,13.1,40.6,16.3,13.9,15.7,44.0,'10-11
24,25,New Jersey Nets,82,24,58,48.8,13.4,12.7,11.3,39.0,15.9,13.0,13.3,41.5,'10-11
25,25,Sacramento Kings,82,24,58,48.4,17.0,15.5,15.3,45.1,18.9,12.8,17.8,46.0,'10-11
26,27,Washington Wizards,82,23,59,48.6,17.0,14.3,16.5,41.6,18.1,14.0,16.6,44.1,'10-11
27,28,Toronto Raptors,82,22,60,48.2,15.8,13.0,18.0,45.1,17.7,13.9,16.7,47.4,'10-11
28,29,Cleveland Cavaliers,82,19,63,48.2,14.1,13.0,14.1,40.4,15.8,13.2,14.2,42.2,'10-11
29,30,Minnesota Timberwolves,82,17,65,48.2,16.3,16.1,11.9,40.6,20.0,14.2,17.1,41.8,'10-11
0,1,Chicago Bulls,66,50,16,48.3,14.8,15.8,13.6,40.0,15.4,11.9,12.1,38.2,'11-12
1,1,San Antonio Spurs,66,50,16,48.3,16.0,12.5,13.7,45.2,15.2,11.1,14.0,40.5,'11-12
2,3,Oklahoma City Thunder,66,47,19,48.5,16.1,13.2,16.1,41.9,16.7,14.7,12.3,42.4,'11-12
3,4,Miami Heat,66,46,20,48.6,19.7,12.5,13.7,42.5,16.6,13.1,11.9,36.6,'11-12
4,5,Indiana Pacers,66,42,24,48.5,16.4,14.9,13.1,41.2,15.1,13.0,12.5,38.1,'11-12
5,6,Los Angeles Lakers,66,41,25,48.7,12.4,13.8,9.4,42.5,16.6,12.7,15.1,40.4,'11-12
6,6,Memphis Grizzlies,66,41,25,48.3,19.7,14.6,15.7,45.1,16.0,12.5,12.1,40.3,'11-12
7,8,Atlanta Hawks,66,40,26,49.0,17.1,12.5,15.9,39.8,16.0,12.6,12.0,40.5,'11-12
8,8,Los Angeles Clippers,66,40,26,48.4,17.4,14.4,11.0,39.2,15.1,12.9,12.3,38.6,'11-12
9,10,Boston Celtics,66,39,27,48.3,16.3,9.9,12.0,35.0,16.2,13.5,11.5,39.8,'11-12
10,11,Denver Nuggets,66,38,28,48.6,18.9,13.3,19.8,53.4,17.3,12.6,12.2,39.5,'11-12
11,12,Orlando Magic,66,37,29,48.4,15.0,12.8,9.8,37.4,16.2,11.8,10.9,37.4,'11-12
12,13,Dallas Mavericks,66,36,30,48.7,17.0,10.9,11.9,37.3,15.8,12.3,14.4,38.9,'11-12
13,13,New York Knicks,66,36,30,48.3,18.8,13.5,12.3,40.5,17.8,12.6,12.4,38.9,'11-12
14,13,Utah Jazz,66,36,30,49.0,16.7,15.5,16.9,49.8,15.3,12.2,14.4,42.3,'11-12
15,16,Philadelphia 76ers,66,35,31,48.2,16.3,12.3,15.4,38.9,11.6,11.7,10.2,36.4,'11-12
16,17,Houston Rockets,66,34,32,48.7,16.9,13.4,13.6,40.9,16.7,13.3,13.7,44.5,'11-12
17,18,Phoenix Suns,66,33,33,48.0,15.0,12.2,12.7,40.4,15.2,14.2,12.6,43.4,'11-12
18,19,Milwaukee Bucks,66,31,35,48.1,18.2,14.4,14.0,41.6,16.5,13.8,13.4,41.4,'11-12
19,20,Portland Trail Blazers,66,28,38,48.4,16.0,13.7,10.9,38.9,16.0,13.4,14.3,42.2,'11-12
20,21,Minnesota Timberwolves,66,26,40,48.3,14.1,14.7,10.3,40.8,18.4,14.0,15.8,44.1,'11-12
21,22,Detroit Pistons,66,25,41,48.4,15.7,13.5,13.5,41.4,18.4,12.2,14.0,40.1,'11-12
22,23,Golden State Warriors,66,23,43,48.2,16.1,11.0,13.0,38.1,16.2,15.3,14.4,43.1,'11-12
23,23,Toronto Raptors,66,23,43,48.4,15.0,12.2,9.7,37.0,15.4,12.3,12.5,37.6,'11-12
24,25,New Jersey Nets,66,22,44,48.2,16.0,12.9,11.1,33.5,17.7,13.6,14.8,44.2,'11-12
25,25,Sacramento Kings,66,22,44,48.2,17.9,14.9,18.7,48.5,17.8,14.4,17.1,48.2,'11-12
26,27,Cleveland Cavaliers,66,21,45,48.4,14.5,13.2,10.5,41.9,16.9,14.5,11.7,43.6,'11-12
27,27,New Orleans Hornets,66,21,45,48.3,15.3,12.3,9.0,40.2,17.7,13.3,12.9,40.9,'11-12
28,29,Washington Wizards,66,20,46,48.1,17.5,13.3,17.9,43.0,18.2,14.5,14.5,40.7,'11-12
29,30,Charlotte Bobcats,66,7,59,48.2,14.3,11.4,12.7,35.2,17.2,15.4,16.0,48.3,'11-12
0,1,Miami Heat,82,66,16,48.5,18.6,10.4,11.9,41.5,15.7,14.7,11.9,39.9,'12-13
1,2,Oklahoma City Thunder,82,60,22,48.4,18.1,12.5,16.7,42.6,16.7,13.6,12.5,40.7,'12-13
2,3,San Antonio Spurs,82,58,24,48.5,17.4,10.1,13.7,44.6,16.4,12.5,14.2,40.0,'12-13
3,4,Denver Nuggets,82,57,25,48.5,19.9,15.8,20.1,58.0,17.3,14.8,12.2,40.7,'12-13
4,5,Los Angeles Clippers,82,56,26,48.1,19.6,14.2,15.7,44.9,16.0,13.0,12.3,37.2,'12-13
5,5,Memphis Grizzlies,82,56,26,48.3,17.4,14.3,12.6,43.0,14.9,11.9,12.4,38.0,'12-13
6,7,New York Knicks,82,54,28,48.1,17.8,13.2,8.8,33.7,13.5,12.4,12.1,39.7,'12-13
7,8,Brooklyn Nets,82,49,33,48.4,15.8,14.2,9.0,41.4,16.9,12.4,13.9,43.4,'12-13
8,8,Indiana Pacers,81,49,32,48.4,15.2,14.5,11.8,39.9,16.0,12.9,10.1,35.5,'12-13
9,10,Golden State Warriors,82,47,35,48.3,13.9,12.0,14.7,38.3,17.3,13.9,13.8,40.4,'12-13
10,11,Chicago Bulls,82,45,37,48.4,15.0,14.9,10.2,39.8,15.4,12.7,13.1,39.3,'12-13
11,11,Houston Rockets,82,45,37,48.2,18.0,13.0,18.6,46.2,18.4,12.6,14.2,41.9,'12-13
12,11,Los Angeles Lakers,82,45,37,48.2,15.5,13.8,10.2,42.0,16.7,13.8,15.9,44.1,'12-13
13,14,Atlanta Hawks,82,44,38,48.4,17.0,10.7,17.7,41.2,16.7,13.2,12.0,41.0,'12-13
14,15,Utah Jazz,82,43,39,48.5,17.4,14.7,14.2,42.9,16.9,12.5,13.4,42.6,'12-13
15,16,Boston Celtics,81,41,40,49.0,16.7,9.9,13.3,38.0,16.9,14.2,12.1,42.7,'12-13
16,16,Dallas Mavericks,82,41,41,48.7,16.1,10.6,16.2,40.5,17.1,13.6,14.0,41.1,'12-13
17,18,Milwaukee Bucks,82,38,44,48.4,17.9,14.6,13.4,42.8,16.8,14.6,15.1,46.2,'12-13
18,19,Philadelphia 76ers,82,34,48,48.2,16.3,13.1,12.8,38.9,14.5,12.2,12.5,40.2,'12-13
19,19,Toronto Raptors,82,34,48,48.7,16.9,13.4,9.9,38.5,15.5,13.1,11.9,42.5,'12-13
20,21,Portland Trail Blazers,82,33,49,48.4,15.1,14.1,9.9,37.4,17.2,13.4,14.6,47.4,'12-13
21,22,Minnesota Timberwolves,82,31,51,48.1,18.1,14.3,12.4,41.0,16.5,12.7,14.0,42.3,'12-13
22,23,Detroit Pistons,82,29,53,48.3,15.4,13.9,13.9,46.5,17.8,13.5,13.5,42.9,'12-13
23,23,Washington Wizards,82,29,53,48.4,15.6,11.9,14.2,36.6,16.8,12.6,12.0,38.1,'12-13
24,25,Sacramento Kings,82,28,54,48.4,16.3,13.8,16.8,45.7,17.6,14.2,16.7,45.2,'12-13
25,26,New Orleans Hornets,82,27,55,48.2,14.8,15.0,9.7,42.4,17.3,12.8,13.2,43.2,'12-13
26,27,Phoenix Suns,82,25,57,48.3,16.1,13.3,13.5,40.4,18.6,13.5,14.9,45.6,'12-13
27,28,Cleveland Cavaliers,82,24,58,48.1,16.9,14.9,10.2,39.8,16.2,13.6,13.1,42.5,'12-13
28,29,Charlotte Bobcats,82,21,61,48.3,14.4,13.4,15.7,38.6,17.0,14.0,13.8,43.9,'12-13
29,30,Orlando Magic,82,20,62,48.2,14.0,13.2,9.9,43.7,16.8,12.7,12.6,42.8,'12-13
0,1,San Antonio Spurs,82,62,20,48.2,16.5,12.0,13.2,45.9,16.3,12.7,12.8,42.2,'13-14
1,2,Oklahoma City Thunder,82,59,23,48.3,17.7,13.5,16.2,42.1,17.3,12.3,12.8,39.7,'13-14
2,3,Los Angeles Clippers,82,57,25,48.2,19.5,13.4,18.6,42.0,15.6,14.2,11.1,44.6,'13-14
3,4,Indiana Pacers,82,56,26,48.2,15.5,12.4,9.6,38.4,15.4,11.7,11.7,35.7,'13-14
4,5,Houston Rockets,82,54,28,48.4,16.2,13.7,18.5,50.9,18.0,14.6,13.8,44.0,'13-14
5,5,Miami Heat,82,54,28,48.5,19.3,9.7,13.2,45.2,17.4,13.3,12.0,41.1,'13-14
6,5,Portland Trail Blazers,82,54,28,48.4,13.9,16.1,10.9,37.7,15.6,14.0,13.3,45.6,'13-14
7,8,Golden State Warriors,82,51,31,48.4,17.0,12.5,15.1,43.5,17.0,13.0,13.3,40.7,'13-14
8,9,Memphis Grizzlies,82,50,32,48.3,16.2,13.6,10.6,47.6,15.6,11.5,13.4,38.6,'13-14
9,10,Dallas Mavericks,82,49,33,48.4,17.1,12.0,12.2,41.9,16.2,13.5,15.6,43.6,'13-14
10,11,Chicago Bulls,82,48,34,48.6,15.4,14.1,9.8,37.2,15.6,11.7,12.4,37.0,'13-14
11,11,Phoenix Suns,82,48,34,48.2,17.7,12.9,18.7,42.1,16.9,14.3,14.1,45.5,'13-14
12,11,Toronto Raptors,82,48,34,48.7,16.8,14.7,9.6,38.9,16.8,13.1,12.1,42.9,'13-14
13,14,Brooklyn Nets,82,44,38,48.5,18.6,10.2,9.3,38.4,16.6,12.8,13.0,41.1,'13-14
14,14,Washington Wizards,82,44,38,48.9,18.2,12.2,15.7,41.3,16.8,12.9,12.3,41.9,'13-14
15,16,Charlotte Bobcats,82,43,39,48.5,14.3,12.0,10.2,40.4,14.0,12.6,10.2,38.8,'13-14
16,17,Minnesota Timberwolves,82,40,42,48.4,18.8,15.3,16.0,47.3,15.9,12.9,16.3,46.1,'13-14
17,18,Atlanta Hawks,82,38,44,48.4,17.4,11.4,13.9,41.0,17.3,13.1,12.4,42.5,'13-14
18,19,New York Knicks,82,37,45,48.4,16.7,13.1,9.0,33.5,15.0,12.7,11.7,39.5,'13-14
19,20,Denver Nuggets,82,36,46,48.2,16.5,14.4,15.7,46.3,17.6,14.1,13.5,45.3,'13-14
20,21,New Orleans Pelicans,82,34,48,48.4,16.8,14.0,13.3,45.5,16.1,12.9,13.5,43.8,'13-14
21,22,Cleveland Cavaliers,82,33,49,48.6,15.0,13.0,10.7,39.3,16.6,12.6,12.1,38.9,'13-14
22,23,Detroit Pistons,82,29,53,48.2,18.1,16.1,16.9,51.9,16.9,14.0,14.1,44.3,'13-14
23,24,Sacramento Kings,82,28,54,48.4,15.0,15.2,13.1,44.0,17.1,11.9,15.3,41.9,'13-14
24,25,Los Angeles Lakers,82,27,55,48.1,15.9,10.9,15.2,41.0,18.3,15.8,16.7,49.2,'13-14
25,26,Boston Celtics,82,25,57,48.1,15.9,13.9,12.1,37.8,16.5,13.8,13.3,44.8,'13-14
26,26,Utah Jazz,82,25,57,48.2,13.7,13.4,12.3,41.5,17.4,12.3,15.6,45.8,'13-14
27,28,Orlando Magic,82,23,59,48.7,14.8,12.0,11.3,38.1,16.7,13.0,13.2,39.9,'13-14
28,29,Philadelphia 76ers,82,19,63,48.4,18.6,13.9,17.4,49.5,19.2,14.1,16.6,44.2,'13-14
