,#,team,gp,w,l,min,"pts
off to","2nd
pts",fbps,pitp,"opp pts
off to","opp
2nd pts","opp
fbps","opp
pitp",season
22,23,Cleveland Cavaliers,82,30,52,48.4,16.0,14.1,13.1,39.9,18.5,13.8,14.6,36.6,'00-01
23,24,New Jersey Nets,82,26,56,48.1,16.9,11.8,11.8,38.3,16.2,14.1,13.8,37.2,'00-01
24,25,Atlanta Hawks,82,25,57,48.1,15.3,13.7,11.0,36.2,18.6,13.0,13.1,36.8,'00-01
25,26,Vancouver Grizzlies,82,23,59,48.2,15.1,11.3,11.8,33.1,18.0,14.6,14.4,42.4,'00-01
26,27,Washington Wizards,82,19,63,48.0,15.8,14.1,12.7,37.9,19.8,13.3,14.5,42.0,'00-01
27,28,Golden State Warriors,82,17,65,48.2,17.6,16.3,13.8,39.9,18.2,13.7,15.2,44.9,'00-01
28,29,Chicago Bulls,82,15,67,48.4,15.5,12.7,10.3,34.3,17.9,13.5,11.6,40.0,'00-01
0,1,Sacramento Kings,82,61,21,48.2,17.5,14.7,17.0,43.3,14.4,14.5,12.8,41.5,'01-02
1,2,Los Angeles Lakers,82,58,24,48.2,15.5,14.9,10.7,43.6,13.7,14.6,10.7,37.0,'01-02
2,2,San Antonio Spurs,82,58,24,48.4,17.0,13.4,11.6,41.3,15.1,13.9,12.5,37.3,'01-02
3,4,Dallas Mavericks,82,57,25,48.5,16.0,12.7,16.0,39.6,14.2,15.1,13.6,43.5,'01-02
4,5,New Jersey Nets,82,52,30,48.4,17.4,14.0,17.4,42.7,14.6,13.0,10.8,35.3,'01-02
5,6,Detroit Pistons,82,50,32,48.0,16.9,12.2,12.0,34.6,16.0,13.2,11.2,36.0,'01-02
6,6,Minnesota Timberwolves,82,50,32,48.3,15.1,15.5,12.9,38.2,15.4,13.8,11.7,38.0,'01-02
7,8,Boston Celtics,82,49,33,48.4,16.8,12.2,12.5,35.4,14.9,13.6,12.6,30.9,'01-02
8,8,Portland Trail Blazers,82,49,33,48.4,17.1,14.9,13.0,38.3,15.3,12.6,12.6,36.8,'01-02
9,10,Seattle SuperSonics,82,45,37,48.4,17.7,13.4,12.1,41.9,15.3,14.7,13.1,38.5,'01-02
10,11,Charlotte Hornets,82,44,38,48.2,15.2,13.8,12.7,37.8,14.7,14.3,12.3,36.4,'01-02
11,11,Orlando Magic,82,44,38,48.4,17.3,13.3,15.0,38.0,14.6,14.9,14.7,42.0,'01-02
12,11,Utah Jazz,82,44,38,48.4,18.8,15.3,12.5,40.3,17.2,12.8,11.9,35.0,'01-02
13,14,Philadelphia 76ers,82,43,39,48.1,16.1,14.6,13.7,39.0,15.4,11.9,13.4,33.3,'01-02
14,15,Indiana Pacers,82,42,40,48.5,15.4,14.1,15.7,37.1,15.5,14.7,13.8,39.1,'01-02
15,15,Toronto Raptors,82,42,40,48.2,15.6,15.2,16.5,35.4,15.3,13.5,16.2,35.4,'01-02
16,17,Milwaukee Bucks,82,41,41,48.5,14.4,11.9,12.3,33.0,15.9,13.9,12.0,37.0,'01-02
17,18,Los Angeles Clippers,82,39,43,48.3,14.3,15.6,9.9,43.3,15.8,15.3,10.0,42.0,'01-02
18,19,Washington Wizards,82,37,45,48.1,14.2,14.8,8.5,32.7,15.1,13.3,12.6,36.0,'01-02
19,20,Miami Heat,82,36,46,48.6,14.1,12.4,9.6,33.0,16.3,12.0,11.4,33.4,'01-02
20,20,Phoenix Suns,82,36,46,48.4,16.1,14.9,12.4,43.3,16.1,14.5,11.7,38.2,'01-02
21,22,Atlanta Hawks,82,33,49,48.2,17.0,12.0,14.8,39.8,17.8,13.8,16.7,40.7,'01-02
22,23,New York Knicks,82,30,52,48.3,14.3,12.7,9.6,33.0,17.0,13.5,11.1,38.0,'01-02
23,24,Cleveland Cavaliers,82,29,53,48.4,13.5,13.1,11.7,34.1,16.6,13.4,13.0,39.7,'01-02
24,25,Houston Rockets,82,28,54,48.7,13.4,12.8,9.0,34.7,16.1,14.4,12.7,41.5,'01-02
25,26,Denver Nuggets,82,27,55,48.3,14.9,14.7,14.0,38.7,16.9,14.6,15.3,41.1,'01-02
26,27,Memphis Grizzlies,82,23,59,48.2,15.0,13.8,11.7,39.4,17.9,14.1,14.3,43.6,'01-02
27,28,Chicago Bulls,82,21,61,48.3,14.9,12.1,11.3,33.2,16.3,13.3,11.5,37.6,'01-02
28,28,Golden State Warriors,82,21,61,48.2,16.5,16.8,14.7,46.0,18.6,14.6,14.3,46.0,'01-02
0,1,Dallas Mavericks,82,60,22,48.2,17.9,13.5,14.3,38.0,12.4,14.3,12.3,38.5,'02-03
1,1,San Antonio Spurs,82,60,22,48.4,16.3,12.7,11.8,43.5,16.7,14.0,12.2,37.5,'02-03
2,3,Sacramento Kings,82,59,23,48.4,17.3,12.3,14.0,40.7,15.6,14.6,12.4,38.2,'02-03
3,4,Minnesota Timberwolves,82,51,31,48.3,15.6,14.4,12.4,38.2,15.0,13.8,11.7,38.2,'02-03
4,5,Detroit Pistons,82,50,32,48.5,15.2,11.7,10.2,31.6,14.0,11.7,10.2,34.0,'02-03
5,5,Los Angeles Lakers,82,50,32,48.6,15.6,15.3,10.5,41.2,15.9,13.8,11.9,37.7,'02-03
6,5,Portland Trail Blazers,82,50,32,48.4,17.6,13.5,12.2,43.2,17.2,13.3,12.9,38.0,'02-03
7,8,New Jersey Nets,82,49,33,48.2,18.3,13.8,18.7,41.3,15.6,12.3,10.9,34.2,'02-03
8,9,Indiana Pacers,82,48,34,48.5,16.5,14.0,14.7,38.4,16.3,13.7,13.8,37.9,'02-03
9,9,Philadelphia 76ers,82,48,34,48.4,19.5,14.3,15.5,45.1,16.3,12.3,13.8,36.8,'02-03
10,11,New Orleans Hornets,82,47,35,48.5,16.5,15.6,11.1,36.1,15.9,13.2,12.0,38.6,'02-03
11,11,Utah Jazz,82,47,35,48.2,17.8,13.7,11.7,39.2,17.6,12.9,11.7,35.3,'02-03
12,13,Boston Celtics,82,44,38,48.4,17.2,11.8,8.9,34.5,15.0,13.5,11.2,31.9,'02-03
13,13,Phoenix Suns,82,44,38,48.3,17.9,14.2,11.0,41.1,15.2,15.2,10.4,39.1,'02-03
14,15,Houston Rockets,82,43,39,48.6,15.1,13.8,11.5,38.5,16.5,13.2,10.7,34.8,'02-03
15,16,Milwaukee Bucks,82,42,40,48.5,16.1,12.4,12.4,36.4,14.4,15.0,11.9,38.6,'02-03
16,16,Orlando Magic,82,42,40,48.3,17.9,13.2,12.7,32.7,15.4,14.0,12.5,40.5,'02-03
17,18,Seattle SuperSonics,82,40,42,48.4,17.3,13.2,11.6,36.1,15.0,13.1,12.5,36.4,'02-03
18,19,Golden State Warriors,82,38,44,48.2,14.8,17.2,13.9,42.6,18.2,16.0,14.1,44.5,'02-03
19,20,New York Knicks,82,37,45,48.4,15.4,12.2,8.4,29.6,15.9,12.9,10.4,41.4,'02-03
20,20,Washington Wizards,82,37,45,48.4,15.2,12.9,8.7,30.6,15.2,13.7,11.7,35.7,'02-03
